NAICS,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER
1110,"$510,162,695","$22,667,428","$1,478,156","$154,716","$1,632,872",383
1111,"$27,822,130","$666,817","$43,345",$832,"$44,177",37
1112,"$11,678,218","$1,699,757","$110,481",$162,"$110,643",22
1113,"$5,323,905","$654,132","$42,755","$8,072","$50,827",16
1114,"$119,894,525","$54,220,463","$3,524,330","$146,345","$3,670,675",150
1119,"$40,947,678","$4,765,182","$309,733","$9,713","$319,446",33
1120,"$297,219,461","$710,990","$46,213","$59,820","$106,033",146
1121,"$20,497,484","$149,694","$9,733",$275,"$10,008",35
1122,"$228,110,957","$215,306","$13,994","$3,506","$17,500",23
1123,"$12,653,982","$1,148,061","$75,829","$165,913","$241,742",9
1125,"$2,478,791","$21,899","$1,423",$432,"$1,855",5
1129,"$31,967,265","$274,318","$17,833",$772,"$18,605",44
1130,"$13,122,895","$2,890,946","$188,018","$1,885","$189,903",84
1132,"$1,255,520","$315,481","$20,504","$1,221","$21,725",15
1133,"$42,058,292","$2,319,345","$150,761",$963,"$151,724",45
1140,"$3,911,834","$2,045,786","$132,977",$643,"$133,620",27
1141,"$2,583,676","$148,685","$9,666","$23,102","$32,768",5
1142,"$2,651,616","$1,758,704","$115,179","$1,676","$116,855",21
1150,"$325,000,304","$5,920,141","$384,807","$35,605","$420,412",102
1151,"$389,715,789","$8,514,082","$553,417","$53,296","$606,713",79
1152,"$77,131,539","$4,095,277","$266,193","$18,986","$285,179",72
1153,"$5,418,344","$4,437,884","$288,461",$0,"$288,461",22
2111,"$44,782,886","$329,341","$21,410","$33,432","$54,842",11
2122,"$175,336,859","$33,998,054","$2,209,872","$23,572,881","$25,782,753",5
2123,"$319,296,220","$143,321,879","$9,315,930","$166,675","$9,482,605",153
2131,"$4,177,702","$1,349,891","$87,743","$5,604","$93,347",9
2210,"$579,206,477","$230,420,037","$15,035,347","$246,245","$15,281,592",202
2211,"$7,599,119,916","$3,046,545,885","$198,025,490","$13,811,196","$211,836,686",105
2212,"$2,080,099,820","$473,454,770","$30,774,558","$9,983,096","$40,757,654",47
2213,"$128,321,877","$21,021,749","$1,366,672","$59,677","$1,426,349",77
2360,"$3,441,212,692","$60,981,017","$3,966,038","$3,476,874","$7,442,912","1,405"
2361,"$416,879,623","$19,230,422","$1,228,625","$351,263","$1,579,888",482
2362,"$235,002,467","$23,066,116","$1,499,293","$403,568","$1,902,861",106
2370,"$1,129,041,952","$100,825,218","$6,553,635","$4,762,408","$11,316,043",287
2371,"$32,678,614","$5,297,511","$344,341","$253,166","$597,507",37
2372,"$22,943,035","$19,096","$1,241",$47,"$1,288",15
2373,"$33,155,660","$5,180,401","$336,725","$144,415","$481,140",22
2379,"$43,598,366","$3,174,025","$206,311","$82,059","$288,370",30
2380,"$4,372,936,048","$301,990,187","$19,633,010","$13,722,655","$33,355,665","3,292"
2381,"$212,218,651","$10,429,436","$677,909","$201,481","$879,390",226
2382,"$742,556,389","$36,943,983","$2,401,371","$1,189,063","$3,590,434",544
2383,"$210,347,862","$26,061,903","$1,694,028","$1,029,690","$2,723,718",385
2389,"$583,693,467","$63,614,184","$4,137,287","$4,063,281","$8,200,568",634
3110,"$2,345,716,981","$33,128,006","$2,153,325","$4,563,113","$6,716,438",148
3111,"$215,589,770","$1,901,674","$123,612","$47,781","$171,393",27
3112,"$168,830,175","$3,031,139","$197,026","$1,117,679","$1,314,705",19
3113,"$171,137,970","$18,120,973","$1,177,860","$211,580","$1,389,440",144
3114,"$655,127,949","$567,720","$36,899","$1,116,421","$1,153,320",29
3115,"$682,773,433","$778,768","$50,622","$396,426","$447,048",15
3116,"$385,730,581","$2,532,602","$164,618","$411,434","$576,052",26
3118,"$172,080,921","$4,022,064","$261,610","$712,036","$973,646",80
3119,"$487,560,028","$9,011,591","$587,590","$210,867","$798,457",52
3121,"$220,849,852","$7,851,400","$531,392","$358,819","$890,211",29
3130,"$99,695,628","$11,228,023","$729,819","$4,785","$734,604",59
3132,"$6,498,044","$36,633","$2,382","$48,778","$51,160",5
3133,"$14,602,794","$329,785","$21,436","$4,081","$25,517",9
3140,"$7,007,667","$415,063","$26,977",$0,"$26,977",6
3141,"$11,560,602","$3,469,354","$225,510",$692,"$226,202",31
3149,"$224,220,228","$4,716,665","$306,589","$87,282","$393,871",89
3150,"$28,038,459","$2,716,294","$176,557","$1,940","$178,497",78
3152,"$61,108,531","$1,905,976","$123,893","$10,511","$134,404",59
3159,"$83,694,966","$664,221","$43,177","$32,844","$76,021",39
3160,"$20,967,485","$11,416,065","$742,045","$139,388","$881,433",15
3161,"$25,166,370","$9,101",$593,"$44,582","$45,175",5
3162,"$19,452,567","$125,822","$8,180","$4,381","$12,561",4
3169,"$2,971,536","$479,073","$31,138",$626,"$31,764",20
3210,"$2,705,165,332","$199,735,485","$12,982,817","$1,587,811","$14,570,628",412
