NAICS,GROSS SALES,Taxable sales,sales tax,use tax,Total tax,Number
1110,"$690,727,257 ","$22,629,329 ","$1,476,312 ","$359,802 ","$1,836,114 ",376
1111,"$56,705,730 ","$4,773,653 ","$310,288 ","$5,623 ","$315,911 ",54
1112,"$12,723,556 ","$979,809 ","$63,686 ",$0 ,"$63,686 ",19
1113,"$6,191,504 ","$769,536 ","$50,451 ","$2,239 ","$52,690 ",22
1114,"$124,847,653 ","$59,838,170 ","$3,889,495 ","$122,878 ","$4,012,373 ",170
1119,"$109,770,398 ","$4,950,113 ","$321,747 ","$19,788 ","$341,535 ",46
1120,"$250,103,920 ","$824,903 ","$53,619 ","$45,641 ","$99,260 ",149
1121,"$28,044,764 ","$82,511 ","$5,365 ",$196 ,"$5,561 ",45
1122,"$236,241,959 ","$307,338 ","$19,976 ","$1,459 ","$21,435 ",22
1123,"$33,948,922 ","$840,490 ","$56,107 ","$175,416 ","$231,523 ",10
1124,"$45,218 ","$2,904 ",$188 ,$0 ,$188 ,4
1125,"$4,104,084 ","$92,665 ","$6,024 ",$0 ,"$6,024 ",6
1129,"$37,110,749 ","$317,060 ","$20,608 ","$1,367 ","$21,975 ",44
1130,"$7,242,310 ","$2,314,497 ","$150,444 ",$12 ,"$150,456 ",82
1132,"$1,129,743 ","$310,945 ","$20,212 ","$1,391 ","$21,603 ",16
1133,"$40,170,962 ","$2,583,327 ","$167,916 ",$685 ,"$168,601 ",53
1140,"$4,158,614 ","$2,034,326 ","$132,240 ","$1,571 ","$133,811 ",27
1141,"$287,652 ","$247,330 ","$16,075 ","$48,844 ","$64,919 ",7
1142,"$2,684,129 ","$1,511,312 ","$98,875 ","$1,065 ","$99,940 ",23
1150,"$360,930,122 ","$6,033,599 ","$392,183 ","$58,691 ","$450,874 ",95
1151,"$446,609,241 ","$7,795,368 ","$506,695 ","$37,319 ","$544,014 ",95
1152,"$117,665,450 ","$4,087,731 ","$265,702 ","$19,911 ","$285,613 ",86
1153,"$6,300,889 ","$4,915,912 ","$319,540 ","$2,797 ","$322,337 ",27
2122,"$140,388,719 ","$54,870,499 ","$3,566,582 ","$21,925,232 ","$25,491,814 ",5
2123,"$277,968,166 ","$107,644,119 ","$6,996,853 ","$196,762 ","$7,193,615 ",146
2131,"$2,467,055 ","$1,555,162 ","$101,086 ",$719 ,"$101,805 ",6
2210,"$472,325,201 ","$210,539,428 ","$13,749,077 ","$251,123 ","$14,000,200 ",200
2211,"$7,734,353,998 ","$3,229,970,759 ","$209,948,099 ","$14,125,068 ","$224,073,167 ",103
2212,"$2,221,086,089 ","$539,211,721 ","$35,048,768 ","$8,616,594 ","$43,665,362 ",50
2213,"$166,371,689 ","$27,448,549 ","$1,784,417 ","$249,993 ","$2,034,410 ",81
2360,"$3,414,453,325 ","$51,809,986 ","$3,370,356 ","$3,036,352 ","$6,406,708 ","1,297"
2361,"$591,444,792 ","$26,635,938 ","$1,727,152 ","$506,674 ","$2,233,826 ",569
2362,"$326,932,385 ","$29,560,374 ","$1,921,423 ","$1,165,042 ","$3,086,465 ",128
2370,"$1,112,172,783 ","$89,200,296 ","$5,798,026 ","$5,246,230 ","$11,044,256 ",299
2371,"$42,416,150 ","$3,056,918 ","$198,700 ","$610,444 ","$809,144 ",49
2372,"$20,344,374 ","$4,558,209 ","$301,106 ","$2,987 ","$304,093 ",17
2373,"$123,006,058 ","$5,509,832 ","$358,142 ","$89,939 ","$448,081 ",29
2379,"$46,164,767 ","$3,511,810 ","$228,269 ","$83,624 ","$311,893 ",39
2380,"$4,281,058,842 ","$262,542,390 ","$17,069,072 ","$13,066,076 ","$30,135,148 ","3,207"
2381,"$245,506,477 ","$9,392,811 ","$610,541 ","$278,771 ","$889,312 ",253
2382,"$809,414,627 ","$53,345,341 ","$3,467,449 ","$1,377,662 ","$4,845,111 ",664
2383,"$281,552,937 ","$25,400,594 ","$1,651,048 ","$1,159,113 ","$2,810,161 ",446
2389,"$670,744,522 ","$62,122,675 ","$4,040,841 ","$2,561,027 ","$6,601,868 ",752
3110,"$2,539,174,411 ","$22,562,140 ","$1,466,544 ","$5,090,084 ","$6,556,628 ",142
3111,"$260,548,387 ","$2,076,626 ","$134,978 ","$111,936 ","$246,914 ",34
3112,"$4,691,411 ","$640,733 ","$41,648 ","$952,313 ","$993,961 ",16
3113,"$132,508,084 ","$19,537,995 ","$1,269,982 ","$563,009 ","$1,832,991 ",147
3114,"$677,005,463 ","$384,145 ","$24,972 ","$1,705,064 ","$1,730,036 ",23
3115,"$916,215,853 ","$861,850 ","$56,019 ","$309,507 ","$365,526 ",19
3116,"$349,923,693 ","$2,284,936 ","$148,520 ","$340,974 ","$489,494 ",28
3118,"$206,264,461 ","$24,814,059 ","$1,620,822 ","$1,078,638 ","$2,699,460 ",110
3119,"$445,235,923 ","$10,283,226 ","$671,369 ","$311,409 ","$982,778 ",59
3121,"$201,141,768 ","$8,315,819 ","$577,200 ","$475,965 ","$1,053,165 ",39
3130,"$63,567,776 ","$4,481,241 ","$291,284 ",$613 ,"$291,897 ",52
3132,"$18,968,913 ","$63,469 ","$4,127 ","$37,271 ","$41,398 ",5
3133,"$14,238,104 ","$425,948 ","$27,686 ","$1,987 ","$29,673 ",12
3140,"$36,316,706 ","$454,600 ","$29,549 ",$27 ,"$29,576 ",9
3141,"$23,377,582 ","$4,594,479 ","$298,640 ","$26,486 ","$325,126 ",40
3149,"$231,180,155 ","$4,804,088 ","$312,264 ","$101,030 ","$413,294 ",107
3150,"$34,699,000 ","$4,096,332 ","$266,262 ","$7,453 ","$273,715 ",84
3151,"$433,884 ","$2,217 ",$145 ,"$1,901 ","$2,046 ",6
3152,"$61,445,198 ","$2,198,885 ","$142,929 ","$13,436 ","$156,365 ",70
3159,"$338,707,935 ","$838,278 ","$54,486 ","$59,044 ","$113,530 ",39
3160,"$23,763,864 ","$10,515,769 ","$683,526 ","$99,955 ","$783,481 ",17
3161,"$12,520,300 ","$2,417 ",$156 ,"$91,676 ","$91,832 ",6
3162,"$9,485,787 ","$115,204 ","$7,489 ","$3,911 ","$11,400 ",4
3169,"$4,929,022 ","$664,287 ","$43,181 ",$389 ,"$43,570 ",29
3210,"$2,145,299,755 ","$163,311,140 ","$10,615,227 ","$1,219,985 ","$11,835,212 ",384
3211,"$38,955,872 ","$1,827,999 ","$118,821 ","$2,165 ","$120,986 ",29
3212,"$202,667,291 ","$22,091,310 ","$1,435,932 ","$675,613 ","$2,111,545 ",49
3219,"$694,087,855 ","$96,731,087 ","$6,261,946 ","$711,907 ","$6,973,853 ",249
3220,"$1,150,437,832 ","$44,506,685 ","$2,892,938 ","$13,634,202 ","$16,527,140 ",68
3221,"$636,363,502 ","$1,269,132 ","$82,493 ","$602,819 ","$685,312 ",12
3222,"$897,972,910 ","$17,253,024 ","$1,121,448 ","$880,118 ","$2,001,566 ",75
3230,"$2,329,322 ","$1,387,369 ","$90,179 ","$3,549 ","$93,728 ",5
3231,"$4,154,076,084 ","$478,689,799 ","$31,114,987 ","$4,499,976 ","$35,614,963 ","1,273"
3240,"$98,577,577 ","$80,299,187 ","$5,219,485 ","$7,572,428 ","$12,791,913 ",24
3241,"$663,271,936 ","$130,137,372 ","$8,458,929 ","$264,526 ","$8,723,455 ",24
3250,"$1,703,447,982 ","$34,364,369 ","$2,233,698 ","$379,641 ","$2,613,339 ",142
3251,"$282,365,272 ","$5,004,229 ","$325,274 ","$73,785 ","$399,059 ",32
3252,"$65,004,982 ","$1,584,051 ","$102,964 ","$27,921 ","$130,885 ",9
3253,"$349,858,825 ","$631,899 ","$41,071 ","$4,618 ","$45,689 ",11
3254,"$970,326,269 ","$3,324,033 ","$216,067 ","$471,125 ","$687,192 ",40
3255,"$49,220,659 ","$5,721,680 ","$371,909 ","$20,263 ","$392,172 ",29
3256,"$265,538,427 ","$25,995,391 ","$1,689,700 ","$520,532 ","$2,210,232 ",55
3259,"$454,731,901 ","$13,603,918 ","$884,262 ","$242,224 ","$1,126,486 ",61
3260,"$779,625,739 ","$62,803,352 ","$4,082,215 ","$376,146 ","$4,458,361 ",169
3261,"$1,457,147,488 ","$28,530,058 ","$1,854,462 ","$1,229,160 ","$3,083,622 ",206
3262,"$263,943,876 ","$12,318,354 ","$800,696 ","$80,336 ","$881,032 ",35
3270,"$509,101,341 ","$86,501,482 ","$5,622,600 ","$2,187,991 ","$7,810,591 ",170
3271,"$23,154,902 ","$3,728,430 ","$242,341 ","$26,416 ","$268,757 ",31
3272,"$120,053,791 ","$6,808,626 ","$442,565 ","$105,624 ","$548,189 ",48
3273,"$702,886,489 ","$408,561,076 ","$26,556,475 ","$1,155,452 ","$27,711,927 ",139
3279,"$76,356,711 ","$18,336,478 ","$1,191,871 ","$437,025 ","$1,628,896 ",38
3310,"$342,867,918 ","$33,064,779 ","$2,149,213 ","$625,985 ","$2,775,198 ",52
3311,"$34,350,738 ","$3,602,052 ","$234,132 ","$1,639 ","$235,771 ",9
3312,"$250,591,505 ","$8,919,375 ","$579,762 ","$145,788 ","$725,550 ",47
3313,"$399,239,604 ","$418,308 ","$27,192 ","$74,058 ","$101,250 ",9
3314,"$170,122,376 ","$17,024 ","$1,107 ","$4,542 ","$5,649 ",7
3315,"$482,364,570 ","$966,235 ","$62,805 ","$451,789 ","$514,594 ",31
3320,"$1,946,941,777 ","$164,239,324 ","$10,675,571 ","$1,780,791 ","$12,456,362 ",649
3321,"$319,145,510 ","$1,112,465 ","$72,315 ","$269,244 ","$341,559 ",59
3322,"$129,764,262 ","$2,018,204 ","$131,187 ","$94,013 ","$225,200 ",30
3323,"$996,733,188 ","$187,890,023 ","$12,212,860 ","$2,894,103 ","$15,106,963 ",212
3324,"$106,544,149 ","$10,899,982 ","$708,502 ","$194,465 ","$902,967 ",21
3325,"$67,156,324 ","$4,085,975 ","$265,590 ","$38,394 ","$303,984 ",16
3326,"$94,077,413 ","$4,593,798 ","$298,599 ","$154,574 ","$453,173 ",15
3327,"$736,568,309 ","$18,844,381 ","$1,224,881 ","$880,177 ","$2,105,058 ",273
3328,"$188,529,395 ","$1,925,915 ","$125,186 ","$163,730 ","$288,916 ",79
3329,"$4,881,756,882 ","$116,206,258 ","$7,553,430 ","$1,675,325 ","$9,228,755 ",360
3330,"$2,563,390,452 ","$253,313,765 ","$16,465,398 ","$5,163,898 ","$21,629,296 ",542
