YEAR,FOUR-DIGIT INDUSTRY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER ,
2008,1110 CROP PRODUCTION,"$834,864,949","$21,173,656","$1,378,180","$228,536","$1,606,716", 312 ,
2008,1111 OILSEED & GRAIN FARMING,"$69,086,490","$1,272,887","$82,738","$10,363","$93,101", 60 ,
2008,1112 VEGETABLE & MELON FARMING,"$12,410,344","$1,483,190","$96,406",$0,"$96,406", 27 ,
2008,1113 FRUIT & TREE NUT FARMING,"$5,437,424","$710,281","$47,410",$105,"$47,515", 27 ,
2008,"1114 GREENHOUSE, NURSERY, & FLORICULTURE PRODUCTION","$157,867,557","$61,611,728","$4,008,042","$82,870","$4,090,912", 189 ,
2008,1119 OTHER CROP FARMING,"$159,633,346","$4,095,685","$267,963","$34,311","$302,274", 48 ,
2008,1120 ANIMAL PRODUCTION,"$223,412,409","$4,297,608","$279,349","$34,208","$313,557", 99 ,
2008,1121 CATTLE RANCHING & FARMING,"$18,777,631","$168,027","$10,922",$929,"$11,851", 39 ,
2008,1122 HOG & PIG FARMING,"$276,484,096","$249,268","$16,202","$1,973","$18,175", 19 ,
2008,1123 POULTRY & EGG PRODUCTION,"$33,495,981","$936,584","$62,188","$144,062","$206,250", 7 ,
2008,1124 SHEEP & GOAT FARMING,"$8,134","$3,482",$228,$0,$228, 6 ,
2008,1125 ANIMAL AQUACULTURE,"$1,863,336","$13,717",$892,$347,"$1,239", 4 ,
2008,1129 OTHER ANIMAL PRODUCTION,"$79,054,004","$759,827","$49,389","$1,706","$51,095", 69 ,
2008,1130 FORESTRY & LOGGING,"$4,276,776","$2,539,313","$165,055","$1,252","$166,307", 82 ,
2008,1132 FOREST NURSERIES & GATHERING OF FOREST PRODUCTS,"$1,179,130","$240,896","$15,660","$1,134","$16,794", 19 ,
2008,1133 LOGGING,"$39,523,219","$2,276,149","$147,957",$638,"$148,595", 48 ,
2008,"1140 FISHING, HUNTING & TRAPPING","$6,698,347","$2,045,156","$132,934","$1,630","$134,564", 26 ,
2008,1141 FISHING,"$1,740,819","$105,653","$6,873","$43,821","$50,694", 15 ,
2008,1142 HUNTING & TRAPPING,"$2,578,676","$1,566,005","$102,710",$641,"$103,351", 31 ,
2008,1150 SUPPORT ACTIVITIES FOR AGRICULTURE & FORESTRY,"$517,203,949","$6,652,803","$432,440","$53,384","$485,824", 91 ,
2008,1151 SUPPORT ACTIVITIES FOR CROP PRODUCTION,"$793,388,057","$11,391,724","$740,461","$37,094","$777,555", 106 ,
2008,1152 SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,"$213,093,471","$4,550,709","$295,799","$57,095","$352,894", 90 ,
2008,1153 SUPPORT ACTIVITIES FOR FORESTRY,"$6,629,523","$4,808,392","$312,545",$0,"$312,545", 23 ,
2008,2122 METAL ORE MINING,"$152,921,331","$45,390,279","$2,950,371","$21,853,738","$24,804,109", 5 ,
2008,2123 NONMETALLIC MINERAL MINING & QUARRYING,"$249,953,224","$86,461,493","$5,620,003","$173,043","$5,793,046", 144 ,
2008,2131 SUPPORT ACTIVITIES FOR MINING,"$24,245,693","$1,419,689","$92,280","$20,848","$113,128", 13 ,
2008,2210 UTILITIES,"$455,445,987","$216,884,616","$14,165,924","$227,237","$14,393,161", 94 ,
2008,"2211 ELECTRIC POWER GENERATION, TRANSMISSION & DISTRIBUTION","$8,231,344,256","$3,442,097,629","$223,736,331","$8,781,806","$232,518,137", 110 ,
2008,2212 NATURAL GAS DISTRIBUTION,"$2,805,347,704","$658,354,580","$42,793,066","$7,913,999","$50,707,065", 54 ,
2008,"2213 WATER, SEWAGE & OTHER SYSTEMS","$142,103,885","$29,118,276","$1,892,989","$144,895","$2,037,884", 88 ,
2008,2360 CONSTRUCTION OF BUILDINGS,"$2,559,865,137","$39,889,937","$2,595,475","$3,400,821","$5,996,296"," 1,066 ",
2008,2361 RESIDENTIAL BUILDING CONSTRUCTION,"$534,918,810","$27,701,635","$1,796,954","$437,216","$2,234,170", 607 ,
2008,2362 NONRESIDENTIAL BUILDING CONSTRUCTION,"$358,008,936","$19,211,533","$1,248,763","$629,223","$1,877,986", 166 ,
2008,2370 HEAVY & CIVIL ENGINEERING CONSTRUCTION,"$978,738,299","$73,997,408","$4,809,844","$5,304,501","$10,114,345", 267 ,
2008,2371 UTILITY SYSTEM CONSTRUCTION,"$67,210,693","$3,752,711","$243,923","$806,285","$1,050,208", 58 ,
2008,2372 LAND SUBDIVISION,"$9,282,076","$5,098,933","$337,794",$568,"$338,362", 15 ,
2008,"2373 HIGHWAY, STREET, & BRIDGE CONSTRUCTION","$107,945,675","$9,936,645","$645,883","$992,116","$1,637,999", 40 ,
2008,2379 OTHER HEAVY & CIVIL ENGINEERING CONSTRUCTION,"$60,858,940","$4,497,621","$292,348","$192,088","$484,436", 35 ,
2008,2380 SPECIALTY TRADE CONTRACTORS,"$4,169,624,385","$259,508,955","$16,868,452","$13,560,081","$30,428,533"," 2,830 ",
2008,"2381 FOUNDATION, STRUCTURE, & BUILDING EXTERIOR CONTRACTORS","$227,536,652","$8,985,484","$584,048","$388,439","$972,487", 239 ,
2008,2382 BUILDING EQUIPMENT CONTRACTORS,"$951,661,872","$64,249,288","$4,176,224","$1,699,208","$5,875,432", 761 ,
2008,2383 BUILDING FINISHING CONTRACTORS,"$280,655,251","$24,033,236","$1,562,180","$1,004,925","$2,567,105", 480 ,
2008,2389 OTHER SPECIALTY TRADE CONTRACTORS,"$686,310,920","$78,158,956","$5,083,642","$2,854,117","$7,937,759", 846 ,
2008,3110 FOOD MANUFACTURING,"$3,093,928,383","$16,111,475","$1,048,978","$4,531,587","$5,580,565", 129 ,
