COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER
MILLE LACS,"$748,720,408","$152,766,956","$10,215,750","$179,073","$10,394,823",753
MORRISON,"$664,494,327","$177,674,253","$11,887,493","$294,646","$12,182,139","1,076"
MOWER,"$828,124,909","$229,994,707","$15,275,469","$2,073,300","$17,348,769",991
MURRAY,"$202,778,224","$42,823,020","$2,851,806","$82,101","$2,933,907",343
NICOLLET,"$801,613,981","$160,293,344","$10,648,091","$934,105","$11,582,196",727
NOBLES,"$675,351,286","$162,994,314","$10,730,710","$313,642","$11,044,352",669
NORMAN,"$135,096,441","$27,322,961","$1,818,461","$46,689","$1,865,150",222
OLMSTED,"$5,482,711,727","$1,602,354,159","$105,927,235","$9,842,937","$115,770,172","3,317"
OTTER TAIL,"$1,747,328,226","$579,218,810","$38,144,027","$1,357,253","$39,501,280","2,083"
PENNINGTON,"$1,087,103,502","$142,615,942","$9,430,600","$264,459","$9,695,059",415
PINE,"$387,655,954","$144,448,661","$9,720,547","$137,818","$9,858,365",759
PIPESTONE,"$342,768,611","$52,135,321","$3,446,061","$143,012","$3,589,073",358
POLK,"$765,696,488","$190,540,595","$12,679,522","$668,535","$13,348,057",798
POPE,"$286,784,696","$67,329,140","$4,481,518","$88,395","$4,569,913",367
RAMSEY,"$23,232,952,763","$5,811,217,657","$384,215,524","$53,392,639","$437,608,163","11,472"
RED LAKE,"$84,095,315","$17,538,899","$1,179,048","$46,414","$1,225,462",119
REDWOOD,"$961,164,644","$124,493,478","$8,273,359","$483,615","$8,756,974",596
RENVILLE,"$373,153,867","$72,258,104","$4,814,316","$119,965","$4,934,281",538
RICE,"$1,724,113,325","$392,727,715","$26,071,596","$861,397","$26,932,993","1,537"
ROCK,"$222,343,300","$44,010,629","$2,904,887","$106,758","$3,011,645",291
ROSEAU,"$670,660,115","$94,543,243","$6,309,257","$501,254","$6,810,511",485
ST. LOUIS,"$7,720,814,558","$2,360,408,972","$156,284,552","$13,654,253","$169,938,805","5,700"
SCOTT,"$3,601,766,311","$1,067,598,493","$70,841,327","$3,129,417","$73,970,744","2,954"
SHERBURNE,"$3,414,387,110","$572,558,523","$37,877,414","$2,001,465","$39,878,879","2,078"
SIBLEY,"$262,009,665","$34,051,743","$2,292,949","$217,397","$2,510,346",421
STEARNS,"$6,922,609,207","$1,578,374,306","$104,470,352","$6,566,356","$111,036,708","4,380"
STEELE,"$2,491,486,570","$402,161,881","$26,530,345","$1,284,300","$27,814,645","1,130"
STEVENS,"$339,901,613","$81,169,470","$5,349,515","$381,349","$5,730,864",364
SWIFT,"$524,492,514","$59,255,169","$3,951,432","$278,600","$4,230,032",351
TODD,"$547,516,408","$67,793,812","$4,588,133","$208,909","$4,797,042",626
TRAVERSE,"$58,708,682","$14,117,196","$946,708","$27,148","$973,856",143
WABASHA,"$389,129,533","$79,775,534","$5,391,497","$143,080","$5,534,577",749
WADENA,"$568,617,289","$123,447,369","$8,104,645","$212,854","$8,317,499",505
WASECA,"$561,208,743","$87,199,391","$5,799,231","$745,192","$6,544,423",524
WASHINGTON,"$8,977,075,729","$1,880,292,173","$124,842,374","$7,105,574","$131,947,948","5,040"
WATONWAN,"$483,590,834","$51,833,797","$3,443,849","$112,413","$3,556,262",350
WILKIN,"$318,850,323","$19,975,673","$1,336,679","$29,930","$1,366,609",148
WINONA,"$1,894,062,944","$351,913,716","$23,331,966","$2,743,509","$26,075,475","1,270"
WRIGHT,"$3,670,310,192","$874,348,193","$57,857,974","$4,286,607","$62,144,581","3,106"
YELLOW MEDICINE,"$286,353,488","$45,757,686","$3,053,183","$127,529","$3,180,712",383
NON-MINNESOTA,"$53,953,369,101","$10,301,588,110","$669,648,135","$67,585,758","$737,233,893","17,472"
TOTAL,"$282,151,207,921","$65,844,046,857","$4,356,893,212","$351,403,843","$4,708,297,055","159,173"
AITKIN,"$433,817,756","$112,569,309","$7,531,724","$131,526","$7,663,250",562
ANOKA,"$14,891,379,364","$2,747,292,441","$181,702,181","$17,737,303","$199,439,484","7,372"
BECKER,"$805,638,204","$277,870,604","$18,509,067","$955,308","$19,464,375","1,080"
BELTRAMI,"$1,105,367,513","$401,757,178","$26,602,347","$1,248,137","$27,850,484","1,193"
BENTON,"$1,596,432,637","$344,538,143","$22,833,144","$1,271,057","$24,104,201",980
BIG STONE,"$64,678,199","$21,880,448","$1,462,758","$23,738","$1,486,496",228
BLUE EARTH,"$3,325,702,791","$1,049,113,516","$68,989,747","$2,388,995","$71,378,742","1,860"
BROWN,"$760,673,555","$217,010,632","$14,395,087","$541,075","$14,936,162",872
CARLTON,"$853,919,726","$198,095,658","$13,212,850","$346,536","$13,559,386",903
CARVER,"$2,913,360,809","$575,941,555","$38,338,154","$2,197,161","$40,535,315","2,158"
CASS,"$521,849,750","$198,649,300","$13,409,383","$156,672","$13,566,055","1,188"
CHIPPEWA,"$383,605,891","$87,464,578","$5,800,870","$969,749","$6,770,619",455
CHISAGO,"$986,307,689","$220,593,146","$14,763,374","$720,603","$15,483,977","1,376"
CLAY,"$1,773,349,394","$337,833,803","$22,443,987","$1,072,362","$23,516,349","1,088"
CLEARWATER,"$254,010,353","$29,540,808","$1,991,447","$294,237","$2,285,684",273
COOK,"$163,780,667","$88,662,258","$5,906,905","$121,960","$6,028,865",383
COTTONWOOD,"$568,538,153","$62,850,118","$4,150,865","$203,864","$4,354,729",428
CROW WING,"$2,495,660,508","$866,894,517","$57,443,614","$1,791,057","$59,234,671","2,399"
DAKOTA,"$17,859,779,642","$4,408,306,507","$294,560,886","$26,754,785","$321,315,671","8,832"
DODGE,"$688,147,689","$80,981,882","$5,378,863","$507,805","$5,886,668",493
