YEAR,COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER 
2008,AITKIN,"$294,625,316 ","$91,163,059 ","$6,134,115 ","$90,549 ","$6,224,664 ",567
2008,ANOKA,"$12,339,516,671 ","$2,714,803,251 ","$179,715,953 ","$17,341,967 ","$197,057,920 ","7,276"
2008,BECKER,"$755,627,316 ","$268,745,251 ","$17,903,633 ","$795,028 ","$18,698,661 ","1,074"
2008,BELTRAMI,"$1,084,982,120 ","$389,214,647 ","$25,796,462 ","$1,306,734 ","$27,103,196 ","1,209"
2008,BENTON,"$1,562,618,102 ","$312,793,518 ","$20,796,799 ","$1,309,076 ","$22,105,875 ",988
2008,BIG STONE,"$73,100,069 ","$20,867,157 ","$1,394,935 ","$21,899 ","$1,416,834 ",220
2008,BLUE EARTH,"$3,739,481,800 ","$1,063,957,628 ","$69,983,103 ","$2,679,989 ","$72,663,092 ","1,815"
2008,BROWN,"$944,892,811 ","$211,394,017 ","$14,033,480 ","$457,864 ","$14,491,344 ",857
2008,CARLTON,"$872,724,387 ","$192,990,606 ","$12,906,536 ","$1,151,267 ","$14,057,803 ",908
2008,CARVER,"$2,786,248,086 ","$637,230,073 ","$42,299,093 ","$2,458,800 ","$44,757,893 ","2,221"
2008,CASS,"$492,029,792 ","$192,732,327 ","$13,065,767 ","$171,713 ","$13,237,480 ","1,143"
2008,CHIPPEWA,"$391,489,841 ","$92,447,519 ","$6,124,831 ","$1,152,407 ","$7,277,238 ",457
2008,CHISAGO,"$938,170,008 ","$200,957,980 ","$13,520,471 ","$682,817 ","$14,203,288 ","1,342"
2008,CLAY,"$2,329,939,595 ","$359,010,396 ","$23,804,173 ","$1,100,090 ","$24,904,263 ","1,069"
2008,CLEARWATER,"$265,120,512 ","$29,286,993 ","$1,975,811 ","$892,627 ","$2,868,438 ",251
2008,COOK,"$181,944,456 ","$90,783,105 ","$6,039,421 ","$111,888 ","$6,151,309 ",382
2008,COTTONWOOD,"$641,058,964 ","$62,339,040 ","$4,124,338 ","$211,057 ","$4,335,395 ",418
2008,CROW WING,"$2,364,788,816 ","$823,444,253 ","$54,605,226 ","$1,790,204 ","$56,395,430 ","2,360"
2008,DAKOTA,"$16,851,512,494 ","$4,210,725,466 ","$282,034,689 ","$27,030,890 ","$309,065,579 ","8,847"
2008,DODGE,"$749,161,393 ","$83,270,585 ","$5,529,439 ","$337,924 ","$5,867,363 ",497
2008,DOUGLAS,"$1,680,834,097 ","$581,272,619 ","$38,284,649 ","$819,361 ","$39,104,010 ","1,501"
2008,FARIBAULT,"$420,168,894 ","$81,156,771 ","$5,385,251 ","$1,028,598 ","$6,413,849 ",565
2008,FILLMORE,"$942,861,438 ","$115,432,786 ","$7,660,006 ","$255,751 ","$7,915,757 ",815
2008,FREEBORN,"$1,647,042,894 ","$256,939,361 ","$16,962,797 ","$666,710 ","$17,629,507 ",992
2008,GOODHUE,"$1,473,345,174 ","$304,497,260 ","$20,197,964 ","$988,315 ","$21,186,279 ","1,501"
2008,GRANT,"$334,031,632 ","$25,420,336 ","$1,693,272 ","$124,522 ","$1,817,794 ",269
2008,HENNEPIN,"$80,763,741,744 ","$19,032,686,463 ","$1,266,341,484 ","$88,845,236 ","$1,355,186,720 ","32,006"
2008,HOUSTON,"$305,019,644 ","$66,176,249 ","$4,413,229 ","$282,303 ","$4,695,532 ",547
2008,HUBBARD,"$383,543,982 ","$139,161,055 ","$9,303,498 ","$390,728 ","$9,694,226 ",792
2008,ISANTI,"$974,364,873 ","$304,422,804 ","$20,133,234 ","$560,918 ","$20,694,152 ",931
2008,ITASCA,"$1,353,321,865 ","$360,694,828 ","$23,907,574 ","$938,880 ","$24,846,454 ","1,456"
