County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Aitkin,"$359,307,046 ","$101,070,257 ","$7,166,928 ","$140,367 ","$7,307,295 ",526
Anoka,"$11,243,621,893 ","$2,861,505,340 ","$206,490,092 ","$15,969,719 ","$222,459,811 ","6,989"
Becker,"$848,130,479 ","$275,397,425 ","$19,398,601 ","$813,450 ","$20,212,051 ","1,004"
Beltrami,"$1,207,250,471 ","$414,651,844 ","$29,057,478 ","$1,360,185 ","$30,417,663 ","1,230"
Benton,"$1,578,193,626 ","$313,000,440 ","$21,992,508 ","$1,353,699 ","$23,346,207 ",955
Big Stone,"$98,851,928 ","$22,220,172 ","$1,564,365 ","$29,842 ","$1,594,207 ",228
Blue Earth,"$5,210,130,796 ","$1,058,589,446 ","$73,746,945 ","$2,671,728 ","$76,418,673 ","1,821"
Brown,"$1,250,394,770 ","$220,448,840 ","$15,481,974 ","$920,986 ","$16,402,960 ",814
Carlton,"$903,588,019 ","$195,047,444 ","$13,830,716 ","$1,519,869 ","$15,350,585 ",824
Carver,"$2,893,442,407 ","$604,046,884 ","$42,629,887 ","$2,631,281 ","$45,261,168 ","2,167"
Cass,"$514,376,553 ","$188,920,319 ","$13,536,567 ","$191,997 ","$13,728,564 ","1,063"
Chippewa,"$556,651,150 ","$108,766,072 ","$7,628,549 ","$1,090,071 ","$8,718,620 ",440
Chisago,"$1,009,487,467 ","$210,733,371 ","$14,956,043 ","$485,956 ","$15,441,999 ","1,293"
Clay,"$2,078,533,487 ","$373,131,279 ","$26,201,839 ","$1,538,235 ","$27,740,074 ","1,018"
Clearwater,"$306,954,953 ","$30,395,090 ","$2,159,378 ","$290,736 ","$2,450,114 ",230
Cook,"$186,655,420 ","$92,123,089 ","$6,482,972 ","$99,333 ","$6,582,305 ",390
Cottonwood,"$792,280,773 ","$61,939,458 ","$4,336,992 ","$264,959 ","$4,601,951 ",402
Crow Wing,"$2,330,110,927 ","$794,289,369 ","$55,762,076 ","$1,460,163 ","$57,222,239 ","2,287"
Dakota,"$16,920,879,271 ","$3,988,962,611 ","$279,132,714 ","$19,982,651 ","$299,115,365 ","8,515"
Dodge,"$738,714,304 ","$72,981,533 ","$5,138,336 ","$294,924 ","$5,433,260 ",457
Douglas,"$1,740,422,711 ","$477,595,859 ","$33,401,482 ","$1,053,688 ","$34,455,170 ","1,443"
Faribault,"$467,258,929 ","$84,559,339 ","$5,922,159 ","$1,032,225 ","$6,954,384 ",509
Fillmore,"$854,325,347 ","$121,557,487 ","$8,521,112 ","$278,517 ","$8,799,629 ",799
Freeborn,"$1,717,948,229 ","$256,679,452 ","$17,931,736 ","$1,114,740 ","$19,046,476 ",931
Goodhue,"$1,525,416,273 ","$301,210,339 ","$21,154,864 ","$1,153,486 ","$22,308,350 ","1,378"
Grant,"$420,172,382 ","$28,132,231 ","$1,969,126 ","$77,386 ","$2,046,512 ",250
Hennepin,"$79,733,810,465 ","$18,904,106,710 ","$1,328,984,747 ","$95,994,496 ","$1,424,979,243 ","31,341"
Houston,"$301,319,572 ","$66,187,093 ","$4,670,059 ","$234,105 ","$4,904,164 ",526
Hubbard,"$442,738,078 ","$136,039,355 ","$9,633,919 ","$355,989 ","$9,989,908 ",771
Isanti,"$968,099,958 ","$315,396,991 ","$22,008,635 ","$466,895 ","$22,475,530 ",878
Itasca,"$1,390,624,005 ","$374,936,131 ","$26,328,624 ","$627,881 ","$26,956,505 ","1,357"
Jackson,"$516,526,948 ","$58,300,498 ","$4,070,805 ","$268,216 ","$4,339,021 ",428
