year,metro.non,farm.cash.receipts,gross.sales
2003,Metro,407553000,116465000000
2003,Non-metro,18362233000,286337000000
2004,Metro,437561000,124925000000
2004,Non-metro,20539253000,312237000000
2005,Metro,412398000,136573000000
2005,Non-metro,19798522000,333305000000
2006,Metro,440067000,143750000000
2006,Non-metro,21609573000,357537000000
2007,Metro,508466000,145089000000
2007,Non-metro,26920910000,365260000000
2008,Metro,604024000,149749000000
2008,Non-metro,32296354000,377838000000
2009,Metro,566848000,139037000000
2009,Non-metro,28174782000,346173000000
2010,Metro,620507000,143144000000
2010,Non-metro,31738851000,363527000000
2011,Metro,688918000,150056000000
2011,Non-metro,36284742000,395011000000
2012,Metro,752001000,154237000000
2012,Non-metro,42533497000,411945000000
2013,Metro,741914000,162316000000
2013,Non-metro,43809884000,436458000000
2014,Metro,653843000,170710000000
2014,Non-metro,39745091000,452560000000
2015,Metro,616534000,171278000000
2015,Non-metro,33319912000,445997000000
2016,Metro,629692000,172414000000
2016,Non-metro,34497578000,443383000000
2017,Metro,627921000,179226000000
2017,Non-metro,34839397000,462067000000
