planning.region,year,sales.type,dollars
Northwest,2003,gross.sales,13535788044
Northwest,2003,sales.tax,265524258
Northwest,2003,taxable.sales,4015154722
Northwest,2003,total.tax,275001202
Northwest,2003,use.tax,9476944
Northwest,2004,gross.sales,15063784847
Northwest,2004,sales.tax,286332087
Northwest,2004,taxable.sales,4328254222
Northwest,2004,total.tax,295376230
Northwest,2004,use.tax,9044143
Northwest,2005,gross.sales,15402578004
Northwest,2005,sales.tax,289784283
Northwest,2005,taxable.sales,4376583849
Northwest,2005,total.tax,299798846
Northwest,2005,use.tax,10014563
Northwest,2006,gross.sales,16977869443
Northwest,2006,sales.tax,292771754
Northwest,2006,taxable.sales,4416487706
Northwest,2006,total.tax,303578017
Northwest,2006,use.tax,10806263
Northwest,2007,gross.sales,16911872717
Northwest,2007,sales.tax,308531030
Northwest,2007,taxable.sales,4650577902
Northwest,2007,total.tax,320008287
Northwest,2007,use.tax,11477257
Northwest,2008,gross.sales,17934653006
Northwest,2008,sales.tax,301616410
Northwest,2008,taxable.sales,4543218487
Northwest,2008,total.tax,313206871
Northwest,2008,use.tax,11590461
Northwest,2009,gross.sales,15741197663
Northwest,2009,sales.tax,298868561
Northwest,2009,taxable.sales,4365211990
Northwest,2009,total.tax,308794206
Northwest,2009,use.tax,9925645
Northwest,2010,gross.sales,17100675472
Northwest,2010,sales.tax,306254132
Northwest,2010,taxable.sales,4357984026
Northwest,2010,total.tax,317396100
Northwest,2010,use.tax,11141968
Northwest,2011,gross.sales,18948500886
Northwest,2011,sales.tax,317428853
Northwest,2011,taxable.sales,4518969408
Northwest,2011,total.tax,329375446
Northwest,2011,use.tax,11946593
Northwest,2012,gross.sales,20245189329
Northwest,2012,sales.tax,334241990
Northwest,2012,taxable.sales,4758440560
Northwest,2012,total.tax,348084114
Northwest,2012,use.tax,13842124
Northwest,2013,gross.sales,21584325623
Northwest,2013,sales.tax,350810140
Northwest,2013,taxable.sales,4995439128
Northwest,2013,total.tax,365674976
Northwest,2013,use.tax,14864836
Northwest,2014,gross.sales,21871298929
Northwest,2014,sales.tax,358947120
Northwest,2014,taxable.sales,5106428028
Northwest,2014,total.tax,375120695
Northwest,2014,use.tax,16173575
Northwest,2015,gross.sales,21018425410
Northwest,2015,sales.tax,368611885
Northwest,2015,taxable.sales,5243001666
Northwest,2015,total.tax,382719485
Northwest,2015,use.tax,14107600
Northwest,2016,gross.sales,20363968590
Northwest,2016,sales.tax,374204360
Northwest,2016,taxable.sales,5323371332
Northwest,2016,total.tax,385642518
Northwest,2016,use.tax,11438158
Northwest,2017,gross.sales,21074450929
Northwest,2017,sales.tax,386977807
Northwest,2017,taxable.sales,5507186045
Northwest,2017,total.tax,400525472
Northwest,2017,use.tax,13547665
Northeast,2003,gross.sales,9329098034
Northeast,2003,sales.tax,195284380
Northeast,2003,taxable.sales,2951286677
Northeast,2003,total.tax,209232125
Northeast,2003,use.tax,13947745
Northeast,2004,gross.sales,9574727975
Northeast,2004,sales.tax,204968649
Northeast,2004,taxable.sales,3097318592
Northeast,2004,total.tax,221069865
Northeast,2004,use.tax,16101216
Northeast,2005,gross.sales,10883266803
Northeast,2005,sales.tax,211898132
Northeast,2005,taxable.sales,3202254290
Northeast,2005,total.tax,232395988
Northeast,2005,use.tax,20497856
Northeast,2006,gross.sales,12743568526
Northeast,2006,sales.tax,219527926
Northeast,2006,taxable.sales,3316358579
Northeast,2006,total.tax,242253346
Northeast,2006,use.tax,22725420
Northeast,2007,gross.sales,11538548042
Northeast,2007,sales.tax,218051213
Northeast,2007,taxable.sales,3288288311
Northeast,2007,total.tax,237551637
Northeast,2007,use.tax,19500424
Northeast,2008,gross.sales,11394947343
Northeast,2008,sales.tax,200589772
Northeast,2008,taxable.sales,3018667482
Northeast,2008,total.tax,221116119
Northeast,2008,use.tax,20526347
Northeast,2009,gross.sales,10264517339
Northeast,2009,sales.tax,198952715
Northeast,2009,taxable.sales,2904290797
Northeast,2009,total.tax,226756522
Northeast,2009,use.tax,27803807
Northeast,2010,gross.sales,10848647764
Northeast,2010,sales.tax,207045967
Northeast,2010,taxable.sales,2946466618
Northeast,2010,total.tax,231408739
Northeast,2010,use.tax,24362772
Northeast,2011,gross.sales,11926046990
Northeast,2011,sales.tax,213300015
Northeast,2011,taxable.sales,3033672798
Northeast,2011,total.tax,241988982
Northeast,2011,use.tax,28688967
Northeast,2012,gross.sales,11977179532
Northeast,2012,sales.tax,225592526
Northeast,2012,taxable.sales,3210112268
Northeast,2012,total.tax,258470624
Northeast,2012,use.tax,32878098
Northeast,2013,gross.sales,12493755550
Northeast,2013,sales.tax,228349084
Northeast,2013,taxable.sales,3245270435
Northeast,2013,total.tax,260977411
Northeast,2013,use.tax,32628327
Northeast,2014,gross.sales,13109083136
Northeast,2014,sales.tax,237564640
Northeast,2014,taxable.sales,3375279652
Northeast,2014,total.tax,278252256
Northeast,2014,use.tax,40687616
Northeast,2015,gross.sales,12375721372
Northeast,2015,sales.tax,243309266
Northeast,2015,taxable.sales,3455246245
Northeast,2015,total.tax,271460048
Northeast,2015,use.tax,28150782
Northeast,2016,gross.sales,12063557674
Northeast,2016,sales.tax,244303269
Northeast,2016,taxable.sales,3466744101
Northeast,2016,total.tax,259305362
Northeast,2016,use.tax,15002093
Northeast,2017,gross.sales,11533215479
Northeast,2017,sales.tax,246491207
Northeast,2017,taxable.sales,3496181158
Northeast,2017,total.tax,266018663
Northeast,2017,use.tax,19527456
Central,2003,gross.sales,16607372129
Central,2003,sales.tax,307362793
Central,2003,taxable.sales,4654129081
Central,2003,total.tax,322251909
Central,2003,use.tax,14889116
Central,2004,gross.sales,18596013643
Central,2004,sales.tax,329267586
Central,2004,taxable.sales,4983476199
Central,2004,total.tax,346252899
Central,2004,use.tax,16985313
Central,2005,gross.sales,20509169771
Central,2005,sales.tax,338948836
Central,2005,taxable.sales,5125711894
Central,2005,total.tax,360397306
Central,2005,use.tax,21448470
Central,2006,gross.sales,21949274037
Central,2006,sales.tax,345359384
Central,2006,taxable.sales,5219980799
Central,2006,total.tax,372944070
Central,2006,use.tax,27989431
Central,2007,gross.sales,23316526748
Central,2007,sales.tax,344164052
Central,2007,taxable.sales,5196618100
Central,2007,total.tax,365227140
Central,2007,use.tax,21063088
Central,2008,gross.sales,22014211356
Central,2008,sales.tax,337122274
Central,2008,taxable.sales,5086502606
Central,2008,total.tax,355962230
Central,2008,use.tax,18839956
Central,2009,gross.sales,20446591717
Central,2009,sales.tax,327288990
Central,2009,taxable.sales,4790996798
Central,2009,total.tax,343297099
Central,2009,use.tax,16008109
Central,2010,gross.sales,21155419291
Central,2010,sales.tax,347534170
Central,2010,taxable.sales,4955665971
Central,2010,total.tax,364231497
Central,2010,use.tax,16697327
Central,2011,gross.sales,23680469484
Central,2011,sales.tax,369165881
Central,2011,taxable.sales,5267029268
Central,2011,total.tax,387042778
Central,2011,use.tax,17876897
Central,2012,gross.sales,24510652211
Central,2012,sales.tax,385437186
Central,2012,taxable.sales,5498945913
Central,2012,total.tax,405994935
Central,2012,use.tax,20557749
Central,2013,gross.sales,25649816776
Central,2013,sales.tax,404972586
Central,2013,taxable.sales,5778133370
Central,2013,total.tax,426498458
Central,2013,use.tax,21525872
Central,2014,gross.sales,26752461985
Central,2014,sales.tax,418820226
Central,2014,taxable.sales,5973512446
