Dem_Desc,year,sales.type,dollars
Entirely rural,2003,gross.sales,2473694284
Entirely rural,2003,sales.tax,35642097
Entirely rural,2003,taxable.sales,534653470
Entirely rural,2003,total.tax,36753538
Entirely rural,2003,use.tax,1111441
Entirely rural,2004,gross.sales,2318362326
Entirely rural,2004,sales.tax,36985867
Entirely rural,2004,taxable.sales,554151172
Entirely rural,2004,total.tax,37997162
Entirely rural,2004,use.tax,1011295
Entirely rural,2005,gross.sales,2165316522
Entirely rural,2005,sales.tax,36646369
Entirely rural,2005,taxable.sales,548558863
Entirely rural,2005,total.tax,37623119
Entirely rural,2005,use.tax,976750
Entirely rural,2006,gross.sales,2194618959
Entirely rural,2006,sales.tax,36772315
Entirely rural,2006,taxable.sales,550579777
Entirely rural,2006,total.tax,37692020
Entirely rural,2006,use.tax,919705
Entirely rural,2007,gross.sales,2338376118
Entirely rural,2007,sales.tax,38902186
Entirely rural,2007,taxable.sales,581769617
Entirely rural,2007,total.tax,39914000
Entirely rural,2007,use.tax,1011814
Entirely rural,2008,gross.sales,2849271713
Entirely rural,2008,sales.tax,38839708
Entirely rural,2008,taxable.sales,581265541
Entirely rural,2008,total.tax,39920550
Entirely rural,2008,use.tax,1080842
Entirely rural,2009,gross.sales,2529213809
Entirely rural,2009,sales.tax,38734295
Entirely rural,2009,taxable.sales,562436433
Entirely rural,2009,total.tax,40119265
Entirely rural,2009,use.tax,1384970
Entirely rural,2010,gross.sales,2790517482
Entirely rural,2010,sales.tax,39868115
Entirely rural,2010,taxable.sales,564653188
Entirely rural,2010,total.tax,41782364
Entirely rural,2010,use.tax,1914249
Entirely rural,2011,gross.sales,3137560686
Entirely rural,2011,sales.tax,43165950
Entirely rural,2011,taxable.sales,611787838
Entirely rural,2011,total.tax,44640718
Entirely rural,2011,use.tax,1474768
Entirely rural,2012,gross.sales,3390421767
Entirely rural,2012,sales.tax,44572463
Entirely rural,2012,taxable.sales,631799193
Entirely rural,2012,total.tax,45916620
Entirely rural,2012,use.tax,1344157
Entirely rural,2013,gross.sales,3753642415
Entirely rural,2013,sales.tax,46502761
Entirely rural,2013,taxable.sales,659900040
Entirely rural,2013,total.tax,48790511
Entirely rural,2013,use.tax,2287750
Entirely rural,2014,gross.sales,3589230172
Entirely rural,2014,sales.tax,47079488
Entirely rural,2014,taxable.sales,667893456
Entirely rural,2014,total.tax,49292623
Entirely rural,2014,use.tax,2213135
Entirely rural,2015,gross.sales,3171709589
Entirely rural,2015,sales.tax,46667450
Entirely rural,2015,taxable.sales,660832400
Entirely rural,2015,total.tax,48544189
Entirely rural,2015,use.tax,1876739
Entirely rural,2016,gross.sales,3103279942
Entirely rural,2016,sales.tax,47446064
Entirely rural,2016,taxable.sales,672127606
Entirely rural,2016,total.tax,48817104
Entirely rural,2016,use.tax,1371040
Entirely rural,2017,gross.sales,3200936141
Entirely rural,2017,sales.tax,48842262
Entirely rural,2017,taxable.sales,692244648
Entirely rural,2017,total.tax,50591711
Entirely rural,2017,use.tax,1749449
Town/rural mix,2003,gross.sales,23927113046
Town/rural mix,2003,sales.tax,388755853
Town/rural mix,2003,taxable.sales,5885809444
Town/rural mix,2003,total.tax,406182690
