edr,year,sales.type,dollars
EDR 1 - Northwest,2003,gross.sales,2762143254
EDR 1 - Northwest,2003,sales.tax,29363664
EDR 1 - Northwest,2003,taxable.sales,441113815
EDR 1 - Northwest,2003,total.tax,30337522
EDR 1 - Northwest,2003,use.tax,973858
EDR 1 - Northwest,2004,gross.sales,3346620862
EDR 1 - Northwest,2004,sales.tax,30811899
EDR 1 - Northwest,2004,taxable.sales,462924254
EDR 1 - Northwest,2004,total.tax,31939600
EDR 1 - Northwest,2004,use.tax,1127701
EDR 1 - Northwest,2005,gross.sales,3065353592
EDR 1 - Northwest,2005,sales.tax,29998621
EDR 1 - Northwest,2005,taxable.sales,452020788
EDR 1 - Northwest,2005,total.tax,30932189
EDR 1 - Northwest,2005,use.tax,933568
EDR 1 - Northwest,2006,gross.sales,3658506712
EDR 1 - Northwest,2006,sales.tax,30764682
EDR 1 - Northwest,2006,taxable.sales,461802705
EDR 1 - Northwest,2006,total.tax,32395414
EDR 1 - Northwest,2006,use.tax,1630732
EDR 1 - Northwest,2007,gross.sales,3004145668
EDR 1 - Northwest,2007,sales.tax,35008831
EDR 1 - Northwest,2007,taxable.sales,526097465
EDR 1 - Northwest,2007,total.tax,36605239
EDR 1 - Northwest,2007,use.tax,1596408
EDR 1 - Northwest,2008,gross.sales,3232498327
EDR 1 - Northwest,2008,sales.tax,35321246
EDR 1 - Northwest,2008,taxable.sales,530939038
EDR 1 - Northwest,2008,total.tax,37059524
EDR 1 - Northwest,2008,use.tax,1738278
EDR 1 - Northwest,2009,gross.sales,2679004623
EDR 1 - Northwest,2009,sales.tax,35881651
EDR 1 - Northwest,2009,taxable.sales,523702035
EDR 1 - Northwest,2009,total.tax,37481271
EDR 1 - Northwest,2009,use.tax,1599620
EDR 1 - Northwest,2010,gross.sales,2798540119
EDR 1 - Northwest,2010,sales.tax,36917996
EDR 1 - Northwest,2010,taxable.sales,525002683
EDR 1 - Northwest,2010,total.tax,38907459
EDR 1 - Northwest,2010,use.tax,1989463
EDR 1 - Northwest,2011,gross.sales,3166547699
EDR 1 - Northwest,2011,sales.tax,38969002
EDR 1 - Northwest,2011,taxable.sales,555093787
EDR 1 - Northwest,2011,total.tax,40731268
EDR 1 - Northwest,2011,use.tax,1762266
EDR 1 - Northwest,2012,gross.sales,3399689941
EDR 1 - Northwest,2012,sales.tax,40786559
EDR 1 - Northwest,2012,taxable.sales,581090095
EDR 1 - Northwest,2012,total.tax,42521253
EDR 1 - Northwest,2012,use.tax,1734694
EDR 1 - Northwest,2013,gross.sales,3656464365
EDR 1 - Northwest,2013,sales.tax,43093869
EDR 1 - Northwest,2013,taxable.sales,615027364
EDR 1 - Northwest,2013,total.tax,44986282
EDR 1 - Northwest,2013,use.tax,1892413
EDR 1 - Northwest,2014,gross.sales,3592613105
EDR 1 - Northwest,2014,sales.tax,42514519
EDR 1 - Northwest,2014,taxable.sales,605996767
EDR 1 - Northwest,2014,total.tax,44435034
EDR 1 - Northwest,2014,use.tax,1920515
EDR 1 - Northwest,2015,gross.sales,3148104561
EDR 1 - Northwest,2015,sales.tax,42356225
EDR 1 - Northwest,2015,taxable.sales,602788815
EDR 1 - Northwest,2015,total.tax,44332516
EDR 1 - Northwest,2015,use.tax,1976291
EDR 1 - Northwest,2016,gross.sales,2936797092
EDR 1 - Northwest,2016,sales.tax,41566422
EDR 1 - Northwest,2016,taxable.sales,592168039
EDR 1 - Northwest,2016,total.tax,42912891
EDR 1 - Northwest,2016,use.tax,1346469
EDR 1 - Northwest,2017,gross.sales,2899665013
EDR 1 - Northwest,2017,sales.tax,42200163
EDR 1 - Northwest,2017,taxable.sales,601664229
EDR 1 - Northwest,2017,total.tax,44106475
EDR 1 - Northwest,2017,use.tax,1906312
EDR 2 - Headwaters,2003,gross.sales,1484731299
EDR 2 - Headwaters,2003,sales.tax,38933440
EDR 2 - Headwaters,2003,taxable.sales,588388316
EDR 2 - Headwaters,2003,total.tax,40518668
EDR 2 - Headwaters,2003,use.tax,1585228
EDR 2 - Headwaters,2004,gross.sales,1626898020
EDR 2 - Headwaters,2004,sales.tax,41807797
EDR 2 - Headwaters,2004,taxable.sales,630893562
EDR 2 - Headwaters,2004,total.tax,43412345
EDR 2 - Headwaters,2004,use.tax,1604548
EDR 2 - Headwaters,2005,gross.sales,1722239238
EDR 2 - Headwaters,2005,sales.tax,42138156
