GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "27000","Minnesota",4,CAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",166694650,170300761,178203384,189289433,195112671,205273841,217244286,226166494,216607412,226273417,242440285,257319682,259538903,273960577,286818725,293893860,305795021,322727574
 "27000","Minnesota",4,CAINC5N,20,"...","Population (persons) 2/","Number of persons",4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310843,5345668,5376550,5413693,5451522,5482503,5523409,5568155,5611179
 "27000","Minnesota",4,CAINC5N,30,"...","Per capita personal income (dollars)","Dollars",33454,33932,35263,37205,38111,39754,41720,43104,41015,42606,45353,47860,47941,50254,52315,53209,54919,57515
 "27000","Minnesota",4,CAINC5N,35,"...","Earnings by place of work","Thousands of dollars",131679344,135128152,141146500,150987628,154969728,159588573,167175577,171922227,162791441,169682909,179683799,190181389,195260585,202625339,211003037,215200116,223244047,233117230
 "27000","Minnesota",4,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",15034335,15408843,16100265,17010029,17754477,18563703,19330123,19933872,19269156,19580423,18318020,19060013,22414799,23113665,23944380,24640080,25671121,26830279
 "27000","Minnesota",4,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",7719236,7938921,8206256,8664458,9030687,9508758,9975116,10352950,10038707,10137575,8309563,8593851,11481993,12021073,12527233,12984016,13551729,14309172
 "27000","Minnesota",4,CAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",7315099,7469922,7894009,8345571,8723790,9054945,9355007,9580922,9230449,9442848,10008457,10466162,10932806,11092592,11417147,11656064,12119392,12521107
 "27000","Minnesota",4,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-1083894,-1111919,-1179966,-1258227,-1320505,-1275836,-1393055,-1421701,-1148059,-1105996,-1142967,-927924,-889831,-920553,-1019510,-1215028,-1254171,-1302668
 "27000","Minnesota",4,CAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",115561115,118607390,123866269,132719372,135894746,139749034,146452399,150566654,142374226,148996490,160222812,170193452,171955955,178591121,186039147,189345008,196318755,204984283
 "27000","Minnesota",4,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",31911313,30823673,32453641,33561592,35105902,38971388,41713663,42639961,38050207,38250077,42877387,47770284,46815921,52143637,56092711,58299437,61650828,66925853
 "27000","Minnesota",4,CAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",19222222,20869698,21883474,23008469,24112023,26553419,29078224,32959879,36182979,39026850,39340086,39355946,40767027,43225819,44686867,46249415,47825438,50817438
 "27000","Minnesota",4,CAINC5N,50,"..."," Wages and salaries","Thousands of dollars",98980854,100657642,103495702,109165027,111886497,116915961,123700501,127232269,121064910,124165611,128983413,135334396,139568041,145882870,153837624,158072136,165633841,172887325
 "27000","Minnesota",4,CAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",21094172,21903680,23742317,25149257,26447221,26094173,27852684,29187823,27790496,28890862,31107756,29822814,31080994,32884028,33290837,35583474,35346511,37157967
