periodyear,naicstitle,areaname,wage.type,wages,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
2018,"Total, All Industries",Aitkin,totwageYear,148254951,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2018,Crop Production,Aitkin,totwageYear,70652,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2018,Food Manufacturing,Aitkin,totwageYear,72680.5,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2017,"Total, All Industries",Aitkin,totwageYear,141522141,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2017,Crop Production,Aitkin,totwageYear,56363.666666666664,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2017,Food Manufacturing,Aitkin,totwageYear,54559,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2016,"Total, All Industries",Aitkin,totwageYear,133173447,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2016,Food Manufacturing,Aitkin,totwageYear,59914.666666666664,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2015,"Total, All Industries",Aitkin,totwageYear,124681007,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2014,"Total, All Industries",Aitkin,totwageYear,117380412,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2013,"Total, All Industries",Aitkin,totwageYear,112664709,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2013,Food Manufacturing,Aitkin,totwageYear,47713.666666666664,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2012,"Total, All Industries",Aitkin,totwageYear,111024136,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2012,Food Manufacturing,Aitkin,totwageYear,44736,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2011,"Total, All Industries",Aitkin,totwageYear,108463778,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2011,Crop Production,Aitkin,totwageYear,149856,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2011,Food Manufacturing,Aitkin,totwageYear,43571,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2010,"Total, All Industries",Aitkin,totwageYear,108129890,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2010,Crop Production,Aitkin,totwageYear,80750.5,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2010,Food Manufacturing,Aitkin,totwageYear,71876,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2009,"Total, All Industries",Aitkin,totwageYear,108469157,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2009,Crop Production,Aitkin,totwageYear,131111,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
