periodyear,naicstitle,edr,wage.type,wages
2018,"Total, All Industries",EDR 1 - Northwest,totwageYear,1610621568
2018,Crop Production,EDR 1 - Northwest,totwageYear,31349526
2018,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,555509
2018,Food Manufacturing,EDR 1 - Northwest,totwageYear,57686101
2018,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,26941493
2018,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,9210245
2017,"Total, All Industries",EDR 1 - Northwest,totwageYear,1534394052
2017,Crop Production,EDR 1 - Northwest,totwageYear,33273254
2017,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,4007510
2017,Food Manufacturing,EDR 1 - Northwest,totwageYear,56556373
2017,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,25976746
2017,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,9177886
2016,"Total, All Industries",EDR 1 - Northwest,totwageYear,1475037219
2016,Crop Production,EDR 1 - Northwest,totwageYear,31780957
2016,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,939748
2016,Food Manufacturing,EDR 1 - Northwest,totwageYear,52833879
2016,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,26718130
2016,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,9900528
2015,"Total, All Industries",EDR 1 - Northwest,totwageYear,1463391777
2015,Crop Production,EDR 1 - Northwest,totwageYear,30307035
2015,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,599483
2015,Food Manufacturing,EDR 1 - Northwest,totwageYear,52720290
2015,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,26682776
2014,"Total, All Industries",EDR 1 - Northwest,totwageYear,1484907579
2014,Crop Production,EDR 1 - Northwest,totwageYear,28499123
2014,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,1087413
2014,Food Manufacturing,EDR 1 - Northwest,totwageYear,49823741
2014,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,24839729
2013,"Total, All Industries",EDR 1 - Northwest,totwageYear,1421371656
2013,Crop Production,EDR 1 - Northwest,totwageYear,26415474
2013,Food Manufacturing,EDR 1 - Northwest,totwageYear,50477055
2013,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,22494655
2012,"Total, All Industries",EDR 1 - Northwest,totwageYear,1374791795
2012,Crop Production,EDR 1 - Northwest,totwageYear,23227881
2012,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,904897
2012,Food Manufacturing,EDR 1 - Northwest,totwageYear,55858288
2012,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,23341794
2012,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,1924903
2011,"Total, All Industries",EDR 1 - Northwest,totwageYear,1281046935
2011,Crop Production,EDR 1 - Northwest,totwageYear,19795539
2011,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,896707
2011,Food Manufacturing,EDR 1 - Northwest,totwageYear,47043196
2011,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,22987535
2011,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,1672087.6666666667
2010,"Total, All Industries",EDR 1 - Northwest,totwageYear,1206777639
2010,Crop Production,EDR 1 - Northwest,totwageYear,16876241
2010,Food Manufacturing,EDR 1 - Northwest,totwageYear,39696838
2010,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,22374259
2010,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,1886526
2009,"Total, All Industries",EDR 1 - Northwest,totwageYear,1159203487
2009,Crop Production,EDR 1 - Northwest,totwageYear,15760378
2009,Food Manufacturing,EDR 1 - Northwest,totwageYear,38897035
2009,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,20652659
2009,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6248800
