periodyear,naicstitle,planning.region,wage.type,wages
2018,"Total, All Industries",Central Minnesota,totwageYear,12090968947
2018,Crop Production,Central Minnesota,totwageYear,37675204
2018,Animal Production and Aquaculture,Central Minnesota,totwageYear,99662283
2018,Support Activities for Crop Production,Central Minnesota,totwageYear,9894125
2018,Support Activities for Animal Production,Central Minnesota,totwageYear,7356990
2018,Food Manufacturing,Central Minnesota,totwageYear,427110744
2018,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,33261465
2018,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,19785874
2018,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,59303948
2017,"Total, All Industries",Central Minnesota,totwageYear,11643960765
2017,Crop Production,Central Minnesota,totwageYear,36743997
2017,Animal Production and Aquaculture,Central Minnesota,totwageYear,94657999
2017,Support Activities for Crop Production,Central Minnesota,totwageYear,8906905
2017,Support Activities for Animal Production,Central Minnesota,totwageYear,6272639
2017,Food Manufacturing,Central Minnesota,totwageYear,402026887
2017,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,29965551
2017,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,19994337
2017,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,58623411
2016,"Total, All Industries",Central Minnesota,totwageYear,11095685006
2016,Crop Production,Central Minnesota,totwageYear,35476672
2016,Animal Production and Aquaculture,Central Minnesota,totwageYear,86475386
2016,Support Activities for Crop Production,Central Minnesota,totwageYear,9038437
2016,Support Activities for Animal Production,Central Minnesota,totwageYear,5763439
2016,Food Manufacturing,Central Minnesota,totwageYear,362840014
2016,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,33479431
2016,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,17724208
2016,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,51750045
2015,"Total, All Industries",Central Minnesota,totwageYear,10708380953
2015,Crop Production,Central Minnesota,totwageYear,33846660
2015,Animal Production and Aquaculture,Central Minnesota,totwageYear,90361564
2015,Support Activities for Crop Production,Central Minnesota,totwageYear,7594600
2015,Support Activities for Animal Production,Central Minnesota,totwageYear,5762986
2015,Food Manufacturing,Central Minnesota,totwageYear,342010124
2015,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,33636828
2015,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,18110001
2015,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,48540331
2014,"Total, All Industries",Central Minnesota,totwageYear,10043669705
2014,Crop Production,Central Minnesota,totwageYear,32513993
2014,Animal Production and Aquaculture,Central Minnesota,totwageYear,86188198
2014,Support Activities for Crop Production,Central Minnesota,totwageYear,7253779
2014,Support Activities for Animal Production,Central Minnesota,totwageYear,1220363
2014,Food Manufacturing,Central Minnesota,totwageYear,329854996
2014,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,32703759
2014,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,18564031
2014,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,48292508
2013,"Total, All Industries",Central Minnesota,totwageYear,9585173084
2013,Crop Production,Central Minnesota,totwageYear,31116176
2013,Animal Production and Aquaculture,Central Minnesota,totwageYear,82978381
2013,Support Activities for Crop Production,Central Minnesota,totwageYear,6572283
2013,Support Activities for Animal Production,Central Minnesota,totwageYear,3391039
2013,Food Manufacturing,Central Minnesota,totwageYear,307600880
2013,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,28053203
2013,Farm Product Raw Material Merchant Wholesalers,Central Minnesota,totwageYear,18202263
2013,Farm Supplies Merchant Wholesalers,Central Minnesota,totwageYear,44552359
2012,"Total, All Industries",Central Minnesota,totwageYear,9266080494
2012,Crop Production,Central Minnesota,totwageYear,29505464
2012,Animal Production and Aquaculture,Central Minnesota,totwageYear,80931249
2012,Support Activities for Crop Production,Central Minnesota,totwageYear,6730420
2012,Support Activities for Animal Production,Central Minnesota,totwageYear,845391
2012,Food Manufacturing,Central Minnesota,totwageYear,288049127
2012,Agricultural Implement Manufacturing,Central Minnesota,totwageYear,26310455
