edr,year,farm.earnings,total.earnings,ag.related.wages,total.wages
EDR  1 - Northwest,2001,55794,1385535,64315512,903939350
EDR  1 - Northwest,2002,43417,1441649,61076969,936632748
EDR  1 - Northwest,2003,313915,1779762,41253993.833333336,970998448
EDR  1 - Northwest,2004,85349,1661340,72353020,1028860581
EDR  1 - Northwest,2005,134947,1772678,66797487,1081745232
EDR  1 - Northwest,2006,177711,1811095,69965934,1100405326
EDR  1 - Northwest,2007,228537,1887063,74074469,1129979754
EDR  1 - Northwest,2008,521997,2244777,76919943,1185740463
EDR  1 - Northwest,2009,77621,1800182,81558872,1159203487
EDR  1 - Northwest,2010,176927,2012052,80833864,1206777639
EDR  1 - Northwest,2011,258628,2209399,92395064.66666667,1281046935
EDR  1 - Northwest,2012,507312,2573272,105257763,1374791795
EDR  1 - Northwest,2013,620730,2652073,99387184,1421371656
EDR  1 - Northwest,2014,233516,2365238,104250006,1484907579
EDR  1 - Northwest,2015,175687,2353560,110309584,1463391777
EDR  1 - Northwest,2016,169997,2374802,122173242,1475037219
EDR  1 - Northwest,2017,218530,2456347,128991769,1534394052
EDR  2 - Headwaters,2001,8188,1125146,21922236.333333332,730004290
EDR  2 - Headwaters,2002,4741,1204726,21707542.5,773971029
EDR  2 - Headwaters,2003,38291,1344214,12576432.666666666,792639384
EDR  2 - Headwaters,2004,21319,1565790,23261611,819912116
EDR  2 - Headwaters,2005,27862,1521946,23524761,821699092
EDR  2 - Headwaters,2006,26933,1424725,23757254.333333332,865872680
EDR  2 - Headwaters,2007,19368,1357279,24620772,861953718
EDR  2 - Headwaters,2008,27201,1386011,27670385,901674866
EDR  2 - Headwaters,2009,8086,1390203,27073585.5,916395869
EDR  2 - Headwaters,2010,22460,1435322,27252270.333333332,902759889
EDR  2 - Headwaters,2011,35736,1478118,28266612,917264665
EDR  2 - Headwaters,2012,58682,1553317,29011295,974078220
EDR  2 - Headwaters,2013,73005,1629322,30652850.5,1015950710
EDR  2 - Headwaters,2014,37960,1690268,31748007,1070120430
EDR  2 - Headwaters,2015,38989,1800024,32345903,1152661947
EDR  2 - Headwaters,2016,37415,1868929,34687238,1197352361
EDR  2 - Headwaters,2017,19209,1915978,36391430,1254021538
EDR  3 - Arrowhead,2001,5379,5811935,23345327.5,4065299084
EDR  3 - Arrowhead,2002,6102,6081297,20811522,4208621545
EDR  3 - Arrowhead,2003,10758,6225020,21317838.333333332,4264350905
EDR  3 - Arrowhead,2004,9216,6566007,21146089,4488386712
EDR  3 - Arrowhead,2005,5381,6636273,15510459.5,4545837481
EDR  3 - Arrowhead,2006,7339,6848951,15299522.333333334,4731915256
EDR  3 - Arrowhead,2007,8054,7130350,13987109.833333334,4967156348
EDR  3 - Arrowhead,2008,2693,7522587,18254784,5123829515
EDR  3 - Arrowhead,2009,-585,7267983,12475137,4896224630
EDR  3 - Arrowhead,2010,18676,7842744,12219426.333333334,5037180762
EDR  3 - Arrowhead,2011,14147,8255260,30950760,5232547921
EDR  3 - Arrowhead,2012,7723,8328274,15660907,5328664650
EDR  3 - Arrowhead,2013,15173,8357188,13630329.333333334,5546421775
EDR  3 - Arrowhead,2014,16079,8587628,11869803,5738851893
