GeoFips,GeoName,countyfp,year,farm.earnings,total.earnings,Dem_RUCA,Dem_Desc,edr,planning.region
27000,Minnesota,000,2001,1029219,131679344,NA,Minnesota,Minnesota,Minnesota
27001,"Aitkin, MN",001,2001,1900,142953,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
27003,"Anoka, MN",003,2001,12032,5381728,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27005,"Becker, MN",005,2001,13333,461107,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
27007,"Beltrami, MN",007,2001,4610,630428,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
27009,"Benton, MN",009,2001,6823,567762,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
27011,"Big Stone, MN",011,2001,2736,63333,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27013,"Blue Earth, MN",013,2001,26045,1396126,D,Entirely urban,EDR  9 - South Central,Southwest Minnesota
27015,"Brown, MN",015,2001,23191,558386,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
27017,"Carlton, MN",017,2001,139,543836,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27019,"Carver, MN",019,2001,11403,1554956,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27021,"Cass, MN",021,2001,2910,319980,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27023,"Chippewa, MN",023,2001,18402,233404,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27025,"Chisago, MN",025,2001,3094,596450,D,Entirely urban,EDR  7E- East Central,Central Minnesota
27027,"Clay, MN",027,2001,22360,667341,D,Entirely urban,EDR  4 - West Central,Northwest Minnesota
27029,"Clearwater, MN",029,2001,-699,110228,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
27031,"Cook, MN",031,2001,0,100077,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
27033,"Cottonwood, MN",033,2001,23753,190301,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27035,"Crow Wing, MN",035,2001,-1251,1062683,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27037,"Dakota, MN",037,2001,17848,7909569,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27039,"Dodge, MN",039,2001,11653,214118,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
27041,"Douglas, MN",041,2001,8157,626444,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
27043,"Faribault, MN",043,2001,-315,233651,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
27045,"Fillmore, MN",045,2001,8374,278406,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27047,"Freeborn, MN",047,2001,10791,491513,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27049,"Goodhue, MN",049,2001,22419,934488,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27051,"Grant, MN",051,2001,10931,84629,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
27053,"Hennepin, MN",053,2001,15776,52768121,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27055,"Houston, MN",055,2001,10745,197534,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27057,"Hubbard, MN",057,2001,1904,254390,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
27059,"Isanti, MN",059,2001,-980,384506,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
27061,"Itasca, MN",061,2001,627,638168,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27063,"Jackson, MN",063,2001,18057,166624,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27065,"Kanabec, MN",065,2001,-578,163759,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
27067,"Kandiyohi, MN",067,2001,13487,817725,B,Town/rural mix,EDR  6E- Southwest Central,Central Minnesota
27069,"Kittson, MN",069,2001,-2730,52287,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
27071,"Koochiching, MN",071,2001,656,247616,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27073,"Lac qui Parle, MN",073,2001,14780,98216,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27075,"Lake, MN",075,2001,-101,166511,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27077,"Lake of the Woods, MN",077,2001,236,53802,A,Entirely rural,EDR  2 - Headwaters,Northwest Minnesota
27079,"Le Sueur, MN",079,2001,7474,341179,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
27081,"Lincoln, MN",081,2001,10685,67977,A,Entirely rural,EDR  8 - Southwest,Southwest Minnesota
27083,"Lyon, MN",083,2001,17623,578161,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27085,"McLeod, MN",085,2001,11168,753921,C,Urban/town/rural mix,EDR  6E- Southwest Central,Central Minnesota
27087,"Mahnomen, MN",087,2001,2137,76298,A,Entirely rural,EDR  2 - Headwaters,Northwest Minnesota
27089,"Marshall, MN",089,2001,4257,94167,C,Urban/town/rural mix,EDR  1 - Northwest,Northwest Minnesota
27091,"Martin, MN",091,2001,29723,378335,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
27093,"Meeker, MN",093,2001,8274,275745,B,Town/rural mix,EDR  6E- Southwest Central,Central Minnesota
27095,"Mille Lacs, MN",095,2001,3827,337472,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
27097,"Morrison, MN",097,2001,15979,407340,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27099,"Mower, MN",099,2001,11659,660890,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27101,"Murray, MN",101,2001,24960,121875,A,Entirely rural,EDR  8 - Southwest,Southwest Minnesota
27103,"Nicollet, MN",103,2001,22374,568136,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
27105,"Nobles, MN",105,2001,28171,392669,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27107,"Norman, MN",107,2001,22926,95171,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
27109,"Olmsted, MN",109,2001,3671,4249090,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
27111,"Otter Tail, MN",111,2001,25677,807120,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
27113,"Pennington, MN",113,2001,2685,302512,B,Town/rural mix,EDR  1 - Northwest,Northwest Minnesota
27115,"Pine, MN",115,2001,4056,291102,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
27117,"Pipestone, MN",117,2001,20537,166504,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27119,"Polk, MN",119,2001,21548,443914,C,Urban/town/rural mix,EDR  1 - Northwest,Northwest Minnesota
27121,"Pope, MN",121,2001,9130,149541,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
27123,"Ramsey, MN",123,2001,1125,18159340,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27125,"Red Lake, MN",125,2001,4211,47002,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
27127,"Redwood, MN",127,2001,31142,277702,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27129,"Renville, MN",129,2001,33719,245708,A,Entirely rural,EDR  6E- Southwest Central,Central Minnesota
27131,"Rice, MN",131,2001,5775,989486,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27133,"Rock, MN",133,2001,22071,156769,C,Urban/town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27135,"Roseau, MN",135,2001,2897,350482,B,Town/rural mix,EDR  1 - Northwest,Northwest Minnesota
27137,"St. Louis, MN",137,2001,2158,3972774,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27139,"Scott, MN",139,2001,5076,1810571,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27141,"Sherburne, MN",141,2001,5403,935795,D,Entirely urban,EDR  7W- Central,Central Minnesota
27143,"Sibley, MN",143,2001,20359,157544,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
27145,"Stearns, MN",145,2001,60743,3148716,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
27147,"Steele, MN",147,2001,19998,820365,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27149,"Stevens, MN",149,2001,18549,217797,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
27151,"Swift, MN",151,2001,5145,181065,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27153,"Todd, MN",153,2001,6428,235841,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27155,"Traverse, MN",155,2001,7754,48417,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
27157,"Wabasha, MN",157,2001,16364,303249,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27159,"Wadena, MN",159,2001,-2451,214460,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27161,"Waseca, MN",161,2001,12726,328725,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
27163,"Washington, MN",163,2001,21034,3430362,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27165,"Watonwan, MN",165,2001,16354,184100,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
27167,"Wilkin, MN",167,2001,15529,114356,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
27169,"Winona, MN",169,2001,21258,938906,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27171,"Wright, MN",171,2001,5901,1328060,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
27173,"Yellow Medicine, MN",173,2001,28892,159477,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27000,Minnesota,000,2002,1017896,135128152,NA,Minnesota,Minnesota,Minnesota
27001,"Aitkin, MN",001,2002,3189,157037,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
27003,"Anoka, MN",003,2002,14448,5645600,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27005,"Becker, MN",005,2002,12728,488555,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
27007,"Beltrami, MN",007,2002,3710,671687,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
27009,"Benton, MN",009,2002,7631,595687,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
27011,"Big Stone, MN",011,2002,4941,70809,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27013,"Blue Earth, MN",013,2002,24423,1514720,D,Entirely urban,EDR  9 - South Central,Southwest Minnesota
27015,"Brown, MN",015,2002,15232,564156,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
27017,"Carlton, MN",017,2002,-644,570919,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27019,"Carver, MN",019,2002,10075,1613720,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27021,"Cass, MN",021,2002,936,339100,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27023,"Chippewa, MN",023,2002,24544,244702,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27025,"Chisago, MN",025,2002,4785,642428,D,Entirely urban,EDR  7E- East Central,Central Minnesota
27027,"Clay, MN",027,2002,16033,704738,D,Entirely urban,EDR  4 - West Central,Northwest Minnesota
27029,"Clearwater, MN",029,2002,-470,115892,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
27031,"Cook, MN",031,2002,0,105346,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
27033,"Cottonwood, MN",033,2002,28351,205938,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27035,"Crow Wing, MN",035,2002,-1159,1125696,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27037,"Dakota, MN",037,2002,25269,8454369,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27039,"Dodge, MN",039,2002,12389,242824,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
27041,"Douglas, MN",041,2002,8218,678519,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
27043,"Faribault, MN",043,2002,18553,266326,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
27045,"Fillmore, MN",045,2002,-4032,288712,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27047,"Freeborn, MN",047,2002,17079,508842,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27049,"Goodhue, MN",049,2002,15216,953183,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27051,"Grant, MN",051,2002,9482,88201,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
27053,"Hennepin, MN",053,2002,16679,52526664,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27055,"Houston, MN",055,2002,9558,208142,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27057,"Hubbard, MN",057,2002,4517,288870,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
27059,"Isanti, MN",059,2002,-583,419478,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
27061,"Itasca, MN",061,2002,844,664223,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27063,"Jackson, MN",063,2002,18499,176062,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27065,"Kanabec, MN",065,2002,-449,168762,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
27067,"Kandiyohi, MN",067,2002,18511,852966,B,Town/rural mix,EDR  6E- Southwest Central,Central Minnesota
27069,"Kittson, MN",069,2002,7194,66994,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
27071,"Koochiching, MN",071,2002,733,255244,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27073,"Lac qui Parle, MN",073,2002,15379,104970,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27075,"Lake, MN",075,2002,-72,168476,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27077,"Lake of the Woods, MN",077,2002,-607,56484,A,Entirely rural,EDR  2 - Headwaters,Northwest Minnesota
27079,"Le Sueur, MN",079,2002,6831,355776,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
27081,"Lincoln, MN",081,2002,4704,63674,A,Entirely rural,EDR  8 - Southwest,Southwest Minnesota
27083,"Lyon, MN",083,2002,13768,600163,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27085,"McLeod, MN",085,2002,10412,788300,C,Urban/town/rural mix,EDR  6E- Southwest Central,Central Minnesota
27087,"Mahnomen, MN",087,2002,-2409,71793,A,Entirely rural,EDR  2 - Headwaters,Northwest Minnesota
27089,"Marshall, MN",089,2002,9765,105523,C,Urban/town/rural mix,EDR  1 - Northwest,Northwest Minnesota
27091,"Martin, MN",091,2002,29722,400485,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
27093,"Meeker, MN",093,2002,11537,297658,B,Town/rural mix,EDR  6E- Southwest Central,Central Minnesota
27095,"Mille Lacs, MN",095,2002,3521,372733,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
27097,"Morrison, MN",097,2002,18206,432363,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27099,"Mower, MN",099,2002,20699,708575,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27101,"Murray, MN",101,2002,23944,125703,A,Entirely rural,EDR  8 - Southwest,Southwest Minnesota
27103,"Nicollet, MN",103,2002,17364,569353,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
27105,"Nobles, MN",105,2002,28694,416737,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27107,"Norman, MN",107,2002,12494,89259,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
27109,"Olmsted, MN",109,2002,-932,4448241,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
27111,"Otter Tail, MN",111,2002,26320,856482,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
27113,"Pennington, MN",113,2002,3024,320910,B,Town/rural mix,EDR  1 - Northwest,Northwest Minnesota
27115,"Pine, MN",115,2002,1585,303515,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
27117,"Pipestone, MN",117,2002,10253,164936,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27119,"Polk, MN",119,2002,13337,452218,C,Urban/town/rural mix,EDR  1 - Northwest,Northwest Minnesota
27121,"Pope, MN",121,2002,10831,158836,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
27123,"Ramsey, MN",123,2002,919,18562872,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27125,"Red Lake, MN",125,2002,-332,44735,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
27127,"Redwood, MN",127,2002,33662,267810,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27129,"Renville, MN",129,2002,46646,290900,A,Entirely rural,EDR  6E- Southwest Central,Central Minnesota
27131,"Rice, MN",131,2002,4348,1046640,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27133,"Rock, MN",133,2002,19099,161546,C,Urban/town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27135,"Roseau, MN",135,2002,-2065,362010,B,Town/rural mix,EDR  1 - Northwest,Northwest Minnesota
27137,"St. Louis, MN",137,2002,2052,4160052,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27139,"Scott, MN",139,2002,4286,1932377,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27141,"Sherburne, MN",141,2002,6578,1006037,D,Entirely urban,EDR  7W- Central,Central Minnesota
27143,"Sibley, MN",143,2002,25583,174634,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
27145,"Stearns, MN",145,2002,57008,3333256,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
27147,"Steele, MN",147,2002,16580,834354,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27149,"Stevens, MN",149,2002,19934,233303,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
27151,"Swift, MN",151,2002,12398,202543,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27153,"Todd, MN",153,2002,7060,250740,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27155,"Traverse, MN",155,2002,7763,52530,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
27157,"Wabasha, MN",157,2002,13679,325911,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27159,"Wadena, MN",159,2002,-866,230890,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27161,"Waseca, MN",161,2002,13798,335432,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
27163,"Washington, MN",163,2002,23095,3513456,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27165,"Watonwan, MN",165,2002,15273,187588,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
27167,"Wilkin, MN",167,2002,14009,122931,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
27169,"Winona, MN",169,2002,14721,973038,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27171,"Wright, MN",171,2002,5112,1441190,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
27173,"Yellow Medicine, MN",173,2002,22756,163103,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27000,Minnesota,000,2003,1847095,141146500,NA,Minnesota,Minnesota,Minnesota
27001,"Aitkin, MN",001,2003,3723,165604,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
27003,"Anoka, MN",003,2003,17557,5968457,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27005,"Becker, MN",005,2003,23546,525766,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
27007,"Beltrami, MN",007,2003,10177,712365,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
27009,"Benton, MN",009,2003,17215,702421,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
27011,"Big Stone, MN",011,2003,6857,73027,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27013,"Blue Earth, MN",013,2003,31363,1562691,D,Entirely urban,EDR  9 - South Central,Southwest Minnesota
27015,"Brown, MN",015,2003,36079,601898,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
27017,"Carlton, MN",017,2003,1259,565890,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27019,"Carver, MN",019,2003,15518,1679584,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27021,"Cass, MN",021,2003,12461,368577,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27023,"Chippewa, MN",023,2003,30492,251901,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27025,"Chisago, MN",025,2003,6727,682225,D,Entirely urban,EDR  7E- East Central,Central Minnesota
27027,"Clay, MN",027,2003,50133,774990,D,Entirely urban,EDR  4 - West Central,Northwest Minnesota
27029,"Clearwater, MN",029,2003,3428,109103,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
27031,"Cook, MN",031,2003,0,108375,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
27033,"Cottonwood, MN",033,2003,32494,228905,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27035,"Crow Wing, MN",035,2003,1200,1157433,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
27037,"Dakota, MN",037,2003,35496,9072158,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27039,"Dodge, MN",039,2003,15469,249313,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
27041,"Douglas, MN",041,2003,13078,731953,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
27043,"Faribault, MN",043,2003,29188,275343,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
27045,"Fillmore, MN",045,2003,6200,295849,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27047,"Freeborn, MN",047,2003,24787,530202,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27049,"Goodhue, MN",049,2003,30238,990064,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27051,"Grant, MN",051,2003,15506,96010,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
27053,"Hennepin, MN",053,2003,18758,53834290,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
27055,"Houston, MN",055,2003,18001,234269,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
27057,"Hubbard, MN",057,2003,7241,366411,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
27059,"Isanti, MN",059,2003,-1199,443355,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
27061,"Itasca, MN",061,2003,1751,685263,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27063,"Jackson, MN",063,2003,29208,198864,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
27065,"Kanabec, MN",065,2003,1632,171149,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
27067,"Kandiyohi, MN",067,2003,25057,910876,B,Town/rural mix,EDR  6E- Southwest Central,Central Minnesota
27069,"Kittson, MN",069,2003,43724,104311,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
27071,"Koochiching, MN",071,2003,1565,273800,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
27073,"Lac qui Parle, MN",073,2003,12799,105573,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
27075,"Lake, MN",075,2003,13,184101,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
