GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27000,Minnesota,4,CAINC5N,35,...,Earnings by place of work,Thousands of dollars,131679344,135128152,141146500,150987628,154969728,159588573,167175577,171922227,162791441,169682909,179683799,190181389,195260585,202625339,211003037,215200116,223244047,233117230
27000,Minnesota,4,CAINC5N,81,111-112,Farm earnings,Thousands of dollars,1029219,1017896,1847095,2470627,2941668,2553230,2631792,3970212,2121024,3140158,4300155,5977017,5613071,3628734,3180010,1335979,1850163,1852217
27000,Minnesota,4,CAINC5N,82,...,Nonfarm earnings,Thousands of dollars,130650125,134110256,139299405,148517001,152028060,157035343,164543785,167952015,160670417,166542751,175383644,184204372,189647514,198996605,207823027,213864137,221393884,231265013
27000,Minnesota,4,CAINC5N,100,113-115,"Forestry, fishing, and related activities",Thousands of dollars,117945,124593,229585,352297,336968,296390,223003,223698,222793,300690,292030,355089,353458,352001,398532,402385,463395,481398
27000,Minnesota,4,CAINC5N,200,21,"Mining, quarrying, and oil and gas extraction",Thousands of dollars,408610,378850,361548,383482,414596,501917,485813,732805,602497,976890,1176364,1183105,927900,828747,678592,517028,672460,759190
27000,Minnesota,4,CAINC5N,300,22,Utilities,Thousands of dollars,842827,811803,959441,1198247,1210619,1293319,1342312,1492110,1462144,1530664,1679662,1580571,1771211,1840227,1843677,1868715,1826316,1908942
27000,Minnesota,4,CAINC5N,400,23,Construction,Thousands of dollars,9149143,9487687,9876061,10363213,10222065,10284917,9802835,9073023,8055342,8103720,8778708,9983895,10611471,11570128,12485390,12773484,13395256,13978979
27000,Minnesota,4,CAINC5N,500,31-33,Manufacturing,Thousands of dollars,20525661,20752694,21180383,22938393,22509926,22564511,23009869,23196028,20841863,21022496,22324447,23358125,23824320,25279971,26589350,26723491,27266442,28206254
27000,Minnesota,4,CAINC5N,600,42,Wholesale trade,Thousands of dollars,8706414,8712020,8879458,9455343,10170482,10829173,11480699,11470412,10905434,11316539,12515680,13182426,13482886,13835451,14176861,13916304,14151249,14349985
27000,Minnesota,4,CAINC5N,700,44-45,Retail trade,Thousands of dollars,8234398,8481395,8715273,9204756,9344387,9345401,9344693,9145471,8914798,9328154,9733549,9838094,10302946,10864873,11288662,11564754,11842079,12326763
27000,Minnesota,4,CAINC5N,800,48-49,Transportation and warehousing,Thousands of dollars,5274653,5010390,5171439,5394988,5461605,5156744,5832952,5789502,5305653,5552706,6095612,6317104,6533443,6858936,7224479,7524846,8020552,8380010
27000,Minnesota,4,CAINC5N,900,51,Information,Thousands of dollars,4002814,3919919,3882958,4172238,4304140,4389283,4911227,4924346,4704712,4454852,4630214,4607897,4645870,4852360,4982408,4777935,4752368,4899737
27000,Minnesota,4,CAINC5N,1100,53,Real estate and rental and leasing,Thousands of dollars,2263597,2392863,2507370,2639388,2521848,2384511,2363202,2467831,2502121,2319999,2875259,3869627,3952747,4044103,4158244,3793389,3565023,3629490
27000,Minnesota,4,CAINC5N,1200,54,"Professional, scientific, and technical services",Thousands of dollars,10042739,9949820,10074574,10575573,11200187,12090062,13240515,14130820,13203312,13396590,14387742,15041001,15815687,17164721,18029708,19977356,20435961,21484286
27000,Minnesota,4,CAINC5N,1300,55,Management of companies and enterprises,Thousands of dollars,6188085,5921964,6129413,7013581,7003846,7134174,8194407,9672014,7889056,9099153,9300903,9729862,10192238,10608989,10776479,10868289,11601201,12000032
27000,Minnesota,4,CAINC5N,1400,56,Administrative and support and waste management and remediation services,Thousands of dollars,3915011,3947113,4085416,4271107,4515991,4821878,5237641,5266211,4929665,5353415,5807191,5928312,6004512,6380927,6659261,7075886,7547640,7593887
27000,Minnesota,4,CAINC5N,1500,61,Educational services,Thousands of dollars,1399485,1552250,1660776,1767762,1814906,1954077,2182643,2343690,2529128,2655107,2787139,2856255,2830259,2960201,3014599,3175543,3152063,3251508
27000,Minnesota,4,CAINC5N,1600,62,Health care and social assistance,Thousands of dollars,12562036,13809307,14864513,15889285,16603108,17906007,19292017,20292058,21059164,22081568,22538834,23272618,24154274,25147701,26545510,28285214,29408272,31256560
27000,Minnesota,4,CAINC5N,1700,71,"Arts, entertainment, and recreation",Thousands of dollars,915260,1013677,1061494,1126695,1082752,1250043,1302013,1417732,1313338,1434598,1515556,1484192,1613798,2001575,2125185,2243562,2412128,2631950
27000,Minnesota,4,CAINC5N,1800,72,Accommodation and food services,Thousands of dollars,3020188,3081941,3277205,3493024,3527345,3605039,3805507,3850549,3701149,3735372,4020061,4302696,4461478,4734240,5123345,5510782,5776200,6015044
27000,Minnesota,4,CAINC5N,1900,81,Other services (except government and government enterprises),Thousands of dollars,4866307,5405908,5344203,5500622,5719063,5960033,5927220,5685457,5669837,5893468,6091579,6381715,6486407,6986654,7194662,7413210,7620897,7956699
27000,Minnesota,4,CAINC5N,2000,...,Government and government enterprises,Thousands of dollars,17787514,18835463,19511342,20387564,21162267,21895471,22824316,23885904,24485222,24818122,24604838,24616534,25730325,26680935,27609516,28375045,29115083,30551270
27001,"Aitkin, MN",4,CAINC5N,35,...,Earnings by place of work,Thousands of dollars,142953,157037,165604,174543,174266,178383,178452,174216,168276,183171,181171,183305,185763,193209,201917,211576,221595,229741
27001,"Aitkin, MN",4,CAINC5N,81,111-112,Farm earnings,Thousands of dollars,1900,3189,3723,2601,1052,1544,1177,609,-557,10444,4540,2199,3605,4694,4752,1131,732,-404
27001,"Aitkin, MN",4,CAINC5N,82,...,Nonfarm earnings,Thousands of dollars,141053,153848,161881,171942,173214,176839,177275,173607,168833,172727,176631,181106,182158,188515,197165,210445,220863,230145
27001,"Aitkin, MN",4,CAINC5N,100,113-115,"Forestry, fishing, and related activities",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2057,2375,2134,2154
27001,"Aitkin, MN",4,CAINC5N,200,21,"Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2535,5436,5450
27001,"Aitkin, MN",4,CAINC5N,300,22,Utilities,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
27001,"Aitkin, MN",4,CAINC5N,400,23,Construction,Thousands of dollars,18082,19999,20958,21352,19890,21705,20178,16948,13680,13681,13662,16511,15734,16927,16755,18056,19058,19955
27001,"Aitkin, MN",4,CAINC5N,500,31-33,Manufacturing,Thousands of dollars,16599,17107,17303,17671,16436,15708,15205,14893,12140,12559,13571,13117,15270,16983,18797,21181,23213,25079
27001,"Aitkin, MN",4,CAINC5N,600,42,Wholesale trade,Thousands of dollars,6348,6784,7368,9124,9124,8226,8106,8172,8342,8881,9295,9421,6148,5916,6644,(D),(D),8703
27001,"Aitkin, MN",4,CAINC5N,700,44-45,Retail trade,Thousands of dollars,13081,13958,14897,15029,15022,16707,16680,17929,14812,14694,15278,15400,16254,16768,17170,17879,18136,18959
27001,"Aitkin, MN",4,CAINC5N,800,48-49,Transportation and warehousing,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
27001,"Aitkin, MN",4,CAINC5N,900,51,Information,Thousands of dollars,2009,2157,2341,2785,2796,2667,2931,2827,3019,2933,3096,2747,2448,1982,1867,1673,822,340
27001,"Aitkin, MN",4,CAINC5N,1100,53,Real estate and rental and leasing,Thousands of dollars,1789,1763,2093,2360,2188,1897,1611,2417,3093,2273,(D),4253,3268,2760,2664,2934,3224,2587
