periodyear,edr,naicstitle,wages
2018,EDR 1 - Northwest,Food Manufacturing,57686101
2017,EDR 1 - Northwest,Food Manufacturing,56556373
2016,EDR 1 - Northwest,Food Manufacturing,52833879
2015,EDR 1 - Northwest,Food Manufacturing,52720290
2014,EDR 1 - Northwest,Food Manufacturing,49823741
2013,EDR 1 - Northwest,Food Manufacturing,50477055
2012,EDR 1 - Northwest,Food Manufacturing,55858288
2011,EDR 1 - Northwest,Food Manufacturing,47043196
2010,EDR 1 - Northwest,Food Manufacturing,39696838
2009,EDR 1 - Northwest,Food Manufacturing,38897035
2008,EDR 1 - Northwest,Food Manufacturing,35777404
2007,EDR 1 - Northwest,Food Manufacturing,36181201
2006,EDR 1 - Northwest,Food Manufacturing,34052204
2005,EDR 1 - Northwest,Food Manufacturing,34400921
2004,EDR 1 - Northwest,Food Manufacturing,35065601
2003,EDR 1 - Northwest,Food Manufacturing,24611722
2002,EDR 1 - Northwest,Food Manufacturing,29917848
2001,EDR 1 - Northwest,Food Manufacturing,33099027
2018,EDR 2 - Headwaters,Food Manufacturing,21491091
2017,EDR 2 - Headwaters,Food Manufacturing,20933460
2016,EDR 2 - Headwaters,Food Manufacturing,20503783
2015,EDR 2 - Headwaters,Food Manufacturing,18644313
2014,EDR 2 - Headwaters,Food Manufacturing,19155296
2013,EDR 2 - Headwaters,Food Manufacturing,18477527
2012,EDR 2 - Headwaters,Food Manufacturing,17043349
2011,EDR 2 - Headwaters,Food Manufacturing,16692677
2010,EDR 2 - Headwaters,Food Manufacturing,16195089
2009,EDR 2 - Headwaters,Food Manufacturing,16920396
2008,EDR 2 - Headwaters,Food Manufacturing,16355021
2007,EDR 2 - Headwaters,Food Manufacturing,13520825
2006,EDR 2 - Headwaters,Food Manufacturing,12642314
2005,EDR 2 - Headwaters,Food Manufacturing,12823943
2004,EDR 2 - Headwaters,Food Manufacturing,12790500
2003,EDR 2 - Headwaters,Food Manufacturing,9613982
2002,EDR 2 - Headwaters,Food Manufacturing,12952274
2001,EDR 2 - Headwaters,Food Manufacturing,12192445
2018,EDR 3 - Arrowhead,Food Manufacturing,14691338
2017,EDR 3 - Arrowhead,Food Manufacturing,8520841
2016,EDR 3 - Arrowhead,Food Manufacturing,12517455
2015,EDR 3 - Arrowhead,Food Manufacturing,9607488
2014,EDR 3 - Arrowhead,Food Manufacturing,9923709
2013,EDR 3 - Arrowhead,Food Manufacturing,12230317
2012,EDR 3 - Arrowhead,Food Manufacturing,13431323
2011,EDR 3 - Arrowhead,Food Manufacturing,28717832
2010,EDR 3 - Arrowhead,Food Manufacturing,10457736
2009,EDR 3 - Arrowhead,Food Manufacturing,10950465
2008,EDR 3 - Arrowhead,Food Manufacturing,15925293
2007,EDR 3 - Arrowhead,Food Manufacturing,13099741
2006,EDR 3 - Arrowhead,Food Manufacturing,13109285
2005,EDR 3 - Arrowhead,Food Manufacturing,14871602
2004,EDR 3 - Arrowhead,Food Manufacturing,17797916
2003,EDR 3 - Arrowhead,Food Manufacturing,19523333
2002,EDR 3 - Arrowhead,Food Manufacturing,18259344
2001,EDR 3 - Arrowhead,Food Manufacturing,21359641
2018,EDR 4 - West Central,Food Manufacturing,138027152
2017,EDR 4 - West Central,Food Manufacturing,135524174
2016,EDR 4 - West Central,Food Manufacturing,129037709
2015,EDR 4 - West Central,Food Manufacturing,119925374
2014,EDR 4 - West Central,Food Manufacturing,115045327
2013,EDR 4 - West Central,Food Manufacturing,112717694
2012,EDR 4 - West Central,Food Manufacturing,113306207
2011,EDR 4 - West Central,Food Manufacturing,105285853
2010,EDR 4 - West Central,Food Manufacturing,100342159
2009,EDR 4 - West Central,Food Manufacturing,96135828
2008,EDR 4 - West Central,Food Manufacturing,84889423
2007,EDR 4 - West Central,Food Manufacturing,79586016
2006,EDR 4 - West Central,Food Manufacturing,72358513
2005,EDR 4 - West Central,Food Manufacturing,67694410
2004,EDR 4 - West Central,Food Manufacturing,79254861
2003,EDR 4 - West Central,Food Manufacturing,77652837
2002,EDR 4 - West Central,Food Manufacturing,77657757
2001,EDR 4 - West Central,Food Manufacturing,78843932
2018,EDR 5 - North Central,Food Manufacturing,82887008
2017,EDR 5 - North Central,Food Manufacturing,76473549
2016,EDR 5 - North Central,Food Manufacturing,69743236
2015,EDR 5 - North Central,Food Manufacturing,65309801
2014,EDR 5 - North Central,Food Manufacturing,60811052
2013,EDR 5 - North Central,Food Manufacturing,58940033
2012,EDR 5 - North Central,Food Manufacturing,55689950
2011,EDR 5 - North Central,Food Manufacturing,51828436
2010,EDR 5 - North Central,Food Manufacturing,50703097
2009,EDR 5 - North Central,Food Manufacturing,46204246
2008,EDR 5 - North Central,Food Manufacturing,45899223
2007,EDR 5 - North Central,Food Manufacturing,41757218
2006,EDR 5 - North Central,Food Manufacturing,38077274
2005,EDR 5 - North Central,Food Manufacturing,36375981
