periodyear,edr,naicstitle,wages
2018,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,26941493
2017,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,25976746
2016,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,26718130
2015,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,26682776
2014,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,24839729
2013,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,22494655
2012,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,23341794
2011,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,22987535
2010,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,22374259
2009,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,20652659
2008,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,20703128
2007,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,17768119
2006,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,15350702
2005,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,13230672
2004,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,14418679
2003,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,13255766
2002,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,12588646
2001,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,12048617
2018,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,2619758
2017,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,2387604
2016,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,2399861
2015,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,2714415
2014,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,2182774
2013,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,1786138
2012,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,1756855
2011,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,1677419
2010,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,1459971
2009,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,1399347
2008,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,1385716
2007,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,1351348
2006,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,1258862
2005,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,1227158
2004,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,1148617
2003,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,1028414
2002,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,719118
2001,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,900824
2008,EDR 3 - Arrowhead,Farm Product Raw Material Merchant Wholesalers,1111360
2007,EDR 3 - Arrowhead,Farm Product Raw Material Merchant Wholesalers,1605289
2006,EDR 3 - Arrowhead,Farm Product Raw Material Merchant Wholesalers,778444
2005,EDR 3 - Arrowhead,Farm Product Raw Material Merchant Wholesalers,1246171
2004,EDR 3 - Arrowhead,Farm Product Raw Material Merchant Wholesalers,663111
2018,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,41348075
2017,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,39542762
2016,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,45663140
2015,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,46321014
2014,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,45971696
2013,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,42124743
2012,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,38516186
2011,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,39501438
2010,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,36745526
2009,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,33967933
2008,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,31235276
2007,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,25538792
2006,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,27318809
2005,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,22483644
2004,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,18883313
2003,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,16359901
2002,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,14956048
2001,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,14210355
2018,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,1378176
2017,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,1327790
2016,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,1321789
2015,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,1396023
2014,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,1319411
2013,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,1371211
2012,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,700198
2011,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,647487
2010,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,704978
2009,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,608478
2008,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,668179
2007,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,664237
2006,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,635759
2005,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,703419
2004,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,853155
2003,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,785556
2002,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,732192
2001,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,863091
2018,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,12602539
2017,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,12991422
2016,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,12152618
2015,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,12004374
2014,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,12621381
2013,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,12910169
2012,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,12018229
2011,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,10124037
2010,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,10603005
2009,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,10238307
2008,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,10306729
2007,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,9861593
2006,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,9946789
2005,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,8423115
2004,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,7943888
2003,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,7827769
2002,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,8013848
2001,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,8183993
2018,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,20779921
2017,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,20630862
2016,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,21511228
2015,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,22998490
2014,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,22138162
2013,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,20868053
2012,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,20705537
2011,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,22069401
2010,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,20788564
2009,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,19902905
2008,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,19762420
2007,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,17695172
2006,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,16167781
2005,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,15166879
2004,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,14286689
2003,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,12813420
2002,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,12555954
2001,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,10901320
2001,EDR 7E- East Central,Farm Product Raw Material Merchant Wholesalers,1231270
2001,EDR 7W- Central,Farm Product Raw Material Merchant Wholesalers,894204
2018,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,40857609
2017,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,41248164
2016,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,42234264
2015,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,42109316
2014,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,39221573
2013,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,37186187
2012,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,36289500
2011,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,35574737
2010,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,34756951
2009,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,31235795
2008,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,29010254
2007,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,25082822
2006,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,23055673
2005,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,23256290
2004,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,22801118
2003,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,21967763
2002,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,20671309
2001,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,21979616
2018,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,38506093
2017,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,36656436
2016,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,37824483
2015,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,39358013
2014,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,38288879
2013,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,116262381
2012,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,36035211
2011,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,34376703
2010,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,33169348
2009,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,31084227
2008,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,28146985
2007,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,26537091
2006,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,24752977
2005,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,22217109
2004,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,22215386
2003,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,20199640
2002,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,18507165
2001,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,18732712
2018,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,31859524
2017,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,29187944
2016,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,28842624
2015,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,29090556
2014,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,28476009
2013,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,28156012
2012,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,25562983
2011,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,30268622
2010,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,28682781
2009,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,28055705
2008,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,27478979
2007,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,27646027
2006,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,24369967
