periodyear,naicstitle,Name,emp.break,emp,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
2018,"Total, All Industries",Aitkin,empYear,4090,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2018,Crop Production,Aitkin,empYear,3,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2018,Food Manufacturing,Aitkin,empYear,6,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2017,"Total, All Industries",Aitkin,empYear,4055,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2017,Crop Production,Aitkin,empYear,8,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2017,Food Manufacturing,Aitkin,empYear,8,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2016,"Total, All Industries",Aitkin,empYear,3902,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2016,Food Manufacturing,Aitkin,empYear,8,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2015,"Total, All Industries",Aitkin,empYear,3770,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2014,"Total, All Industries",Aitkin,empYear,3735,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2013,"Total, All Industries",Aitkin,empYear,3685,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2013,Food Manufacturing,Aitkin,empYear,7,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2012,"Total, All Industries",Aitkin,empYear,3671,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2012,Food Manufacturing,Aitkin,empYear,2,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2011,"Total, All Industries",Aitkin,empYear,3715,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2011,Crop Production,Aitkin,empYear,8,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2011,Food Manufacturing,Aitkin,empYear,2,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2010,"Total, All Industries",Aitkin,empYear,3796,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2010,Crop Production,Aitkin,empYear,8,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2010,Food Manufacturing,Aitkin,empYear,2,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2009,"Total, All Industries",Aitkin,empYear,3900,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2009,Crop Production,Aitkin,empYear,7,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2009,Food Manufacturing,Aitkin,empYear,4,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2008,"Total, All Industries",Aitkin,empYear,4151,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2008,Food Manufacturing,Aitkin,empYear,3,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2007,"Total, All Industries",Aitkin,empYear,4229,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2007,Crop Production,Aitkin,empYear,16,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2007,Food Manufacturing,Aitkin,empYear,3,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2006,"Total, All Industries",Aitkin,empYear,4306,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2006,Crop Production,Aitkin,empYear,18,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2006,Food Manufacturing,Aitkin,empYear,6,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2005,"Total, All Industries",Aitkin,empYear,4231,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2005,Crop Production,Aitkin,empYear,10,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2005,Food Manufacturing,Aitkin,empYear,13,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2004,"Total, All Industries",Aitkin,empYear,4156,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2004,Crop Production,Aitkin,empYear,13,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2004,Food Manufacturing,Aitkin,empYear,5,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2003,"Total, All Industries",Aitkin,empYear,4036,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2003,Crop Production,Aitkin,empYear,14,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2002,"Total, All Industries",Aitkin,empYear,3993,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2002,Crop Production,Aitkin,empYear,23,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2002,Food Manufacturing,Aitkin,empYear,3,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2001,"Total, All Industries",Aitkin,empYear,3922,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2001,Crop Production,Aitkin,empYear,22,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2001,Food Manufacturing,Aitkin,empYear,3,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
2018,"Total, All Industries",Anoka,empYear,125792,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,Crop Production,Anoka,empYear,344,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,Support Activities for Crop Production,Anoka,empYear,26,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,Support Activities for Animal Production,Anoka,empYear,10,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,Food Manufacturing,Anoka,empYear,254,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,Farm Supplies Merchant Wholesalers,Anoka,empYear,52,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2017,"Total, All Industries",Anoka,empYear,122480,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2017,Crop Production,Anoka,empYear,351,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2017,Food Manufacturing,Anoka,empYear,290,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2017,Farm Supplies Merchant Wholesalers,Anoka,empYear,49,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2016,"Total, All Industries",Anoka,empYear,120940,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2016,Crop Production,Anoka,empYear,340,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2016,Food Manufacturing,Anoka,empYear,292,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2016,Farm Supplies Merchant Wholesalers,Anoka,empYear,47,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
