periodyear,naicstitle,edr,emp.break,emp,planning.region
2018,"Total, All Industries",EDR 1 - Northwest,empYear,36891,Northwest
2018,Crop Production,EDR 1 - Northwest,empYear,820,Northwest
2018,Animal Production and Aquaculture,EDR 1 - Northwest,empYear,29,Northwest
2018,Food Manufacturing,EDR 1 - Northwest,empYear,997,Northwest
2018,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,420,Northwest
2018,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,177,Northwest
2017,"Total, All Industries",EDR 1 - Northwest,empYear,36878,Northwest
2017,Crop Production,EDR 1 - Northwest,empYear,867,Northwest
2017,Animal Production and Aquaculture,EDR 1 - Northwest,empYear,87,Northwest
2017,Food Manufacturing,EDR 1 - Northwest,empYear,1038,Northwest
2017,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,454,Northwest
2017,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,200,Northwest
2016,"Total, All Industries",EDR 1 - Northwest,empYear,37229,Northwest
2016,Crop Production,EDR 1 - Northwest,empYear,870,Northwest
2016,Animal Production and Aquaculture,EDR 1 - Northwest,empYear,17,Northwest
2016,Food Manufacturing,EDR 1 - Northwest,empYear,966,Northwest
2016,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,491,Northwest
2016,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,226,Northwest
2015,"Total, All Industries",EDR 1 - Northwest,empYear,37853,Northwest
2015,Crop Production,EDR 1 - Northwest,empYear,831,Northwest
2015,Animal Production and Aquaculture,EDR 1 - Northwest,empYear,47,Northwest
2015,Food Manufacturing,EDR 1 - Northwest,empYear,1015,Northwest
2015,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,508,Northwest
2014,"Total, All Industries",EDR 1 - Northwest,empYear,38007,Northwest
2014,Crop Production,EDR 1 - Northwest,empYear,809,Northwest
2014,Animal Production and Aquaculture,EDR 1 - Northwest,empYear,17,Northwest
2014,Food Manufacturing,EDR 1 - Northwest,empYear,1018,Northwest
2014,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,474,Northwest
2013,"Total, All Industries",EDR 1 - Northwest,empYear,37312,Northwest
2013,Crop Production,EDR 1 - Northwest,empYear,757,Northwest
2013,Food Manufacturing,EDR 1 - Northwest,empYear,1080,Northwest
2013,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,458,Northwest
2012,"Total, All Industries",EDR 1 - Northwest,empYear,36896,Northwest
2012,Crop Production,EDR 1 - Northwest,empYear,654,Northwest
2012,Animal Production and Aquaculture,EDR 1 - Northwest,empYear,23,Northwest
2012,Food Manufacturing,EDR 1 - Northwest,empYear,1165,Northwest
2012,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,458,Northwest
2012,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,43,Northwest
2011,"Total, All Industries",EDR 1 - Northwest,empYear,36238,Northwest
2011,Crop Production,EDR 1 - Northwest,empYear,578,Northwest
2011,Animal Production and Aquaculture,EDR 1 - Northwest,empYear,23,Northwest
