periodyear,naicstitle,Dem_Desc,emp
2001,Agricultural Implement Manufacturing,Entirely urban,69
2001,Agricultural Implement Manufacturing,Urban/town/rural mix,19
2001,Animal Production and Aquaculture,Entirely rural,379
2001,Animal Production and Aquaculture,Entirely urban,625
2001,Animal Production and Aquaculture,Town/rural mix,2638
2001,Animal Production and Aquaculture,Urban/town/rural mix,2510
2001,Crop Production,Entirely rural,207
2001,Crop Production,Entirely urban,2448
2001,Crop Production,Town/rural mix,676
2001,Crop Production,Urban/town/rural mix,914
2001,Farm Product Raw Material Merchant Wholesalers,Entirely rural,249
2001,Farm Product Raw Material Merchant Wholesalers,Entirely urban,1630
2001,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1626
2001,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,864
2001,Farm Supplies Merchant Wholesalers,Entirely rural,153
2001,Farm Supplies Merchant Wholesalers,Entirely urban,1017
2001,Farm Supplies Merchant Wholesalers,Town/rural mix,877
2001,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,639
2001,Food Manufacturing,Entirely rural,1120
2001,Food Manufacturing,Entirely urban,15399
2001,Food Manufacturing,Town/rural mix,13029
2001,Food Manufacturing,Urban/town/rural mix,14347
2001,Support Activities for Animal Production,Entirely urban,108
2001,Support Activities for Animal Production,Town/rural mix,3
2001,Support Activities for Animal Production,Urban/town/rural mix,16
2001,Support Activities for Crop Production,Entirely urban,4
2001,Support Activities for Crop Production,Town/rural mix,12
2001,Support Activities for Crop Production,Urban/town/rural mix,32
2001,"Total, All Industries",Entirely rural,33017
2001,"Total, All Industries",Entirely urban,1771244
2001,"Total, All Industries",Town/rural mix,329657
2001,"Total, All Industries",Urban/town/rural mix,445190
2002,Agricultural Implement Manufacturing,Town/rural mix,32
2002,Animal Production and Aquaculture,Entirely rural,355
2002,Animal Production and Aquaculture,Entirely urban,661
2002,Animal Production and Aquaculture,Town/rural mix,2694
2002,Animal Production and Aquaculture,Urban/town/rural mix,2467
2002,Crop Production,Entirely rural,249
2002,Crop Production,Entirely urban,2455
2002,Crop Production,Town/rural mix,735
2002,Crop Production,Urban/town/rural mix,915
2002,Farm Product Raw Material Merchant Wholesalers,Entirely rural,219
2002,Farm Product Raw Material Merchant Wholesalers,Entirely urban,1936
2002,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1556
2002,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,837
2002,Farm Supplies Merchant Wholesalers,Entirely rural,125
2002,Farm Supplies Merchant Wholesalers,Entirely urban,1045
2002,Farm Supplies Merchant Wholesalers,Town/rural mix,576
2002,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,762
2002,Food Manufacturing,Entirely rural,492
2002,Food Manufacturing,Entirely urban,15327
2002,Food Manufacturing,Town/rural mix,12556
2002,Food Manufacturing,Urban/town/rural mix,13977
2002,Support Activities for Animal Production,Entirely urban,50
2002,Support Activities for Animal Production,Town/rural mix,7
2002,Support Activities for Animal Production,Urban/town/rural mix,34
2002,Support Activities for Crop Production,Entirely urban,12
2002,Support Activities for Crop Production,Town/rural mix,23
2002,Support Activities for Crop Production,Urban/town/rural mix,65
2002,"Total, All Industries",Entirely rural,33184
2002,"Total, All Industries",Entirely urban,1740419
2002,"Total, All Industries",Town/rural mix,330925
2002,"Total, All Industries",Urban/town/rural mix,446476
2003,Agricultural Implement Manufacturing,Town/rural mix,45
2003,Agricultural Implement Manufacturing,Urban/town/rural mix,10
2003,Animal Production and Aquaculture,Entirely rural,376
2003,Animal Production and Aquaculture,Entirely urban,628
2003,Animal Production and Aquaculture,Town/rural mix,2720
2003,Animal Production and Aquaculture,Urban/town/rural mix,2545
2003,Crop Production,Entirely rural,298
2003,Crop Production,Entirely urban,2478
2003,Crop Production,Town/rural mix,795
2003,Crop Production,Urban/town/rural mix,926
2003,Farm Product Raw Material Merchant Wholesalers,Entirely rural,211
2003,Farm Product Raw Material Merchant Wholesalers,Entirely urban,1368
2003,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1467
2003,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,853
2003,Farm Supplies Merchant Wholesalers,Entirely rural,176
2003,Farm Supplies Merchant Wholesalers,Entirely urban,1219
2003,Farm Supplies Merchant Wholesalers,Town/rural mix,553
2003,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,830
2003,Food Manufacturing,Entirely rural,373
2003,Food Manufacturing,Entirely urban,15526
2003,Food Manufacturing,Town/rural mix,10329
2003,Food Manufacturing,Urban/town/rural mix,14014
2003,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,1
2003,Support Activities for Animal Production,Entirely urban,65
2003,Support Activities for Animal Production,Urban/town/rural mix,36
2003,Support Activities for Crop Production,Town/rural mix,18
2003,Support Activities for Crop Production,Urban/town/rural mix,105
2003,"Total, All Industries",Entirely rural,33103
2003,"Total, All Industries",Entirely urban,1738312
2003,"Total, All Industries",Town/rural mix,331086
2003,"Total, All Industries",Urban/town/rural mix,444615
2004,Agricultural Implement Manufacturing,Town/rural mix,64
2004,Animal Production and Aquaculture,Entirely rural,320
2004,Animal Production and Aquaculture,Entirely urban,704
2004,Animal Production and Aquaculture,Town/rural mix,2771
2004,Animal Production and Aquaculture,Urban/town/rural mix,2639
2004,Crop Production,Entirely rural,361
