periodyear,naicstitle,areaname,emp.type,emp,agrelated.emp
2018,Crop Production,EDR  1 - Northwest,empYear,818,2483.5
2018,Animal Production and Aquaculture,EDR  1 - Northwest,empYear,71.5,2483.5
2018,Food Manufacturing,EDR  1 - Northwest,empYear,997,2483.5
2018,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,420,2483.5
2018,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,177,2483.5
2017,Crop Production,EDR  1 - Northwest,empYear,867,2646
2017,Animal Production and Aquaculture,EDR  1 - Northwest,empYear,87,2646
2017,Food Manufacturing,EDR  1 - Northwest,empYear,1038,2646
2017,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,454,2646
2017,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,200,2646
2016,Crop Production,EDR  1 - Northwest,empYear,870,2638
2016,Animal Production and Aquaculture,EDR  1 - Northwest,empYear,85,2638
2016,Food Manufacturing,EDR  1 - Northwest,empYear,966,2638
2016,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,491,2638
2016,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,226,2638
2015,Crop Production,EDR  1 - Northwest,empYear,831,2433
2015,Animal Production and Aquaculture,EDR  1 - Northwest,empYear,79,2433
2015,Food Manufacturing,EDR  1 - Northwest,empYear,1015,2433
2015,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,508,2433
2014,Crop Production,EDR  1 - Northwest,empYear,809,2384
2014,Animal Production and Aquaculture,EDR  1 - Northwest,empYear,83,2384
2014,Food Manufacturing,EDR  1 - Northwest,empYear,1018,2384
2014,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,474,2384
2013,Crop Production,EDR  1 - Northwest,empYear,757,2295
2013,Food Manufacturing,EDR  1 - Northwest,empYear,1080,2295
2013,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,458,2295
2012,Crop Production,EDR  1 - Northwest,empYear,654,2607
2012,Animal Production and Aquaculture,EDR  1 - Northwest,empYear,114,2607
2012,Food Manufacturing,EDR  1 - Northwest,empYear,1165,2607
2012,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,458,2607
2012,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,216,2607
2011,Crop Production,EDR  1 - Northwest,empYear,578,2296.3333333333335
2011,Animal Production and Aquaculture,EDR  1 - Northwest,empYear,115,2296.3333333333335
2011,Food Manufacturing,EDR  1 - Northwest,empYear,911,2296.3333333333335
2011,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,468,2296.3333333333335
2011,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,224.33333333333334,2296.3333333333335
2010,Crop Production,EDR  1 - Northwest,empYear,558,2229
2010,Food Manufacturing,EDR  1 - Northwest,empYear,966,2229
2010,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,468,2229
2010,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,237,2229
2009,Crop Production,EDR  1 - Northwest,empYear,518,2160
2009,Food Manufacturing,EDR  1 - Northwest,empYear,946,2160
2009,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,479,2160
2009,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,217,2160
2008,Crop Production,EDR  1 - Northwest,empYear,482,2206
2008,Animal Production and Aquaculture,EDR  1 - Northwest,empYear,116,2206
2008,Food Manufacturing,EDR  1 - Northwest,empYear,899,2206
2008,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,484,2206
2008,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,225,2206
2007,Crop Production,EDR  1 - Northwest,empYear,449,2196
2007,Animal Production and Aquaculture,EDR  1 - Northwest,empYear,122,2196
2007,Food Manufacturing,EDR  1 - Northwest,empYear,933,2196
2007,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,454,2196
2007,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,238,2196
2006,Crop Production,EDR  1 - Northwest,empYear,446,2228
2006,Animal Production and Aquaculture,EDR  1 - Northwest,empYear,107,2228
2006,Food Manufacturing,EDR  1 - Northwest,empYear,1004,2228
2006,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,416,2228
2006,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,255,2228
2005,Crop Production,EDR  1 - Northwest,empYear,476,2311
2005,Animal Production and Aquaculture,EDR  1 - Northwest,empYear,113,2311
2005,Support Activities for Crop Production,EDR  1 - Northwest,empYear,110,2311
2005,Food Manufacturing,EDR  1 - Northwest,empYear,971,2311
2005,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,386,2311
2005,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,255,2311
2004,Crop Production,EDR  1 - Northwest,empYear,528,2258
2004,Support Activities for Crop Production,EDR  1 - Northwest,empYear,132,2258
2004,Food Manufacturing,EDR  1 - Northwest,empYear,951,2258
2004,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,409,2258
2004,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,238,2258
2003,Crop Production,EDR  1 - Northwest,empYear,525,2264.1666666666665
2003,Support Activities for Crop Production,EDR  1 - Northwest,empYear,142.5,2264.1666666666665
2003,Food Manufacturing,EDR  1 - Northwest,empYear,948.6666666666666,2264.1666666666665
2003,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,403,2264.1666666666665
2003,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,245,2264.1666666666665
2002,Crop Production,EDR  1 - Northwest,empYear,474,1984
2002,Food Manufacturing,EDR  1 - Northwest,empYear,855,1984
2002,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,387,1984
2002,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,268,1984
2001,Crop Production,EDR  1 - Northwest,empYear,470,2118
2001,Food Manufacturing,EDR  1 - Northwest,empYear,953,2118
2001,Farm Product Raw Material Merchant Wholesalers,EDR  1 - Northwest,empYear,373,2118
2001,Farm Supplies Merchant Wholesalers,EDR  1 - Northwest,empYear,322,2118
2018,Crop Production,EDR  2 - Headwaters,empYear,297,873
2018,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,41,873
2018,Food Manufacturing,EDR  2 - Headwaters,empYear,479,873
2018,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,56,873
2017,Crop Production,EDR  2 - Headwaters,empYear,295,890
2017,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,38,890
2017,Food Manufacturing,EDR  2 - Headwaters,empYear,498,890
2017,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,59,890
2016,Crop Production,EDR  2 - Headwaters,empYear,256,834
2016,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,39,834
2016,Food Manufacturing,EDR  2 - Headwaters,empYear,480,834
2016,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,59,834
2015,Crop Production,EDR  2 - Headwaters,empYear,261,836
2015,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,37,836
2015,Food Manufacturing,EDR  2 - Headwaters,empYear,469,836
2015,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,69,836
2014,Crop Production,EDR  2 - Headwaters,empYear,256,871
2014,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,37,871
2014,Food Manufacturing,EDR  2 - Headwaters,empYear,511,871
2014,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,67,871
2013,Crop Production,EDR  2 - Headwaters,empYear,229,880.5
2013,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,39,880.5
2013,Food Manufacturing,EDR  2 - Headwaters,empYear,514,880.5
2013,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,62,880.5
2013,Farm Supplies Merchant Wholesalers,EDR  2 - Headwaters,empYear,36.5,880.5
2012,Crop Production,EDR  2 - Headwaters,empYear,218,789
2012,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,37,789
2012,Food Manufacturing,EDR  2 - Headwaters,empYear,439,789
2012,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,62,789
2012,Farm Supplies Merchant Wholesalers,EDR  2 - Headwaters,empYear,33,789
2011,Crop Production,EDR  2 - Headwaters,empYear,206,779.5
