periodyear,edr,naicstitle,emp
2018,EDR 1 - Northwest,Food Manufacturing,997
2017,EDR 1 - Northwest,Food Manufacturing,1038
2016,EDR 1 - Northwest,Food Manufacturing,966
2015,EDR 1 - Northwest,Food Manufacturing,1015
2014,EDR 1 - Northwest,Food Manufacturing,1018
2013,EDR 1 - Northwest,Food Manufacturing,1080
2012,EDR 1 - Northwest,Food Manufacturing,1165
2011,EDR 1 - Northwest,Food Manufacturing,911
2010,EDR 1 - Northwest,Food Manufacturing,966
2009,EDR 1 - Northwest,Food Manufacturing,946
2008,EDR 1 - Northwest,Food Manufacturing,899
2007,EDR 1 - Northwest,Food Manufacturing,933
2006,EDR 1 - Northwest,Food Manufacturing,1004
2005,EDR 1 - Northwest,Food Manufacturing,971
2004,EDR 1 - Northwest,Food Manufacturing,951
2003,EDR 1 - Northwest,Food Manufacturing,569
2002,EDR 1 - Northwest,Food Manufacturing,855
2001,EDR 1 - Northwest,Food Manufacturing,953
2018,EDR 2 - Headwaters,Food Manufacturing,479
2017,EDR 2 - Headwaters,Food Manufacturing,498
2016,EDR 2 - Headwaters,Food Manufacturing,480
2015,EDR 2 - Headwaters,Food Manufacturing,469
2014,EDR 2 - Headwaters,Food Manufacturing,511
2013,EDR 2 - Headwaters,Food Manufacturing,514
2012,EDR 2 - Headwaters,Food Manufacturing,439
2011,EDR 2 - Headwaters,Food Manufacturing,405
2010,EDR 2 - Headwaters,Food Manufacturing,415
2009,EDR 2 - Headwaters,Food Manufacturing,442
2008,EDR 2 - Headwaters,Food Manufacturing,409
2007,EDR 2 - Headwaters,Food Manufacturing,371
2006,EDR 2 - Headwaters,Food Manufacturing,359
2005,EDR 2 - Headwaters,Food Manufacturing,473
2004,EDR 2 - Headwaters,Food Manufacturing,578
2003,EDR 2 - Headwaters,Food Manufacturing,340
2002,EDR 2 - Headwaters,Food Manufacturing,594
2001,EDR 2 - Headwaters,Food Manufacturing,553
2018,EDR 3 - Arrowhead,Food Manufacturing,309
2017,EDR 3 - Arrowhead,Food Manufacturing,167
2016,EDR 3 - Arrowhead,Food Manufacturing,261
2015,EDR 3 - Arrowhead,Food Manufacturing,258
