periodyear,planning.region,naicstitle,emp
2018,Central,Food Manufacturing,8583
2017,Central,Food Manufacturing,8460
2016,Central,Food Manufacturing,7754
2015,Central,Food Manufacturing,7714
2014,Central,Food Manufacturing,7635
2013,Central,Food Manufacturing,7518
2012,Central,Food Manufacturing,7181
2011,Central,Food Manufacturing,7164
2010,Central,Food Manufacturing,7213
2009,Central,Food Manufacturing,7128
2008,Central,Food Manufacturing,7454
2007,Central,Food Manufacturing,7171
2006,Central,Food Manufacturing,7077
2005,Central,Food Manufacturing,7091
2004,Central,Food Manufacturing,7118
2003,Central,Food Manufacturing,7098
2002,Central,Food Manufacturing,6874
2001,Central,Food Manufacturing,6793
2018,Northeast,Food Manufacturing,309
2017,Northeast,Food Manufacturing,167
2016,Northeast,Food Manufacturing,261
2015,Northeast,Food Manufacturing,258
2014,Northeast,Food Manufacturing,248
2013,Northeast,Food Manufacturing,313
2012,Northeast,Food Manufacturing,312
2011,Northeast,Food Manufacturing,331
2010,Northeast,Food Manufacturing,309
2009,Northeast,Food Manufacturing,328
2008,Northeast,Food Manufacturing,344
2007,Northeast,Food Manufacturing,352
2006,Northeast,Food Manufacturing,398
2005,Northeast,Food Manufacturing,501
2004,Northeast,Food Manufacturing,627
2003,Northeast,Food Manufacturing,674
2002,Northeast,Food Manufacturing,638
2001,Northeast,Food Manufacturing,771
2018,Northwest,Food Manufacturing,5942
2017,Northwest,Food Manufacturing,6048
2016,Northwest,Food Manufacturing,5739
2015,Northwest,Food Manufacturing,5703
2014,Northwest,Food Manufacturing,5722
2013,Northwest,Food Manufacturing,5761
2012,Northwest,Food Manufacturing,5889
2011,Northwest,Food Manufacturing,5427
2010,Northwest,Food Manufacturing,5404
2009,Northwest,Food Manufacturing,5193
2008,Northwest,Food Manufacturing,5040
2007,Northwest,Food Manufacturing,4958
2006,Northwest,Food Manufacturing,4912
2005,Northwest,Food Manufacturing,4924
2004,Northwest,Food Manufacturing,5148
2003,Northwest,Food Manufacturing,5124
2002,Northwest,Food Manufacturing,5177
2001,Northwest,Food Manufacturing,5254
2018,"Seven County Mpls-St Paul, MN",Food Manufacturing,10998
2017,"Seven County Mpls-St Paul, MN",Food Manufacturing,10966
2016,"Seven County Mpls-St Paul, MN",Food Manufacturing,11587
2015,"Seven County Mpls-St Paul, MN",Food Manufacturing,11705
2014,"Seven County Mpls-St Paul, MN",Food Manufacturing,11545
2013,"Seven County Mpls-St Paul, MN",Food Manufacturing,11552
2012,"Seven County Mpls-St Paul, MN",Food Manufacturing,10454
2011,"Seven County Mpls-St Paul, MN",Food Manufacturing,10316
2010,"Seven County Mpls-St Paul, MN",Food Manufacturing,10098
2009,"Seven County Mpls-St Paul, MN",Food Manufacturing,10006
2008,"Seven County Mpls-St Paul, MN",Food Manufacturing,9881
2007,"Seven County Mpls-St Paul, MN",Food Manufacturing,10318
2006,"Seven County Mpls-St Paul, MN",Food Manufacturing,10353
2005,"Seven County Mpls-St Paul, MN",Food Manufacturing,10634
2004,"Seven County Mpls-St Paul, MN",Food Manufacturing,11146
2003,"Seven County Mpls-St Paul, MN",Food Manufacturing,12521
2002,"Seven County Mpls-St Paul, MN",Food Manufacturing,12339
2001,"Seven County Mpls-St Paul, MN",Food Manufacturing,12323
2018,Southeast,Food Manufacturing,10594
2017,Southeast,Food Manufacturing,10726
2016,Southeast,Food Manufacturing,10497
2015,Southeast,Food Manufacturing,10279
2014,Southeast,Food Manufacturing,10312
2013,Southeast,Food Manufacturing,10209
2012,Southeast,Food Manufacturing,10241
2011,Southeast,Food Manufacturing,10034
2010,Southeast,Food Manufacturing,9894
2009,Southeast,Food Manufacturing,9890
2008,Southeast,Food Manufacturing,9978
2007,Southeast,Food Manufacturing,9896
2006,Southeast,Food Manufacturing,9856
2005,Southeast,Food Manufacturing,10089
2004,Southeast,Food Manufacturing,9972
2003,Southeast,Food Manufacturing,10301
2002,Southeast,Food Manufacturing,10378
2001,Southeast,Food Manufacturing,10610
2018,Southwest,Food Manufacturing,10980
2017,Southwest,Food Manufacturing,11077
2016,Southwest,Food Manufacturing,10474
2015,Southwest,Food Manufacturing,10242
2014,Southwest,Food Manufacturing,10139
2013,Southwest,Food Manufacturing,10031
2012,Southwest,Food Manufacturing,10276
2011,Southwest,Food Manufacturing,10567
2010,Southwest,Food Manufacturing,10437
2009,Southwest,Food Manufacturing,10316
2008,Southwest,Food Manufacturing,10015
2007,Southwest,Food Manufacturing,9971
2006,Southwest,Food Manufacturing,9915
2005,Southwest,Food Manufacturing,10017
2004,Southwest,Food Manufacturing,9928
2003,Southwest,Food Manufacturing,10347
2002,Southwest,Food Manufacturing,11682
2001,Southwest,Food Manufacturing,12000
