periodyear,edr,naicstitle,emp
2018,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,420
2017,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,454
2016,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,491
2015,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,508
2014,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,474
2013,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,458
2012,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,458
2011,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,468
2010,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,468
2009,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,479
2008,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,484
2007,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,454
2006,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,416
2005,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,386
2004,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,409
2003,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,403
2002,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,387
2001,EDR 1 - Northwest,Farm Product Raw Material Merchant Wholesalers,373
2018,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,56
2017,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,59
2016,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,59
2015,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,69
2014,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,67
2013,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,62
2012,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,62
2011,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,63
2010,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,60
2009,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,60
2008,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,65
2007,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,63
2006,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,63
2005,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,60
2004,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,58
2003,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,54
2002,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,29
2001,EDR 2 - Headwaters,Farm Product Raw Material Merchant Wholesalers,51
2008,EDR 3 - Arrowhead,Farm Product Raw Material Merchant Wholesalers,18
2007,EDR 3 - Arrowhead,Farm Product Raw Material Merchant Wholesalers,25
2006,EDR 3 - Arrowhead,Farm Product Raw Material Merchant Wholesalers,16
2005,EDR 3 - Arrowhead,Farm Product Raw Material Merchant Wholesalers,19
2004,EDR 3 - Arrowhead,Farm Product Raw Material Merchant Wholesalers,11
2018,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,632
2017,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,635
2016,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,759
2015,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,759
2014,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,772
2013,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,730
2012,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,686
2011,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,719
2010,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,701
2009,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,691
2008,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,640
2007,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,548
2006,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,642
2005,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,594
2004,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,556
2003,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,516
2002,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,473
2001,EDR 4 - West Central,Farm Product Raw Material Merchant Wholesalers,495
2018,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,49
2017,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,48
2016,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,53
2015,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,56
2014,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,57
2013,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,61
2012,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,47
2011,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,46
