periodyear,Dem_Desc,naicstitle,emp
2001,Entirely rural,Farm Product Raw Material Merchant Wholesalers,249
2001,Entirely urban,Farm Product Raw Material Merchant Wholesalers,1630
2001,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1626
2001,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,864
2002,Entirely rural,Farm Product Raw Material Merchant Wholesalers,219
2002,Entirely urban,Farm Product Raw Material Merchant Wholesalers,1936
2002,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1556
2002,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,837
2003,Entirely rural,Farm Product Raw Material Merchant Wholesalers,211
2003,Entirely urban,Farm Product Raw Material Merchant Wholesalers,1368
2003,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1467
2003,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,853
2004,Entirely rural,Farm Product Raw Material Merchant Wholesalers,248
2004,Entirely urban,Farm Product Raw Material Merchant Wholesalers,2187
2004,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1318
2004,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,777
2005,Entirely rural,Farm Product Raw Material Merchant Wholesalers,311
2005,Entirely urban,Farm Product Raw Material Merchant Wholesalers,2415
2005,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1296
2005,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,774
2006,Entirely rural,Farm Product Raw Material Merchant Wholesalers,323
2006,Entirely urban,Farm Product Raw Material Merchant Wholesalers,2528
2006,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1362
2006,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,704
2007,Entirely rural,Farm Product Raw Material Merchant Wholesalers,263
2007,Entirely urban,Farm Product Raw Material Merchant Wholesalers,2825
2007,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1363
2007,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,689
2008,Entirely rural,Farm Product Raw Material Merchant Wholesalers,326
2008,Entirely urban,Farm Product Raw Material Merchant Wholesalers,2726
2008,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1659
2008,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,765
2009,Entirely rural,Farm Product Raw Material Merchant Wholesalers,282
2009,Entirely urban,Farm Product Raw Material Merchant Wholesalers,3174
2009,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1749
2009,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,753
2010,Entirely rural,Farm Product Raw Material Merchant Wholesalers,341
2010,Entirely urban,Farm Product Raw Material Merchant Wholesalers,3396
2010,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,2001
2010,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,833
2011,Entirely rural,Farm Product Raw Material Merchant Wholesalers,323
2011,Entirely urban,Farm Product Raw Material Merchant Wholesalers,4026
2011,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1897
2011,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,812
2012,Entirely rural,Farm Product Raw Material Merchant Wholesalers,225
2012,Entirely urban,Farm Product Raw Material Merchant Wholesalers,4079
2012,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1650
2012,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,766
2013,Entirely rural,Farm Product Raw Material Merchant Wholesalers,239
2013,Entirely urban,Farm Product Raw Material Merchant Wholesalers,4085
2013,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1724
2013,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,803
2014,Entirely rural,Farm Product Raw Material Merchant Wholesalers,232
2014,Entirely urban,Farm Product Raw Material Merchant Wholesalers,3969
2014,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1603
2014,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,884
2015,Entirely rural,Farm Product Raw Material Merchant Wholesalers,295
2015,Entirely urban,Farm Product Raw Material Merchant Wholesalers,3937
2015,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1576
2015,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,961
2016,Entirely rural,Farm Product Raw Material Merchant Wholesalers,278
2016,Entirely urban,Farm Product Raw Material Merchant Wholesalers,3833
2016,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1532
2016,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,956
2017,Entirely rural,Farm Product Raw Material Merchant Wholesalers,283
2017,Entirely urban,Farm Product Raw Material Merchant Wholesalers,3631
2017,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1509
2017,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,888
2018,Entirely rural,Farm Product Raw Material Merchant Wholesalers,274
2018,Entirely urban,Farm Product Raw Material Merchant Wholesalers,2460
2018,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,1446
2018,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,831
