VARIABLE,Unit,2003 / Estimate,2004 / Estimate,2005 / Estimate,2006 / Estimate,2007 / Estimate,2008 / Estimate,2009 / Estimate,2010 / Estimate,2011 / Estimate,2012 / Estimate,2013 / Estimate,2014 / Estimate,2015 / Estimate,2016 / Estimate,2017 / Estimate,2018 / Estimate
Farms,Number,79333,78324,78628,77983,78790,79398,78592,80050,78511,73362,72938,73185,72498,73014,67020,67444
Current ratio,Ratio,2.5,2.5,2.7,2.8,3.3,3.3,2.7,3.1,3.3,3.7,2.9,1.9,1.9,1.8,1.5,1.7
Working capital-to-expense ratio,Percent,50.2,52.6,58.4,73.4,70.6,62.3,61.4,79.1,70.1,89.1,67.8,41.6,40.4,33.1,25.2,32.9
Debt/asset ratio,Percent,14.2,13.8,12.5,13.1,9.9,10.8,12.8,12.3,10.8,10.3,10.2,13.8,12.8,13.3,14.4,13.4
Rate of return on assets,Percent,-1.6,-0.8,1.4,1.3,3.4,2.6,1.1,3,2.9,4.4,1.4,1.2,1.1,1.5,0.7,1
Rate of return on equity,Percent,-2.9,-2,0.5,0.5,2.8,2.1,0.4,2.7,2.6,4.4,1.1,0.8,0.7,1.1,0.2,0.6
Operating profit margin,Percent,-8.8,-5,8,8.1,17.9,12.3,5.7,15.8,15.4,22.6,9,7.4,7.6,9.2,4.9,7.2
Term debt coverage ratio,Number of times,2.7,2.9,3.9,3.3,6,5.5,4,5.6,5.4,7.6,4.7,3.9,3.4,3.5,2.7,3.3
Asset turnover ratio,Number of times,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1
Operating expense ratio,Percent,81.9,76.2,73.3,79,73.2,74.8,78.6,74,72.6,65.3,66.5,69.8,74,75.1,77.6,76.1
Economic cost-to-output ratio,Percent,134.1,113.6,97.3,115.7,109.8,122.9,113.6,102,96.9,89.4,106.6,106.1,105.8,112.9,108.3,111.4
