year,debt.asset.ratio,debt.to.equity.ratio,equity.to.asset.ratio,current.ratio,working.capital.ratio,debt.service.ratio,times.interest.earned.ratio
2003,14.2,0.16519758817354735,0.8582235409253676,2.5,50.2,7.394852467321014,2.4816332504024587
2004,13.8,0.1607596693603109,0.8615047769113956,2.5,52.6,8.654835596797687,3.3929054561851797
2005,12.5,0.1430824048019375,0.8748275678106257,2.7,58.4,8.586725074511058,5.0180882148323365
2006,13.1,0.15086932136848008,0.8689083820662769,2.8,73.4,6.805288673557218,4.3718457794287175
2007,9.9,0.10945132341247302,0.9013464393590335,3.3,70.6,11.106881136108521,6.938594443147327
2008,10.8,0.12078056881876686,0.892235311550715,3.3,62.3,11.353124966601506,6.82481846473029
2009,12.8,0.14672565768362306,0.8720481601676134,2.7,61.4,10.322550316533329,4.941136019804704
2010,12.3,0.14048767883400284,0.8768170481403756,3.1,79.1,11.435910532545735,8.972388403129314
2011,10.8,0.12159918761067445,0.8915848697308059,3.3,70.1,12.569162950071478,8.96506753609688
2012,10.3,0.11508444065041938,0.8967930710401703,3.7,89.1,15.235484522651452,13.723049102795938
2013,10.2,0.11340333259376376,0.898147123082898,2.9,67.8,11.931744140414864,7.782987848463188
2014,13.8,0.16031124446146863,0.8618371497689149,1.9,41.6,10.443232667076881,6.692677712453234
2015,12.8,0.14676285349627907,0.8720198748600682,1.9,40.4,10.0385015282979,5.85779636648804
2016,13.3,0.1531113021319141,0.8672189737028538,1.8,33.1,9.415909791259676,6.813770571151984
2017,14.4,0.16858281874406475,0.85573738032084945,1.5,25.2,7.940203917088595,4.854346574553828
2018,13.4,0.15468140821290918,0.8660402723300282,1.7,32.9,8.616847398833809,5.578893208323805
