county.fips,county,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
27000,Minnesota,2071532,2287586,2297505,2594271,4206632,4596912,3988602,4035859,4082824,5191523,5797755,6851505,6658062,6207385,6672419,6325753,6081160,5944135,6612657,7378550,7132499,7218526,7679904,6984328,6758453,6246871,7837454,8991642,8012402,7977997,7557664,8209346,8209998,8342846,9384893,10488407,10105460,11024820,13714688,16641797,14545836,16339139,18707700,21942149,22618543,20493042,17191026,17667774
27001,"Aitkin, MN",6292,6691,6718,7272,11562,10900,10789,13723,14202,14397,16203,18966,16948,16822,21104,18848,17446,17752,19730,20095,18302,16684,18917,16867,17889,15143,15659,16757,15194,12844,11836,11595,11741,11566,14028,12635,10957,11435,13929,12580,11044,24261,17087,16686,17325,18204,15928,15406
27003,"Anoka, MN",7736,8273,7977,8794,12900,12632,12569,13072,16489,17207,18370,19357,19356,20515,19938,21056,21386,20869,22513,20520,22334,21389,21698,19813,20357,20235,21931,22913,24140,30496,30184,31821,36630,40131,44352,40478,38198,35299,33096,37122,36933,39715,40802,47117,43989,38552,35179,36128
27005,"Becker, MN",20706,22740,22674,25666,47269,42334,38463,42973,38251,45380,53694,64544,67833,67195,77922,77545,72972,74538,81530,96740,87223,86704,85158,76631,81496,72044,85906,108376,97160,94201,89689,92869,94120,93040,107456,106863,112633,123811,155311,179528,159774,179029,215092,267504,285822,250358,219450,226790
27007,"Beltrami, MN",5216,5235,5228,5780,8315,8390,8383,11417,12043,14073,15786,16749,19080,17716,19337,18887,17543,19390,23808,26461,23355,20774,21621,19268,22869,18171,19304,20837,19746,19002,17414,19776,20629,19041,23674,21633,22204,22851,22105,24486,27314,22804,26754,34067,30777,31071,26796,26500
27009,"Benton, MN",14721,15862,15796,16970,24957,24713,25129,29805,32471,38476,46480,56946,63227,66091,65993,68673,68175,68166,68559,70660,78773,82705,80526,78750,80359,77818,84133,97259,90243,91067,87345,83801,86374,84818,89809,107991,101443,102793,120456,153131,126580,138844,139161,170768,146902,156999,133627,129631
27011,"Big Stone, MN",14011,16359,16961,18274,38984,34389,29639,18935,30277,34819,40763,50720,45075,38948,49581,44255,42882,37677,44872,41271,48797,49450,59533,46745,39371,33012,53470,59047,49255,50150,50069,55544,47366,55530,54993,68579,60469,71776,88382,117152,107616,111707,108473,165977,166771,135206,109620,119905
27013,"Blue Earth, MN",39075,45537,41976,47949,80915,95445,76270,86316,80047,115020,121631,143719,132282,116942,129375,124355,117795,109041,127955,160435,131219,138573,143348,136116,140669,133022,184286,217112,202509,187764,173504,206946,206544,201084,223619,282614,267799,289511,342794,412446,370972,397704,478663,533470,568434,536372,426316,428589
27015,"Brown, MN",38984,43611,42612,47840,71823,83361,66215,62551,68868,90037,95659,121254,116225,109742,119510,114000,111281,107982,123853,125598,127464,130372,143562,132047,127088,128152,163670,192523,172439,158047,151478,170145,175771,161687,195433,227985,218961,233890,265048,322746,287441,327584,371888,395778,441349,411661,341707,347118
27017,"Carlton, MN",4534,4599,4604,4863,6350,6805,6481,8279,8995,9567,11147,12204,12430,12616,12818,12278,12561,12524,13006,13066,13204,12406,10772,10701,11325,10046,9525,10035,9561,9841,9150,8878,9650,8438,9237,9213,8679,8161,8798,9384,7918,10015,10414,12149,13126,13635,11545,11260
27019,"Carver, MN",22127,23766,23519,24887,32426,38715,37599,41150,42106,48777,56593,63075,65528,65490,69163,66546,66087,64791,69800,68831,77109,75138,74012,72096,71479,60617,71191,74940,66462,70332,66396,65880,65183,63410,65350,75993,69392,73672,97662,112624,96334,107108,115681,136938,132002,121610,99266,103414
27021,"Cass, MN",6018,5897,5648,5915,8090,7999,7498,9800,9896,10745,12257,14610,15557,15928,15191,15050,15711,16486,17872,18623,19774,18629,20280,19981,25021,21121,20990,23856,23134,21098,19855,20928,19601,15511,27308,22915,30668,24184,26294,29369,22342,28611,33603,40421,39955,48622,41023,38350
27023,"Chippewa, MN",28068,30369,28543,31482,53180,68470,50273,33882,45522,66201,76707,88636,83615,74207,75170,70632,71919,66075,80061,73977,80909,93172,105592,91036,72892,77713,97878,115049,90020,92414,93532,93132,88664,97756,111007,116999,115688,143028,177258,228072,216285,240585,275017,348251,379978,310081,268219,285256
27025,"Chisago, MN",11039,11949,11766,12494,17968,17597,17714,19044,22597,24050,28050,31760,31053,29845,31938,29961,29799,28310,30396,30951,31307,29932,28960,26013,24845,24983,29020,31416,31475,31992,27703,26708,25740,27142,28184,30058,28970,30373,34936,45534,38345,44231,48756,57844,52895,47168,40802,42310
27027,"Clay, MN",33547,42202,37809,47953,97543,103854,64272,131257,67624,87174,101415,116617,110815,102525,128778,113747,103370,103406,125235,134231,122223,130946,133773,135060,123404,112729,125661,160192,125273,120096,121538,121584,119025,127367,153126,142948,142241,165697,213659,280087,228999,269961,306961,413301,448514,341697,299466,325421
27029,"Clearwater, MN",6591,6989,6989,7759,12823,11566,11751,13390,13294,15841,18354,18137,19812,20289,24942,28307,26862,27911,28925,38273,32309,28820,30350,26270,29336,22713,22792,23451,21803,21180,19141,20426,20198,20123,23705,21947,22356,21650,24013,24263,21024,29587,32820,33018,39257,39618,33695,33504
27031,"Cook, MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27033,"Cottonwood, MN",36022,40369,40077,48746,71771,82156,72650,76473,79486,106820,112643,138313,133162,122190,121498,116889,108437,113523,129309,152699,132935,138904,150548,138334,116197,115846,153740,171675,152230,144898,132926,148685,143614,145980,159698,186807,172258,192831,245474,297247,267182,292187,348681,384114,436483,394353,327971,337084
27035,"Crow Wing, MN",5026,4941,4815,4982,7301,7170,7494,9548,11660,13661,14930,14833,15123,14497,14540,14194,13989,13674,13977,14150,15339,15808,16886,15244,16836,14887,14948,16157,15513,15021,14050,14427,14164,13425,14531,15047,14373,14082,13981,14781,28509,39903,44734,25435,26051,26217,22559,22391
27037,"Dakota, MN",23581,25979,27075,29949,42592,49996,46135,44293,51307,62582,70686,72443,75024,71910,75898,73457,66345,67340,77303,83027,88379,89516,97920,86197,98496,82360,101879,106510,103796,101424,97221,103574,99413,106698,120375,138312,130814,149187,187048,217317,204690,217953,235685,243874,234496,209863,181644,188101
27039,"Dodge, MN",25627,27395,27806,31499,47544,54623,47381,50301,57210,72436,75503,92679,84908,75525,83812,74719,70043,71585,78189,100655,86574,84337,95685,78328,76863,72487,101703,107062,99243,100949,91244,99688,103927,107390,113135,132286,125045,135742,180292,206732,183697,215407,257301,297155,249047,238224,193210,194590
27041,"Douglas, MN",19725,20548,21684,22321,36081,39170,35101,35350,36297,39418,45978,52405,56138,54470,58460,52837,50524,49051,53695,52709,53800,56434,59202,55673,54519,49287,56988,63796,59452,60149,57439,57697,55211,53458,55587,61398,55474,54518,67668,85700,72220,84735,91637,122782,116077,103301,86237,90857
27043,"Faribault, MN",47010,51975,52091,56754,97091,113903,97224,107880,97211,127121,133206,178511,144552,126644,137559,131280,122806,118423,127642,172290,136226,133638,142533,127313,114601,102484,158973,173978,154409,143807,128293,149873,134743,159378,176668,205974,189980,218777,298399,351821,313802,319386,380858,421533,400748,334164,275442,293128
27045,"Fillmore, MN",48271,51271,52662,58510,84524,85666,84508,92702,94878,111675,121341,144495,140571,135316,136003,131979,123677,125313,131543,136433,138344,137850,155052,130936,140231,118436,146580,155969,146812,147486,138438,145792,145931,143459,155010,180529,170778,180861,232634,261429,227369,265268,327359,353525,327933,328627,271880,275027
27047,"Freeborn, MN",42238,49180,47152,53461,88479,105871,92379,99091,98884,128859,138971,152939,142984,130091,139651,128379,119007,114859,125852,159674,136235,143298,143656,121360,109284,102660,146272,162614,149126,138279,122195,144122,145092,158241,173089,202419,192434,212945,264813,316821,273306,306977,374114,430691,350191,324068,262770,266642
27049,"Goodhue, MN",37021,41152,41901,47344,66762,75272,71001,82978,81719,98457,109594,124270,129148,124113,129388,124063,118733,121468,130857,141261,146010,144383,153782,138021,150509,134412,159931,175568,161621,168165,156282,162554,167614,157372,173139,208799,196868,211965,278001,315619,281642,319978,383525,446072,424133,401833,331441,337741
27051,"Grant, MN",16002,18398,19486,20197,47126,50111,41434,34455,37437,42973,51255,63142,55656,48243,60780,49167,43967,41963,51829,54197,54249,53973,62794,56538,48966,38035,59329,70247,54976,56215,55919,61682,57658,66340,71757,76455,63547,79720,105790,140548,120106,136196,137411,217766,210569,155650,134427,149811
27053,"Hennepin, MN",17641,17943,17033,17592,23601,26057,24864,25614,26823,29466,34412,37359,36307,38403,39781,36971,36932,34951,38482,35595,39531,37877,37655,37208,39894,38052,41828,44102,44433,43462,45274,46470,47493,48575,55282,54430,50476,52531,51963,57740,55180,54604,55197,63739,61842,52887,46334,48709
27055,"Houston, MN",26359,27224,28143,31175,42535,43483,42072,46131,51132,58493,65321,73155,75086,74505,75664,76264,77824,79444,86443,90029,92714,97709,101604,95050,93365,73546,78660,83881,80475,79597,73294,71331,75345,70168,76825,87821,82042,81178,96711,106133,90523,106531,131243,150456,145953,152291,124085,123415
27057,"Hubbard, MN",2772,3056,3317,3797,6619,5904,5154,5839,7269,9014,12254,11902,13105,15235,17843,16883,16738,17813,22654,23309,22149,22122,20063,19615,20737,22027,23434,27601,24778,25552,23676,21532,22600,23676,27930,27592,30325,26649,33624,36126,34519,38624,41271,47329,51145,40852,36373,38966
27059,"Isanti, MN",8913,9886,9406,10033,15973,15905,14747,14628,18651,21438,25898,30420,28901,26513,28424,25583,24770,22875,21744,25560,23029,24214,26804,20661,25437,20459,27080,24034,23667,24172,22265,22281,22212,24926,23534,26578,22860,25152,27405,38673,35736,42063,49213,61306,60887,52754,45356,48400
27061,"Itasca, MN",2995,2910,2730,2861,3991,3947,3756,4890,4635,5184,5779,6005,6946,6943,7506,7448,7879,8362,9821,9232,8975,8018,6981,7378,8313,6172,6281,6988,5910,5563,5653,6272,6747,6514,7635,7660,7401,7904,7697,8935,7263,9666,12892,12214,11917,12515,10926,10624
27063,"Jackson, MN",49209,54381,54102,61521,94721,109384,100615,88415,85221,119894,131628,163613,146389,130541,131191,116391,108305,107221,123198,173443,140897,147841,156056,134284,108250,99884,145808,168013,137932,134550,123818,146894,145566,151699,174967,215217,213033,226919,275843,321715,300110,318667,359527,387128,408597,357797,293246,305120
27065,"Kanabec, MN",7964,8266,8464,9125,12224,12172,12827,15232,17224,18245,20773,25354,26090,26435,27736,26001,26296,27145,26923,27468,25653,25555,24793,21963,22276,17732,19244,18480,18471,18757,18499,19489,20556,20155,19926,21321,18429,19057,20649,21755,21794,27888,29575,33538,35029,33542,28013,28719
27067,"Kandiyohi, MN",40801,45747,46064,50866,87835,90640,86879,83907,87023,110860,122678,140887,141678,132514,137233,141479,138801,142502,151728,171318,177465,186980,197886,176292,173979,170776,197489,234729,205736,206964,200381,200590,203648,212655,225414,255557,250331,267761,316439,386166,344218,374902,413784,505640,508082,463127,414418,416784
27069,"Kittson, MN",13733,16947,19544,27130,51198,55010,44367,42579,29176,46101,55295,50003,56319,47737,56612,64415,63025,57235,66443,53008,85350,67977,57169,67199,40967,48264,56500,67222,75286,60265,61317,66960,46296,67212,95728,72763,54673,80516,111143,156261,101166,118657,137132,188641,227998,170521,143943,158555
27071,"Koochiching, MN",1354,1437,1512,1703,2582,2401,1966,2438,2647,3626,4718,5322,4973,4625,5640,5452,5607,6094,6795,7561,5819,4699,4522,4036,4676,3596,3365,3861,3968,3952,3667,4115,4056,4069,5465,5506,5250,4785,4859,5780,6488,8030,9217,10323,10170,10324,8735,8692
27073,"Lac qui Parle, MN",26346,28100,30834,33117,59176,68412,45702,33162,49999,62433,79285,96907,86691,78645,84020,72101,73436,68068,77992,74618,81836,84408,96325,78937,75950,68479,98742,119678,109070,104381,98092,105403,100339,109285,107756,129079,118681,138487,160815,184116,211887,228320,253188,315592,383957,302302,252932,276093
27075,"Lake, MN",259,238,209,208,297,253,215,238,228,279,298,245,233,219,224,239,252,280,348,364,303,241,180,128,131,119,112,117,144,170,194,253,291,314,354,308,301,292,270,325,337,363,407,427,452,384,352,361
27077,"Lake of the Woods, MN",1743,1993,2135,2634,5809,4739,3999,5210,5092,5161,8585,7671,8585,7912,8080,7808,6155,7025,8553,12756,9662,8429,7798,6218,8277,5308,5691,8389,7536,6895,4526,8501,6107,5385,12208,9751,6772,6629,7700,8932,8275,10094,10581,19509,14390,11018,9734,10864
