GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27000,Minnesota,8209998,8342846,9384893,10488407,10105460,11024820,13714688,16450189,14370815,16179679,18486830,21642749,22275899,20199467,16968223,17563635,17733659,17730662
27001,"Aitkin, MN",11741,11566,14028,12635,10957,11435,13933,12656,11114,24305,16813,15797,16389,17373,14573,13696,14510,12526
27003,"Anoka, MN",36630,40131,44352,40478,38198,35299,33098,40447,40924,47070,51788,59200,59100,49644,47912,49200,46830,44485
27005,"Becker, MN",94120,93040,107456,106863,112633,123811,155341,175539,156901,178064,215105,267042,286126,249517,202334,223653,225378,225169
27007,"Beltrami, MN",20629,19041,23674,21633,22204,22851,22116,23887,26847,22179,25728,32548,29131,29646,25365,24272,26000,26569
27009,"Benton, MN",86374,84818,89809,107991,101443,102793,120453,150118,123762,136330,136689,168476,144504,154409,152864,152761,144840,137616
27011,"Big Stone, MN",47366,55530,54993,68579,60469,71776,88361,118182,108313,112285,108392,165727,165712,134487,102371,122556,109229,128524
27013,"Blue Earth, MN",206544,201084,223619,282614,267799,289511,342745,412149,370504,397954,478576,533600,566944,534547,436815,426650,458878,420170
27015,"Brown, MN",175771,161687,195433,227985,218961,233890,265011,319890,284168,324285,367849,391790,435887,405939,322339,314962,331715,323129
27017,"Carlton, MN",9650,8438,9237,9213,8679,8161,8802,9110,7663,9678,9879,11205,12150,12821,10693,9969,10551,10181
27019,"Carver, MN",65183,63410,65350,75993,69392,73672,97651,113230,97108,108841,117942,139090,134383,123263,137492,143155,144670,108788
27021,"Cass, MN",19601,15511,27308,22915,30668,24184,26295,29531,22499,28589,33100,39483,39072,47594,39282,36368,38520,32786
27023,"Chippewa, MN",88664,97756,111007,116999,115688,143028,177343,220679,210324,233367,263831,332804,367681,302971,248382,261249,246937,249046
27025,"Chisago, MN",25740,27142,28184,30058,28970,30373,34935,44434,37476,43807,48523,57373,52709,46533,50269,49260,48143,42963
27027,"Clay, MN",119025,127367,153126,142948,142241,165697,213802,268144,218335,256592,288778,388709,420065,319968,260815,306192,303827,316066
27029,"Clearwater, MN",20198,20123,23705,21947,22356,21650,24016,23741,20608,29094,31940,31700,37848,38293,30981,32653,33563,35310
