GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27000,Minnesota,9203398,8854843,9000226,9546918,9594635,9873643,12229147,14042153,13795048,13654044,15227793,17395980,18407568,19011685,17983264,18063830,17051365,17662462
27001,"Aitkin, MN",16529,15956,15556,15163,14015,13400,13407,17881,16591,15283,16081,17716,18603,19354,18193,18286,17252,17974
27003,"Anoka, MN",38663,39831,35886,35263,33173,31621,34389,38276,40103,38093,39944,48375,47433,44991,40285,40491,37982,38602
27005,"Becker, MN",103521,96897,99338,105576,107358,110811,137080,158758,162931,165040,188540,223751,234756,240746,230354,233303,217006,224317
27007,"Beltrami, MN",19682,18023,17727,18755,19462,20138,24328,25574,24114,22948,24981,27992,29272,31210,29262,29302,27876,29001
27009,"Benton, MN",100538,99430,94508,96624,94296,94196,118747,121420,116296,112675,124142,139290,147300,155843,144331,142907,133664,138334
27011,"Big Stone, MN",60918,58081,57622,62135,63974,65672,81664,100173,98918,97840,109996,127032,132734,133283,126422,126613,119049,124290
27013,"Blue Earth, MN",216215,203947,213188,231238,229674,234883,293099,336080,325064,321907,355098,394293,425479,445730,416331,419093,393506,410029
27015,"Brown, MN",184941,173138,178096,189662,188529,190898,229229,259601,252218,251234,278078,309261,330029,349593,326062,325818,307581,320656
27017,"Carlton, MN",11092,10736,9711,9505,9103,8799,8210,12457,11644,11118,12018,13334,14382,15031,14193,14398,13401,14077
27019,"Carver, MN",73115,70116,66454,69228,69983,70325,86725,99006,95431,91837,100144,114351,119534,122713,121065,122236,114358,118405
27021,"Cass, MN",19526,17800,18436,20216,21294,23071,27268,31740,31202,31146,35058,40113,43389,48262,44517,44323,41913,42441
27023,"Chippewa, MN",99265,92778,98223,107384,113046,118180,147748,189542,194409,197454,225256,267730,277765,282925,273570,275451,258321,266378
27025,"Chisago, MN",32575,30984,29535,32616,33267,33518,36409,43320,42553,40942,44604,51852,53214,54859,50755,51370,48375,49859
27027,"Clay, MN",138365,132953,129898,137484,140276,144631,176221,224401,230906,234771,267590,322509,330935,335014,324551,326586,306741,316238
27029,"Clearwater, MN",26608,25642,23411,22930,21790,20949,22086,24950,23655,22600,24504,27420,29153,30837,28915,29086,27361,28454
27031,"Cook, MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27033,"Cottonwood, MN",147240,134755,141560,153325,157012,164021,207396,241025,238051,240545,269141,304788,325379,346641,323490,323215,305750,324454
27035,"Crow Wing, MN",19276,18224,17011,16885,16365,16186,14272,20336,20095,19705,21705,25078,26380,27706,26359,26622,24981,25633
27037,"Dakota, MN",113956,107633,112707,127449,136389,146041,185510,202982,190923,176882,181100,200437,204782,213889,204371,204780,194835,199980
27039,"Dodge, MN",117485,114765,115223,122755,123240,126576,163248,189646,185129,182364,203053,231227,244668,231207,218279,215359,200786,207716
27041,"Douglas, MN",59689,54287,52558,54842,55210,55879,68791,78035,77941,77616,87754,102272,106918,110467,105086,102690,96920,99693
27043,"Faribault, MN",175211,168190,172939,186838,190729,197320,245423,295773,280450,270969,293586,326107,343702,353231,340442,341834,321238,333361
27045,"Fillmore, MN",176777,176693,177397,185942,181787,178823,215023,246931,242043,240226,270090,309788,327189,342959,323338,324754,306386,314783
27047,"Freeborn, MN",173813,168107,169871,181413,182065,186701,232450,278246,270715,267862,298401,341787,362721,363383,342845,334500,313665,325513
27049,"Goodhue, MN",183636,177260,176188,186976,190725,196124,249614,282211,279713,276930,312263,362045,381625,394793,373969,375396,350861,364221
27051,"Grant, MN",70185,69846,70133,75027,77571,79332,97059,120368,119068,116931,130811,153538,157332,159011,153661,154596,145779,150673
27053,"Hennepin, MN",50216,50552,50776,52040,51572,51456,56102,61921,60781,55005,55702,63486,63881,65280,63533,65020,61100,62438
27055,"Houston, MN",81242,75625,72648,74442,72793,72401,87289,96486,94729,93444,104578,120580,126901,134962,126129,127097,120285,124149
27057,"Hubbard, MN",26729,25087,24252,25865,26900,27589,34411,36402,35104,33036,35140,40465,41157,41961,40512,40926,38596,39861
