GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27000,Minnesota,533132,470766,1548716,2377071,2863652,2385313,2375770,4022559,1566441,2874349,4423580,5905070,5505843,3271494,2562445,625882,1247759,1184006
27001,"Aitkin, MN",-2998,-2694,1,-545,-1778,-203,-460,-835,-2939,10785,4343,1106,2932,4064,3870,-11,-429,-2101
27003,"Anoka, MN",3244,5427,14374,11086,11462,9417,3845,8197,4174,10858,15349,14476,16260,10888,12433,12367,11651,8769
27005,"Becker, MN",4673,2503,19270,12238,19065,25354,25466,34727,4157,20803,36514,56601,61763,25943,6907,9666,16300,13565
27007,"Beltrami, MN",3834,3160,9930,6278,6367,6725,-527,4049,5597,1626,3309,7173,6496,5940,8012,5051,211,610
27009,"Benton, MN",-4019,-4588,10053,27010,29597,30901,20422,42366,14492,24529,22414,37654,11443,21201,26356,14890,16248,4498
27011,"Big Stone, MN",1013,3655,6158,19204,19335,14066,12448,31347,14827,16630,14916,52670,38572,10044,8201,585,-8030,9022
27013,"Blue Earth, MN",21361,18000,27266,78973,88079,70704,60507,97037,59308,79765,144921,165643,159408,124957,89056,18155,80722,35418
27015,"Brown, MN",18804,8461,33996,63659,73625,60084,46913,78830,44864,74911,109123,111581,123245,81157,42525,3429,29665,36918
27017,"Carlton, MN",-254,-970,976,1124,251,657,707,-1464,-2605,-499,-1064,-2247,-706,-123,-295,-1199,-2672,-3833
27019,"Carver, MN",3670,1205,8625,17974,16498,12196,15997,23457,9733,17377,25601,36551,24322,28997,36877,25642,32335,-982
27021,"Cass, MN",1430,-885,11395,6042,13853,6042,1789,3866,-4976,-803,1101,2567,2334,6230,6283,-2596,-1298,-7615
27023,"Chippewa, MN",14923,21719,28743,31501,42546,38761,41168,50412,38721,41786,57261,93904,108297,49811,33753,5359,3705,1714
27025,"Chisago, MN",-1045,765,3884,3476,4507,3438,3650,8843,-575,4855,8138,9762,5778,3258,8557,1496,2483,-5176
27027,"Clay, MN",14484,5570,48972,27169,27628,43022,51039,78955,-1009,29050,44014,95092,91555,6571,-24148,-14312,2253,11118
27029,"Clearwater, MN",-2878,-2896,2049,1066,2868,3291,2517,3739,-240,8363,10518,6892,12750,13473,10854,8508,8080,9615
27031,"Cook, MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27033,"Cottonwood, MN",21755,26360,32152,59019,62425,42922,48838,73033,41544,54369,98753,110301,130920,72481,59530,13722,27877,37503
27035,"Crow Wing, MN",-2631,-2528,208,587,1069,431,1117,-2327,10698,22040,25330,2812,3816,2527,700,-1933,-737,-1576
27037,"Dakota, MN",6040,14063,26905,34296,30922,24705,20821,37035,29271,47467,75516,73930,61846,27907,12086,-2777,2812,21547
27039,"Dodge, MN",5015,5022,9246,27906,34643,21591,25335,28291,8925,30775,60298,78171,33676,16481,8538,-27078,-11200,20549
27041,"Douglas, MN",5972,6258,11718,17565,16969,8952,5685,20827,3328,10853,13551,31918,18718,9165,16528,2411,-410,-5456
27043,"Faribault, MN",-8058,11772,24241,50597,57388,39332,65712,67312,42216,43303,98610,116593,77893,15434,6165,-47893,-29451,2705
27045,"Fillmore, MN",1225,-12464,-583,23258,38672,25732,35740,46849,11423,36861,74822,74572,46922,18301,-4973,-55828,-28521,-9683
27047,"Freeborn, MN",4012,10433,20413,47940,61137,44482,44663,57850,15911,41419,90219,116113,49699,2784,-20011,-63590,-27878,13521
27049,"Goodhue, MN",13289,3585,22128,51882,53500,41200,46447,57322,22684,41651,84787,112530,74112,41235,11187,-46008,-7885,11566
27051,"Grant, MN",7886,5792,13303,19124,13891,11562,19478,40071,13601,21897,26728,78886,65634,21177,44324,22570,9940,19598
27053,"Hennepin, MN",2728,2823,11537,11322,10630,11184,5593,12966,8476,14912,23510,26957,28507,23597,22816,18454,17226,10106
27055,"Houston, MN",6556,4870,14765,25227,25823,19212,13901,22380,7435,16835,33970,41100,26444,29701,19537,5854,13814,10221
27057,"Hubbard, MN",-1657,2558,6946,5726,10169,6184,3088,-389,1965,6793,11002,15025,20726,4651,-379,-1141,369,1597
27059,"Isanti, MN",-3882,-3496,-4585,803,176,303,1164,-144,-6000,-2808,2313,5587,1960,2096,4427,2003,-1818,-10763
27061,"Itasca, MN",507,760,1562,1581,723,1265,985,-1355,-3028,873,2862,-161,781,191,923,-1017,-1295,-2720
27063,"Jackson, MN",14024,13430,26789,61731,77815,54562,55477,82812,64697,80493,116431,126807,120578,70181,61579,10517,28803,22645
27065,"Kanabec, MN",-1350,-1144,956,2204,1407,2092,-1716,-3165,-3238,2746,3686,3634,4507,6697,-588,10128,11252,350
27067,"Kandiyohi, MN",-12105,-3236,11920,48018,71448,65793,51106,86793,44571,64458,80569,134028,98062,62996,74208,26324,29076,23058
27069,"Kittson, MN",-9263,3177,46799,11233,7957,17017,30552,76992,-1383,20011,21877,65025,81990,34799,22617,19634,16742,22022
27071,"Koochiching, MN",393,495,1440,1281,831,478,273,1098,1250,2605,2709,2125,5091,4669,4632,3357,864,671
27073,"Lac qui Parle, MN",11724,12031,9964,35369,45309,34796,30402,43380,54150,59571,61917,92063,126597,46666,21245,13390,3295,23419
27075,"Lake, MN",-160,-126,-14,-21,46,27,37,-2,-29,-53,11,-90,-5,-109,108,129,-23,-42
27077,"Lake of the Woods, MN",-597,-1621,9086,4488,2478,2172,1825,3031,-402,1053,-1362,6391,5746,302,1063,-2180,-4000,-4047
27079,"Le Sueur, MN",4290,3096,10563,27168,28085,24090,19019,34202,11218,17205,30005,50303,41447,20581,20465,-4866,18746,-6258
27081,"Lincoln, MN",8445,632,9755,18713,28261,15519,16437,29384,18229,28690,47228,49613,68395,35637,33463,8757,3120,13236
27083,"Lyon, MN",15196,10429,16549,47165,59396,44797,57706,78985,39872,62295,79466,86827,107436,50695,64929,11409,878,11981
27085,"McLeod, MN",7878,6800,13783,21163,27528,20532,11804,29290,6308,11707,19082,55094,39493,41018,71292,40465,56422,12920
27087,"Mahnomen, MN",449,-4144,7771,573,3907,5606,7812,12009,-6750,-732,9210,18722,24618,7181,11306,17272,4567,2113
27089,"Marshall, MN",-3218,2664,54845,2966,12503,19038,36401,109445,-1893,16515,34098,91263,76248,6206,3248,15596,22810,17423
27091,"Martin, MN",22426,19762,49972,112852,133858,110758,88983,122784,61015,89843,155689,180213,182790,124218,77053,17878,62858,18819
27093,"Meeker, MN",-529,2852,2685,24875,26799,25475,23361,48088,11747,33428,35306,69709,51743,36969,34744,3210,9195,-14074
27095,"Mille Lacs, MN",3036,2740,3391,6514,3778,2334,1002,3992,14,3163,76,5643,-815,2602,13507,9203,6179,-6880
27097,"Morrison, MN",7892,9693,23946,55142,67146,54536,58913,103287,43028,80587,103234,127860,82886,102996,106716,52375,53070,45742
27099,"Mower, MN",4066,13369,4604,44787,60400,37248,41327,43299,15351,54770,101136,120868,52336,7888,-14247,-62880,-34129,33240
27101,"Murray, MN",21431,19601,29038,49365,65912,46990,59792,84936,54398,69299,110613,110741,171142,107712,131515,61276,47927,45841
27103,"Nicollet, MN",21808,13462,29256,61462,72036,67695,36929,80545,32097,66395,97706,104640,112395,87577,55896,23638,43959,12936
27105,"Nobles, MN",23462,23366,39113,73706,92870,63003,86974,116776,66197,96988,152710,139271,156255,122146,108232,29837,65625,55426
27107,"Norman, MN",19534,6505,55116,23591,36999,41545,47897,92241,9996,30113,42783,66895,88285,15754,11589,7504,3243,15450
27109,"Olmsted, MN",-4529,-10446,-2532,14636,24332,16998,14021,22708,-2869,13468,43189,60057,30774,755,-8122,-40003,-19158,-5748
27111,"Otter Tail, MN",12204,11926,44629,50825,51016,44034,36404,108285,20190,42753,80829,115189,152598,126958,77664,29859,28718,17956
27113,"Pennington, MN",1510,1735,19281,1432,8759,5936,8374,25157,-5339,3972,13620,30061,22119,10675,27970,20190,21203,21210
27115,"Pine, MN",-815,-4321,393,3778,1485,3974,2727,6571,-2096,6225,12194,10682,8347,15154,19691,14679,19640,-3297
27117,"Pipestone, MN",18142,4211,14865,35262,45389,34227,33258,58745,40507,73519,102824,105753,126420,114548,75550,46056,57610,50457
27119,"Polk, MN",3024,-9646,81550,15662,37876,59698,65444,187769,29922,59474,101444,159778,254486,69841,-22904,-2027,35146,52209
27121,"Pope, MN",755,869,10859,20575,28246,13370,11472,34663,9297,19861,29048,69751,53718,18652,644,-12650,-12547,8279
27123,"Ramsey, MN",-768,-734,398,482,708,921,560,1085,972,1260,1721,1341,1825,1156,888,740,850,773
27125,"Red Lake, MN",2944,-2515,12648,1889,4627,5313,8928,19732,3290,8577,18672,30931,39931,23774,27696,18583,26185,25122
27127,"Redwood, MN",27645,30102,45437,77585,97136,82584,82832,118830,83793,115754,127203,156767,172627,95944,72619,26792,29923,40643
27129,"Renville, MN",20997,36794,49252,67250,101965,95147,97647,164286,80465,104098,111684,181525,212174,98622,103068,39617,44031,17306
27131,"Rice, MN",-1186,-2424,8232,29187,37032,35822,17652,28162,19341,35383,48701,70996,39053,22229,17325,-14270,1203,4740
27133,"Rock, MN",19787,15871,25444,52091,71975,53429,60470,87780,44479,81232,121639,122867,140626,120572,111406,60357,68594,62611
27135,"Roseau, MN",113,-5568,52192,1697,6093,14159,16188,49904,-11985,6693,24714,61482,70187,35609,38244,33803,47783,54837
27137,"St. Louis, MN",670,400,1070,496,-158,728,1258,387,-1135,2701,4185,2214,4697,4567,5603,3368,1605,897
27139,"Scott, MN",1199,-202,6242,14963,17942,17520,15886,27491,13257,14545,22186,30977,25596,19588,18142,5420,10085,-3218
27141,"Sherburne, MN",-1104,531,8856,10460,12240,23794,16843,7098,-3855,-3428,4709,4547,648,-3464,-8934,-5109,-5598,-19836
27143,"Sibley, MN",17963,24283,30247,53401,56833,46477,42530,69330,36698,51095,68089,94575,89250,59777,64672,24931,36365,-4644
27145,"Stearns, MN",42979,35371,72425,116140,110704,93734,95848,178103,58782,123772,185292,237018,179354,211182,154887,83910,103152,68950
27147,"Steele, MN",12024,6124,5700,20469,30075,22859,25091,32538,9143,26260,51871,81101,31712,-315,-7837,-36227,-23788,14845
