County,Year,Number of jurisdictions reporting,Total acres,Total estimated value,Estimated value per acre
Aitkin,2009,60,120808,163021300,1349
Aitkin,2010,60,100335,138844100,1384
Aitkin,2011,60,98925,136961400,1384
Aitkin,2012,60,96570,133979900,1387
Aitkin,2013,60,97033,128688000,1326
Aitkin,2014,60,97461,126697000,1300
Aitkin,2015,60,96973,125833200,1298
Aitkin,2016,60,96566,129546500,1342
Aitkin,2017,60,94806,123395100,1302
Anoka,2009,21,34993,356440700,10186
Anoka,2010,21,38383,327078000,8521
Anoka,2011,21,38174,304562000,7978
Anoka,2012,21,37665,261452400,6942
Anoka,2013,21,37578,250258600,6660
Anoka,2014,21,37364,252529000,6759
Anoka,2015,21,37290,253773300,6805
Anoka,2016,21,37002,252826100,6833
Anoka,2017,21,36644,259696300,7087
Becker,2009,44,332761,524859700,1577
Becker,2010,44,334891,543854540,1624
Becker,2011,44,335006,677315817,2022
Becker,2012,44,333999,742283877,2222
Becker,2013,44,333501,844541416,2532
Becker,2014,44,333937,960843111,2877
Becker,2015,44,333134,952274698,2859
Becker,2016,44,332262,953383598,2869
Becker,2017,44,332248,954458600,2873
Beltrami,2009,60,175027,154911307,885
Beltrami,2010,60,190243,177499353,933
Beltrami,2011,60,192991,171644520,889
Beltrami,2012,60,194238,173887175,895
Beltrami,2013,60,195051,172210460,883
Beltrami,2014,60,195696,191343994,978
Beltrami,2015,60,196745,198827008,1011
Beltrami,2016,60,197796,203401560,1028
Beltrami,2017,60,201334,211280400,1049
Benton,2009,19,167681,531113097,3167
Benton,2010,19,166506,529033840,3177
Benton,2011,19,166487,479024516,2877
Benton,2012,19,165997,479192231,2887
Benton,2013,19,180165,520193862,2887
Benton,2014,19,179905,550764671,3061
Benton,2015,19,179529,548928958,3058
Benton,2016,19,179426,547851253,3053
Benton,2017,19,179049,548390600,3063
Big Stone,2009,22,286858,622325300,2169
Big Stone,2010,22,264619,700025900,2645
Big Stone,2011,22,264540,701372900,2651
Big Stone,2012,22,262396,842283900,3210
Big Stone,2013,22,262992,1059606000,4029
Big Stone,2014,22,262562,1109265500,4225
Big Stone,2015,22,262680,1176080900,4477
Big Stone,2016,22,262553,1176800700,4482
Big Stone,2017,22,278154,1165437900,4190
Blue Earth,2009,35,402419,1758449100,4370
Blue Earth,2010,35,388031,1701500200,4385
Blue Earth,2011,35,384915,1819587300,4727
Blue Earth,2012,35,384907,2136744000,5551
Blue Earth,2013,35,384555,3007333100,7820
Blue Earth,2014,35,383754,3517128300,9165
Blue Earth,2015,35,383405,3038504700,7925
Blue Earth,2016,35,383252,2889748300,7540
Blue Earth,2017,35,381661,2887181100,7565
Brown,2009,23,352287,1194656300,3391
Brown,2010,23,345835,1410859283,4080
Brown,2011,23,345389,1562393436,4524
Brown,2012,23,349171,1919624273,5498
Brown,2013,23,348863,2455696806,7039
Brown,2014,23,348747,2795569037,8016
Brown,2015,23,348509,2609464325,7488
Brown,2016,23,348251,2652400158,7616
Brown,2017,23,348004,2392596100,6875
Carlton,2009,34,103022,151195600,1468
Carlton,2010,34,100253,146183100,1458
Carlton,2011,34,97935,139107400,1420
Carlton,2012,34,93839,125352400,1336
Carlton,2013,34,74862,98965300,1322
Carlton,2014,34,73045,96268800,1318
Carlton,2015,33,71385,94723300,1327
Carlton,2016,33,71084,94593300,1331
Carlton,2017,33,70134,95633800,1364
Carver,2009,21,165995,1214033500,7314
Carver,2010,21,164250,1016193430,6187
Carver,2011,21,156408,972071601,6215
Carver,2012,21,155265,999370707,6437
Carver,2013,21,152772,1100571667,7204
Carver,2014,21,152403,1165478138,7647
Carver,2015,21,151848,1189137039,7831
Carver,2016,21,150879,1197472553,7937
Carver,2017,21,149898,1179029000,7866
Cass,2009,76,130380,223505900,1714
Cass,2010,76,131532,208191300,1583
Cass,2011,76,131660,191389900,1454
Cass,2012,76,135011,195423500,1447
Cass,2013,76,134892,181171800,1343
Cass,2014,76,133843,181219600,1354
Cass,2015,76,134150,192279200,1433
Cass,2016,76,134740,197880700,1469
Cass,2017,76,134631,204083800,1516
Chippewa,2009,22,334171,1144393800,3425
Chippewa,2010,22,332750,1158620800,3482
Chippewa,2011,22,332556,1248048700,3753
Chippewa,2012,22,332505,1591059600,4785
Chippewa,2013,22,332415,2003241800,6026
Chippewa,2014,22,332450,2273436000,6838
Chippewa,2015,22,332270,2220204600,6682
Chippewa,2016,22,332299,2153250500,6480
Chippewa,2017,22,332326,2152772100,6478
Chisago,2009,19,148406,615306500,4146
Chisago,2010,19,146017,546713780,3744
Chisago,2011,19,142005,430941000,3035
Chisago,2012,19,127321,386154098,3033
Chisago,2013,19,107390,355983186,3315
Chisago,2014,19,107366,387626607,3610
Chisago,2015,19,106370,395598899,3719
Chisago,2016,19,105279,377983012,3590
Chisago,2017,19,102136,378761900,3708
Clay,2009,41,557545,1016013400,1822
Clay,2010,41,558641,1097128480,1964
Clay,2011,41,561055,1268134490,2260
Clay,2012,41,560228,1529476151,2730
Clay,2013,41,557699,1943480417,3485
Clay,2014,41,556645,2428196349,4362
Clay,2015,41,548522,2367381167,4316
Clay,2016,41,547066,2161707411,3951
Clay,2017,41,546796,1919862800,3511
Clearwater,2009,28,274932,237982800,866
