year,ag,gross.sales,taxable.sales,sales.tax,use.tax,total.tax,number,gross.sales.pct.2003
2003,ag-related,9342252926,116917052,7609977,5961319,13571296,1404,1
2003,not ag-related,211077472760,57363819175,3790252921,232925592,4023217249,145652,1
2003,Total,220419725686,57480736227,3797862898,238886911,4036788545,147056,1
2004,ag-related,8470211520,143852916,9362603,5997514,15360117,1515,0.9066561981454109
2004,not ag-related,232867141949,60165688931,3975788412,264856102,4240644514,151164,1.1032306712037212
2004,Total,241337353469,60309541847,3985151015,270853616,4256004631,152679,1.0948990736554962
2005,ag-related,8479727317,125471669,8163774,6214478,14378252,1524,0.9076747744005577
2005,not ag-related,250125596921,62789710655,4150140634,300556702,4450697336,154533,1.1849942755634497
2005,Total,258605440425,62915197164,4158305372,306771280,4465076652,156068,1.1732409139887854
2006,ag-related,9619700707,155051267,10086386,7552676,17639062,1488,1.0296981662986076
2006,not ag-related,266282580957,64562317442,4269256889,NA,4617916090,153712,1.2615395545301487
2006,Total,275906239682,64719994813,4279513970,356215767,4635729737,155219,1.251731163457864
2007,ag-related,10294973662,150660165,9803168,9354799,19157967,1580,1.1019797626489565
2007,not ag-related,271847391922,65692945942,4347061393,NA,4689109428,157566,1.2879033862182765
2007,Total,282151207921,65844046857,4356893212,351403843,4708297055,159173,1.2800633293725259
2008,ag-related,13479783837,154305889,10039905,10088828,20128733,1528,1.442883632435708
2008,not ag-related,278201219761,65181559990,4315118200,338801441,4653919641,158369,1.3180052618752038
2008,Total,291681003598,65335865879,4325158105,348890269,4674048374,159897,1.3232980972561212
2009,ag-related,11623629985,123181392,8240014,9559952,17799966,1585,1.2441998816635336
2009,not ag-related,255042528787,60333024747,4114604201,308115321,4422719522,160113,1.2082887171810575
2009,Total,266666158772,60456206139,4122844215,317675273,4440519488,161698,1.2098107732512133
2010,ag-related,12238421752,129692688,8929441,10760867,19690308,1615,1.3100075376828864
2010,not ag-related,266920764301,61741340391,4325541436,327493365,4653034801,159045,1.2645630100209468
2010,Total,279159186053,61871033079,4334470877,338254232,4672725109,160660,1.2664891274326218
2011,ag-related,14730714756,139999552,9642615,10402949,20045564,1634,1.576783980553943
2011,not ag-related,285072391243,64928017165,4546809290,357844508,4904653798,153212,1.3505581032189728
2011,Total,299803105999,65068016717,4556451905,368247457,4924699362,154846,1.3601464436358386
2012,ag-related,15513111645,142020852,9806584,10112256,19918840,1637,1.6605321829626516
2012,not ag-related,297324902652,67885950111,4753884657,386746190,5140630847,153755,1.4086055644131448
2012,Total,312838014297,68027970963,4763691241,396858446,5160549687,155392,1.419283203095239
2013,ag-related,17054124313,204026825,14082636,10841680,24924316,1746,1.8254830444097099
2013,not ag-related,316495667036,71649895519,5020424656,430058768,5450483424,157521,1.4994289200906956
2013,Total,333549791349,71853922344,5034507292,440900448,5475407740,159267,1.5132483733518478
2014,ag-related,16694784639,193171077,13341669,10541549,23883218,1815,1.7870191238922148
2014,not ag-related,331466021415,73671856794,5167171104,470931792,5638102896,159067,1.5703524259639237
2014,Total,348160806054,73865027871,5180512773,481473341,5661986114,160882,1.579535610846255
2015,ag-related,13812361770,199189216,13760834,9487286,23248120,1818,1.47848296116662
2015,not ag-related,331393050070,76459715480,5363073162,422205018,5785278180,160011,1.5700067171393586
2015,Total,345205411840,76658904696,5376833996,431692304,5808526300,161829,1.5661275812118742
2016,ag-related,12373160245,189526185,13095222,7523021,20618243,1854,1.324430021645509
2016,not ag-related,331990158778,77256469419,5422102339,345837909,5767940248,163098,1.5728355775582008
2016,Total,344363319023,77445995604,5435197561,353360930,5788558491,164952,1.562307175327695
2017,ag-related,12451184794,180965045,12516688,7154032,19670720,1854,1.332781813190657
2017,not ag-related,347956534536,79565201048,5584872813,360628472,5945501285,164156,1.648477831320421
2017,Total,360407719330,79746166093,5597389501,367782504,5965172005,166010,1.6350973952459253
