periodyear,planning.region,ag.wages,total.wages,ag.emp,total.emp,ag.wages.per.emp,total.wages.per.emp
2001,Northwest,276928810,4996295498,10325,203390,26821.19225181598,24565.099060917448
2001,Northeast,23471186,4065299084,902,139017,26021.27050997783,29243.17949603286
2001,Central,324063665,6511167239,11699,236759,27700.11667663903,27501.244890373757
2001,Seven County Mpls-St Paul,799664930,66767511603,18958,1598237,42180.86981749129,41775.72638038038
2001,Southwest,554413075,4332400061,18491,174743,29982.860580823104,24792.982042199113
2001,Southeast,461838059,7051762968,13802,226979,33461.67649615998,31067.909225082498
2002,Northwest,282333255,5255846912,10109,205947,27928.90048471659,25520.385885689037
2002,Northeast,20811522,4208621545,803,138678,25917.212951432128,30348.15576371162
2002,Central,338621031,6869527975,11693,240119,28959.294535191995,28608.848008695688
2002,Seven County Mpls-St Paul,771564353,66784808586,17889,1565539,43130.6586729275,42659.30684958982
2002,Southwest,590001466,4479445828,18208,174451,32403.419705623903,25677.386933866816
2002,Southeast,484950200,7314391530,13617,226287,35613.58595872806,32323.51628683928
2003,Northwest,289604897,5452892269,10179,207564,28451.212987523333,26270.896056156173
2003,Northeast,21666625,4264350905,807,137524,26848.358116480795,31008.048813298043
2003,Central,350325878,7131881798,11972,242017,29262.101403274308,29468.51583979638
2003,Seven County Mpls-St Paul,816598336,68597513367,18418,1561059,44336.9712238028,43942.93448678109
2003,Southwest,531265406,4591449549,17076,173435,31111.81810728508,26473.604226367228
2003,Southeast,504861336,7536932819,13578,225533,37182.30490499337,33418.31492065463
2004,Northwest,303664693,5726212446,10356,210604,29322.58526458092,27189.47620178154
2004,Northeast,21146089,4488386712,796,138634,26565.438442211056,32375.800395285427
2004,Central,370778006,7568404580,12015,246701,30859.59267582189,30678.45116152752
2004,Seven County Mpls-St Paul,818691153,72574210852,17772,1573592,46066.34891964889,46120.093932861884
2004,Southwest,539290450,4797101744,16769,174018,32159.96481602958,27566.698525439897
2004,Southeast,515944082,7920183796,13310,227477,38763.64252441773,34817.514720169514
2005,Northwest,290975216,5803463359,10071,211924,28892.38566180121,27384.64430173081
2005,Northeast,16165089,4545837481,524,140024,30849.40648854962,32464.702343883906
2005,Central,370738194,7732387558,11971,251517,30969.692924567706,30743.001697698368
2005,Seven County Mpls-St Paul,848541881,74379206682,17602,1593962,48207.12879218271,46663.099046275885
2005,Southwest,552261822,4928352268,16909,175989,32660.82098290851,28003.7517572121
2005,Southeast,509462114,8114744584,13459,229647,37852.895014488444,35335.73085648844
2006,Northwest,311859494,6051330645,10306,213888,30259.993595963515,28292.05306048025
2006,Northeast,16198153,4731915256,507,141637,31949.019723865877,33408.75093372494
2006,Central,389066675,8184120772,12147,257680,32029.85716637853,31760.791570940703
2006,Seven County Mpls-St Paul,957401204,77690747983,18005,1615271,53174.185170785895,48097.65542933663
2006,Southwest,556878413,5203936206,16847,177984,33055.0491482163,29238.224817961163
2006,Southeast,505007665,8568454139,13250,233324,38113.78603773585,36723.41524660987
2007,Northwest,342195272,6264372422,10479,213062,32655.33657791774,29401.64094019581
2007,Northeast,15467875,4967156348,413,142425,37452.48184019371,34875.59310514306
2007,Central,401167749,8535882323,12208,260488,32861.054144823065,32768.81208731305
2007,Seven County Mpls-St Paul,1042830175,82491586289,19071,1622687,54681.46269204551,50836.412868902014
2007,Southwest,588232258,5348227884,17138,177848,34323.27331077139,30071.90344563897
2007,Southeast,515472407,8920526611,13397,234240,38476.70426214824,38082.84926144125
2008,Northwest,374518840,6551211790,10787,213641,34719.46231575044,30664.581189940134
2008,Northeast,19800966,5123829515,517,142368,38299.74081237911,35990.03648994156
2008,Central,425422477,8705724661,12588,258690,33795.87519860184,33653.11632069272
2008,Seven County Mpls-St Paul,1004819892,84473682409,16832,1612796,59696.99928707224,52377.16512751768
2008,Southwest,640585169,5598113047,17329,178091,36966.07819262508,31434.00310515411
2008,Southeast,519194419,9266272372,13614,234239,38136.801748200385,39559.05025209295
2009,Northwest,394218158,6427218261,11045,207912,35692.00162969669,30913.16644060949
2009,Northeast,12692652,4896224630,441,136744,28781.52380952381,35805.7730503715
2009,Central,436612547,8409122956,12299,246768,35499.84120660216,34077.03979446281
2009,Seven County Mpls-St Paul,1050705200,79224688986,17222,1541810,61009.47625130647,51384.210107600804
2009,Southwest,671321320,5458067945,17780,172617,37757.10461192351,31619.527306117012
2009,Southeast,532099209,9104039845,13606,226917,39107.6884462737,40120.57203735287
2010,Northwest,414487004,6549110454,11342,207558,36544.43695997178,31553.158413551875
2010,Northeast,12658935,5037180762,429,137438,29508.00699300699,36650.567979743595
2010,Central,458847852,8478197639,12701,245310,36126.907487599405,34561.15787778729
2010,Seven County Mpls-St Paul,1076746264,81509860905,17280,1537041,62311.705092592594,53030.37518517723
2010,Southwest,717677389,5564632862,17804,171042,40309.89603459897,32533.72190456145
2010,Southeast,543647786,9603872602,13665,225090,39783.957994877426,42666.81150650851
2011,Northwest,445443514,6781993502,11556,208215,38546.513845621324,32572.06974521528
2011,Northeast,30950760,5232547921,464,137823,66704.22413793103,37965.7090688782
2011,Central,474361365,8863710691,12589,249628,37680.623163078875,35507.67818914545
2011,Seven County Mpls-St Paul,1183992402,85060252743,18236,1564666,64926.10232507129,54363.201311334175
2011,Southwest,721137511,5750188383,18064,172562,39921.25282329495,33322.44864454515
2011,Southeast,566363886,9586008311,14042,228519,40333.56259792052,41948.40827677349
2012,Northwest,486375066,7110350820,12387,210562,39264.960523129084,33768.442643971845
2012,Northeast,15660907,5328664650,429,138502,36505.61072261072,38473.55742155348
2012,Central,492777213,9266080494,13151,253983,37470.70283628621,36483.07364666139
2012,Seven County Mpls-St Paul,1159822715,89014244781,18533,1590978,62581.48788647278,55949.387597440065
2012,Southwest,752652611,5998637409,17958,173354,41911.8282102684,34603.39772373294
2012,Southeast,590863412,10030549750,14244,233147,41481.5650098287,43022.42683800349
2013,Northwest,500399475,7388984292,12532,213729,39929.737871050114,34571.74408713839
2013,Northeast,14181892,5546421775,408,140321,34759.53921568627,39526.66938662068
2013,Central,522466584,9585173084,13670,258803,38219.940307242134,37036.5609517664
2013,Seven County Mpls-St Paul,1279356249,91638755748,19793,1620612,64636.80336482595,56545.77144189973
2013,Southwest,854843055,6215873470,17870,174303,47836.76860660325,35661.310878183394
2013,Southeast,616012147,10318075744,14371,235160,42864.94655904252,43876.83170607246
2014,Northwest,527696234,7749530943,12686,216394,41596.73924010721,35812.13408412433
2014,Northeast,11869803,5738851893,352,141610,33721.03125,40525.753075347784
2014,Central,559032353,10043669705,13787,263698,40547.78798868499,38087.77353260169
2014,Seven County Mpls-St Paul,1251177909,95598596411,19548,1643371,64005.41789441375,58172.25471971941
2014,Southwest,802127519,6457933616,18217,174511,44031.811988801666,37005.88281540992
2014,Southeast,623244256,10598867440,14381,235382,43338.03323830054,45028.368524356156
2015,Northwest,551341222,8069690920,12727,217864,43320.59574133731,37040.038372562696
2015,Northeast,11799585,5968500282,374,142731,31549.692513368984,41816.425878050315
2015,Central,579863094,10708380953,14028,268190,41336.12018819504,39928.337943249186
2015,Seven County Mpls-St Paul,1265030895,101065439446,19493,1675292,64896.6754732468,60327.05907149321
2015,Southwest,904591931,6712923151,19093,175889,47378.19782119101,38165.67921245786
2015,Southeast,674971916,11164582783,14639,237642,46107.788510144135,46980.6801112598
2016,Northwest,578482108,8333921031,12917,219296,44784.555856623054,38003.0690527871
2016,Northeast,14414254,5932070230,378,141873,38132.94708994709,41812.53818556033
2016,Central,602547632,11095685006,13858,270561,43480.12931158897,41009.920151093465
2016,Seven County Mpls-St Paul,1262411841,103885975160,19443,1706026,64928.860823946925,60893.547437143396
2016,Southwest,915759935,6882834811,18893,177241,48470.85878367649,38833.19779847778
2016,Southeast,712776153,11568166511,14942,241050,47702.861263552404,47990.73433312591
2017,Northwest,626763092,8691524714,13452,221341,46592.558132619684,39267.57678875581
2017,Northeast,10203641,6190440106,270,143362,37791.26296296297,43180.48092242017
2017,Central,657191726,11643960765,14560,274927,45136.794368131865,42352.9182837626
2017,Seven County Mpls-St Paul,1348451069,109457867502,19049,1739556,70788.54895270093,62922.876585749465
2017,Southwest,1010795102,7187135436,19844,177443,50937.06420076598,40503.91075443946
2017,Southeast,744536099,12084320710,15128,242752,49215.76540190376,49780.51966616135
2018,Northwest,645177028,9084952448,13218,222678,48810.487819639886,40798.60807084669
2018,Northeast,16262603,6488391239,405,143648,40154.57530864197,45168.6848337603
2018,Central,694050633,12090968947,14746,276624,47067.044147565444,43709.03806972642
2018,Seven County Mpls-St Paul,1351495359,114039835209,18855,1762242,71678.35369928401,64712.92547164351
2018,Southwest,1006914907,7395247152,19477,176995,51697.63859937362,41782.237645131216
2018,Southeast,761011508,12785765212,14956,244576,50883.35838459481,52277.26846460814
