year,edr,farm.cash.receipts,gross.sales
2003,EDR 1 - Northwest,785197000,2762143254
2003,EDR 10 - Southeast,1449106000,14664009459
2003,EDR 11 - 7 County Twin Cities,407553000,116465000000
2003,EDR 2 - Headwaters,118805000,1484731299
2003,EDR 3 - Arrowhead,50162000,9329098034
2003,EDR 4 - West Central,1063505000,5170144614
2003,EDR 5 - North Central,360297000,4118768877
2003,EDR 6E- Southwest Central,749306000,3297712351
2003,EDR 6W- Upper Minnesota Valley,573108000,969733247
2003,EDR 7E- East Central,132827000,2338162271
2003,EDR 7W- Central,609276000,10971497507
2003,EDR 8 - Southwest,1520120000,3764665855
2003,EDR 9 - South Central,1565631000,7046843995
2003,Minnesota,9384893000,220420000000
2004,EDR 1 - Northwest,595308000,3346620862
2004,EDR 10 - Southeast,1718908000,15290834010
2004,EDR 11 - 7 County Twin Cities,437561000,124925000000
2004,EDR 2 - Headwaters,107011000,1626898020
2004,EDR 3 - Arrowhead,48887000,9574727975
2004,EDR 4 - West Central,1111882000,5642462692
2004,EDR 5 - North Central,414628000,4447803273
2004,EDR 6E- Southwest Central,840188000,3684043819
2004,EDR 6W- Upper Minnesota Valley,643923000,1134405157
2004,EDR 7E- East Central,149187000,2623993165
2004,EDR 7W- Central,736861000,12287976659
2004,EDR 8 - Southwest,1773276000,3567582907
2004,EDR 9 - South Central,1910787000,7672458179
2004,Minnesota,10488407000,241337000000
2005,EDR 1 - Northwest,619702000,3065353592
2005,EDR 10 - Southeast,1633149000,15535695924
2005,EDR 11 - 7 County Twin Cities,412398000,136573000000
2005,EDR 2 - Headwaters,108674000,1722239238
2005,EDR 3 - Arrowhead,46196000,10883266803
2005,EDR 4 - West Central,1046827000,5965529512
2005,EDR 5 - North Central,415788000,4649455662
2005,EDR 6E- Southwest Central,815499000,3814143274
2005,EDR 6W- Upper Minnesota Valley,602600000,1158486673
2005,EDR 7E- East Central,135252000,2909467734
2005,EDR 7W- Central,705379000,13785558763
2005,EDR 8 - Southwest,1744216000,3561578692
2005,EDR 9 - South Central,1819780000,7649107547
2005,Minnesota,10105460000,258605000000
2006,EDR 1 - Northwest,769539000,3658506712
2006,EDR 10 - Southeast,1737845000,16876212285
2006,EDR 11 - 7 County Twin Cities,440067000,143750000000
2006,EDR 2 - Headwaters,110936000,1961641803
2006,EDR 3 - Arrowhead,46283000,12743568526
2006,EDR 4 - West Central,1165812000,6557272216
2006,EDR 5 - North Central,404216000,4800448712
2006,EDR 6E- Southwest Central,914522000,3989860349
2006,EDR 6W- Upper Minnesota Valley,696252000,1301605499
2006,EDR 7E- East Central,141419000,2972585489
2006,EDR 7W- Central,704164000,14986828199
2006,EDR 8 - Southwest,1895010000,3865253091
