year,edr,planning.region,total.earnings,farm.earnings,index.farm.earnings,index.total.earnings,pct.farm.earnings,farm.emp,total.emp
2001,EDR 4 - West Central,Northwest,3176752000,131420000,0,0,0.041369297949603874,11794,120730
2001,EDR 6W- Upper Minnesota Valley,Southwest,735495000,69955000,0,0,0.09511281517889313,4664,29314
2001,EDR 8 - Southwest,Southwest,2118582000,196999000,0,0,0.09298625212524227,10211,79558
2001,EDR 9 - South Central,Southwest,4146182000,157931000,0,0,0.03809070610021461,10368,142199
2002,EDR 4 - West Central,Northwest,3384095000,125318000,-0.04643128899710851,0.06526886581011045,0.03703146631521869,10823,121663
2002,EDR 6W- Upper Minnesota Valley,Southwest,786127000,80018000,0.14384961761132156,0.06884071271728563,0.10178762464589054,4239,28835
2002,EDR 8 - Southwest,Southwest,2182569000,180974000,-0.08134559058675425,0.03020274881972942,0.08291788255033403,9199,77242
2002,EDR 9 - South Central,Southwest,4368470000,166779000,0.05602446638088786,0.05361269717537725,0.03817789752476267,9384,142172
2003,EDR 4 - West Central,Northwest,3678311000,250013000,0.9023968954497033,0.15788421633164942,0.0679695110065462,10674,122896
2003,EDR 6W- Upper Minnesota Valley,Southwest,802019000,93185000,0.33207061682510186,0.09044792962562628,0.11618802048330526,4151,28339
2003,EDR 8 - Southwest,Southwest,2349751000,258070000,0.31000664977994813,0.10911496463200386,0.10982865844083053,9066,77359
2003,EDR 9 - South Central,Southwest,4594111000,263180000,0.6664239446340491,0.1080340901581262,0.05728638250142411,9327,141890
2004,EDR 4 - West Central,Northwest,3881569000,251411000,0.9130345457312433,0.22186717754486343,0.06477045751344367,10334,124181
2004,EDR 6W- Upper Minnesota Valley,Southwest,926848000,157888000,1.256993781716818,0.2601690018287004,0.17034939925424666,4004,28384
2004,EDR 8 - Southwest,Southwest,2701845000,449585000,1.2821689450200255,0.2753082014290691,0.1663992568041468,8761,77307
2004,EDR 9 - South Central,Southwest,5031349000,496682000,2.144930380989166,0.21348966350247048,0.09871746126138338,9080,142470
2005,EDR 4 - West Central,Northwest,3962196000,264020000,1.0089788464465075,0.24724750311009483,0.0666347651655799,10382,125990
2005,EDR 6W- Upper Minnesota Valley,Southwest,998890000,199090000,1.845972410835537,0.35811936179035886,0.19931123547137322,3993,28706
2005,EDR 8 - Southwest,Southwest,2882916000,569507000,1.8909131518434104,0.36077621730006204,0.19754547132139819,8784,78863
2005,EDR 9 - South Central,Southwest,5228338000,575989000,2.6470927177058337,0.2610006024819943,0.11016674897453071,9168,144196
2006,EDR 4 - West Central,Northwest,4048564000,259180000,0.9721503576320195,0.2744350204233758,0.06401776037133167,9996,127510
2006,EDR 6W- Upper Minnesota Valley,Southwest,1006816000,155878000,1.2282610249446073,0.3688957776735396,0.15482272828401614,3840,28658
2006,EDR 8 - Southwest,Southwest,2814171000,432560000,1.1957471865339417,0.3283276266861514,0.15370778819055417,8440,79242
2006,EDR 9 - South Central,Southwest,5371909000,489665000,2.100499585261918,0.2956278812652218,0.0911528843843036,8867,145942
2007,EDR 4 - West Central,Northwest,4247866000,285483000,1.1722949322781921,0.3371726845532796,0.06720621601528862,10124,129548
2007,EDR 6W- Upper Minnesota Valley,Southwest,1024402000,147599000,1.109913515831606,0.39280620534469984,0.14408308457031516,3865,28971
2007,EDR 8 - Southwest,Southwest,2915102000,489579000,1.4851852039858071,0.3759684543718393,0.16794575284158153,8524,79807
2007,EDR 9 - South Central,Southwest,5385000000,452415000,1.8646370883487093,0.29878524387014366,0.08401392757660167,9014,146473
2008,EDR 4 - West Central,Northwest,4677570000,482221000,2.6693121290518946,0.4724378862435595,0.10309220385798609,9813,129329
2008,EDR 6W- Upper Minnesota Valley,Southwest,1104237000,232403000,2.322178543349296,0.5013521505924582,0.21046478246970532,3780,28811
2008,EDR 8 - Southwest,Southwest,3221448000,684784000,2.47607855877441,0.520568002560203,0.2125702479133607,8212,79901
2008,EDR 9 - South Central,Southwest,5598219000,642934000,3.0709803648428746,0.350210627512251,0.11484616804022851,8696,145563
2009,EDR 4 - West Central,Northwest,4457212000,173851000,0.32286562167097854,0.40307206857822075,0.03900442698260707,10407,128173
2009,EDR 6W- Upper Minnesota Valley,Southwest,1028547000,187341000,1.6780215853048388,0.3984418656822956,0.18214140919180163,3970,28768
2009,EDR 8 - Southwest,Southwest,3068204000,473006000,1.4010578733902204,0.44823471548422483,0.15416380397131352,8653,79755
2009,EDR 9 - South Central,Southwest,5196878000,407388000,1.5795315675833117,0.25341289890313545,0.0783909108507069,9194,141749
2010,EDR 4 - West Central,Northwest,4820407000,311411000,1.3695860599604321,0.5174011065390058,0.06460263625042449,10356,128324
2010,EDR 6W- Upper Minnesota Valley,Southwest,1103995000,225860000,2.22864698734901,0.501023120483484,0.20458425989248138,3966,28214
2010,EDR 8 - Southwest,Southwest,3325474000,642288000,2.260361727724506,0.5696697130439133,0.19314178971178245,8566,78709
2010,EDR 9 - South Central,Southwest,5507184000,534867000,2.3867131848718746,0.3282542830970758,0.0971216868730008,9109,140678
2011,EDR 4 - West Central,Northwest,5122517000,378365000,1.879051894688784,0.6125013850624789,0.07386310284572994,9972,129214
2011,EDR 6W- Upper Minnesota Valley,Southwest,1238769000,265707000,2.7982560217282537,0.6842656986111394,0.21449277468196248,3849,28331
2011,EDR 8 - Southwest,Southwest,3699836000,874592000,3.439575835410332,0.7463737537654903,0.23638669389670244,8213,78871
2011,EDR 9 - South Central,Southwest,6002138000,812239000,4.142999157860078,0.44763013297534937,0.13532494587761895,8734,142414
2012,EDR 4 - West Central,Northwest,5870562000,784853000,4.972097093288693,0.847976171888772,0.13369299225525597,9938,130339
2012,EDR 6W- Upper Minnesota Valley,Southwest,1426160000,417118000,4.962661711099993,0.939047852126799,0.2924762999943905,3840,28303
2012,EDR 8 - Southwest,Southwest,3872452000,963115000,3.888933446362672,0.8278508927197531,0.24870934488019478,8154,79048
2012,EDR 9 - South Central,Southwest,6435525000,971119000,5.149008111137142,0.5521569000106604,0.15089973234506898,8673,142393
