edr,planning.region,year,farm.emp,total.emp
EDR 4 - West Central,Northwest,2001,11794,120730
EDR 4 - West Central,Northwest,2002,10823,121663
EDR 4 - West Central,Northwest,2003,10674,122896
EDR 4 - West Central,Northwest,2004,10334,124181
EDR 4 - West Central,Northwest,2005,10382,125990
EDR 4 - West Central,Northwest,2006,9996,127510
EDR 4 - West Central,Northwest,2007,10124,129548
EDR 4 - West Central,Northwest,2008,9813,129329
EDR 4 - West Central,Northwest,2009,10407,128173
EDR 4 - West Central,Northwest,2010,10356,128324
EDR 4 - West Central,Northwest,2011,9972,129214
EDR 4 - West Central,Northwest,2012,9938,130339
EDR 4 - West Central,Northwest,2013,9776,131997
EDR 4 - West Central,Northwest,2014,9355,132959
EDR 4 - West Central,Northwest,2015,9700,134088
EDR 4 - West Central,Northwest,2016,9325,134120
EDR 4 - West Central,Northwest,2017,9038,134928
EDR 4 - West Central,Northwest,2018,9088,136417
EDR 6W- Upper Minnesota Valley,Southwest,2001,4664,29314
EDR 6W- Upper Minnesota Valley,Southwest,2002,4239,28835
EDR 6W- Upper Minnesota Valley,Southwest,2003,4151,28339
EDR 6W- Upper Minnesota Valley,Southwest,2004,4004,28384
EDR 6W- Upper Minnesota Valley,Southwest,2005,3993,28706
EDR 6W- Upper Minnesota Valley,Southwest,2006,3840,28658
EDR 6W- Upper Minnesota Valley,Southwest,2007,3865,28971
EDR 6W- Upper Minnesota Valley,Southwest,2008,3780,28811
EDR 6W- Upper Minnesota Valley,Southwest,2009,3970,28768
EDR 6W- Upper Minnesota Valley,Southwest,2010,3966,28214
EDR 6W- Upper Minnesota Valley,Southwest,2011,3849,28331
EDR 6W- Upper Minnesota Valley,Southwest,2012,3840,28303
EDR 6W- Upper Minnesota Valley,Southwest,2013,3789,28014
EDR 6W- Upper Minnesota Valley,Southwest,2014,3632,27764
EDR 6W- Upper Minnesota Valley,Southwest,2015,3727,27734
EDR 6W- Upper Minnesota Valley,Southwest,2016,3596,27454
EDR 6W- Upper Minnesota Valley,Southwest,2017,3489,27024
EDR 6W- Upper Minnesota Valley,Southwest,2018,3502,27230
EDR 8 - Southwest,Southwest,2001,10211,79558
EDR 8 - Southwest,Southwest,2002,9199,77242
EDR 8 - Southwest,Southwest,2003,9066,77359
EDR 8 - Southwest,Southwest,2004,8761,77307
EDR 8 - Southwest,Southwest,2005,8784,78863
EDR 8 - Southwest,Southwest,2006,8440,79242
EDR 8 - Southwest,Southwest,2007,8524,79807
EDR 8 - Southwest,Southwest,2008,8212,79901
EDR 8 - Southwest,Southwest,2009,8653,79755
EDR 8 - Southwest,Southwest,2010,8566,78709
EDR 8 - Southwest,Southwest,2011,8213,78871
EDR 8 - Southwest,Southwest,2012,8154,79048
EDR 8 - Southwest,Southwest,2013,8039,79614
EDR 8 - Southwest,Southwest,2014,7697,79737
EDR 8 - Southwest,Southwest,2015,7913,79918
EDR 8 - Southwest,Southwest,2016,7623,78901
EDR 8 - Southwest,Southwest,2017,7391,78192
EDR 8 - Southwest,Southwest,2018,7427,78714
EDR 9 - South Central,Southwest,2001,10368,142199
EDR 9 - South Central,Southwest,2002,9384,142172
EDR 9 - South Central,Southwest,2003,9327,141890
EDR 9 - South Central,Southwest,2004,9080,142470
EDR 9 - South Central,Southwest,2005,9168,144196
EDR 9 - South Central,Southwest,2006,8867,145942
EDR 9 - South Central,Southwest,2007,9014,146473
EDR 9 - South Central,Southwest,2008,8696,145563
EDR 9 - South Central,Southwest,2009,9194,141749
EDR 9 - South Central,Southwest,2010,9109,140678
EDR 9 - South Central,Southwest,2011,8734,142414
EDR 9 - South Central,Southwest,2012,8673,142393
EDR 9 - South Central,Southwest,2013,8544,143529
EDR 9 - South Central,Southwest,2014,8178,143372
EDR 9 - South Central,Southwest,2015,8446,145440
EDR 9 - South Central,Southwest,2016,8128,146462
EDR 9 - South Central,Southwest,2017,7879,146653
EDR 9 - South Central,Southwest,2018,7921,146866
