periodyear,naicstitle,edr,wage.type,wages,planning.region,emp,wages.emp,pct.ind.emp,label
2018,"Total, All Industries",EDR 1 - Northwest,totwageYear,1610621568,Northwest,36891,43658.92949499878,0.0130506165532802,EDR 1
2018,Crop Production,EDR 1 - Northwest,totwageYear,31349526,Northwest,820,38231.12926829268,0.11103588354773189,EDR 1
2018,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,1111018,Northwest,29,38310.96551724138,0.0026849365799463012,EDR 1
2018,Food Manufacturing,EDR 1 - Northwest,totwageYear,57686101,Northwest,997,57859.68004012036,0.02103153675772598,EDR 1
2018,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,26941493,Northwest,420,64146.4119047619,0.06263048016701461,EDR 1
2018,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,9210245,Northwest,177,52035.28248587571,0.03383674249665456,EDR 1
2017,"Total, All Industries",EDR 1 - Northwest,totwageYear,1534394052,Northwest,36878,41607.30115516026,0.01317364071590189,EDR 1
2017,Crop Production,EDR 1 - Northwest,totwageYear,33273254,Northwest,867,38377.455594002306,0.11711468323652573,EDR 1
2017,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,4007510,Northwest,87,46063.333333333336,0.007863340563991324,EDR 1
2017,Food Manufacturing,EDR 1 - Northwest,totwageYear,56556373,Northwest,1038,54485.90847784201,0.021879347413684077,EDR 1
2017,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,25976746,Northwest,454,57217.50220264317,0.062543050006888,EDR 1
2017,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,9177886,Northwest,200,45889.43,0.041425020712510356,EDR 1
2016,"Total, All Industries",EDR 1 - Northwest,totwageYear,1475037219,Northwest,37229,39620.65107846034,0.01350811996606733,EDR 1
2016,Crop Production,EDR 1 - Northwest,totwageYear,31780957,Northwest,870,36529.83563218391,0.12258700859518107,EDR 1
2016,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,939748,Northwest,17,55279.294117647056,0.0015945971297251665,EDR 1
2016,Food Manufacturing,EDR 1 - Northwest,totwageYear,52833879,Northwest,966,54693.45652173913,0.020858975189479823,EDR 1
2016,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,26718130,Northwest,491,54415.7433808554,0.0650589638266861,EDR 1
2016,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,9900528,Northwest,226,43807.64601769912,0.048146570089475926,EDR 1
2015,"Total, All Industries",EDR 1 - Northwest,totwageYear,1463391777,Northwest,37853,38659.86254722215,0.013928788136924775,EDR 1
2015,Crop Production,EDR 1 - Northwest,totwageYear,30307035,Northwest,831,36470.559566787,0.12154453707766565,EDR 1
2015,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,1798449,Northwest,47,38264.87234042553,0.0043486306439674315,EDR 1
2015,Food Manufacturing,EDR 1 - Northwest,totwageYear,52720290,Northwest,1015,51941.1724137931,0.022112807999825713,EDR 1
2015,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,26682776,Northwest,508,52525.149606299216,0.06572648466813301,EDR 1
2014,"Total, All Industries",EDR 1 - Northwest,totwageYear,1484907579,Northwest,38007,39069.318257163155,0.014208404891875262,EDR 1
2014,Crop Production,EDR 1 - Northwest,totwageYear,28499123,Northwest,809,35227.593325092705,0.12371922312280165,EDR 1
2014,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,1087413,Northwest,17,63965.470588235294,0.0016233766233766235,EDR 1
2014,Food Manufacturing,EDR 1 - Northwest,totwageYear,49823741,Northwest,1018,48942.77111984283,0.02232456140350877,EDR 1
2014,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,24839729,Northwest,474,52404.491561181436,0.061137624145492064,EDR 1
2013,"Total, All Industries",EDR 1 - Northwest,totwageYear,1421371656,Northwest,37312,38094.22319897084,0.014117675547725856,EDR 1
2013,Crop Production,EDR 1 - Northwest,totwageYear,26415474,Northwest,757,34894.94583883751,0.11170134277703998,EDR 1
2013,Food Manufacturing,EDR 1 - Northwest,totwageYear,50477055,Northwest,1080,46738.01388888889,0.023797457197629067,EDR 1
2013,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,22494655,Northwest,458,49114.967248908295,0.058403468502932925,EDR 1
2012,"Total, All Industries",EDR 1 - Northwest,totwageYear,1374791795,Northwest,36896,37261.26937879445,0.01418790982125141,EDR 1
2012,Crop Production,EDR 1 - Northwest,totwageYear,23227881,Northwest,654,35516.6376146789,0.09833107803337844,EDR 1
2012,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,904897,Northwest,23,39343.34782608696,0.0023103967855349072,EDR 1
2012,Food Manufacturing,EDR 1 - Northwest,totwageYear,55858288,Northwest,1165,47947.028326180254,0.026267727897905345,EDR 1
2012,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,23341794,Northwest,458,50964.615720524016,0.06005769735116706,EDR 1
2012,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,1924903,Northwest,43,44765.186046511626,0.010567707053330056,EDR 1
2011,"Total, All Industries",EDR 1 - Northwest,totwageYear,1281046935,Northwest,36238,35350.928169325016,0.014147670951674683,EDR 1
2011,Crop Production,EDR 1 - Northwest,totwageYear,19795539,Northwest,578,34248.33737024222,0.08972368829556039,EDR 1
2011,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,896707,Northwest,23,38987.260869565216,0.002446548239548984,EDR 1
2011,Food Manufacturing,EDR 1 - Northwest,totwageYear,47043196,Northwest,911,51639.07354555433,0.020781531582909414,EDR 1
2011,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,22987535,Northwest,468,49118.66452991453,0.06088992974238876,EDR 1
2011,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,5016263,Northwest,135,37157.503703703704,0.03134432319479916,EDR 1
2010,"Total, All Industries",EDR 1 - Northwest,totwageYear,1206777639,Northwest,36064,33462.11288265306,0.014291392392322182,EDR 1
2010,Crop Production,EDR 1 - Northwest,totwageYear,16876241,Northwest,558,30244.159498207886,0.08768070395977373,EDR 1
2010,Food Manufacturing,EDR 1 - Northwest,totwageYear,39696838,Northwest,966,41094.03519668737,0.02228168104442497,EDR 1
2010,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,22374259,Northwest,468,47808.24572649573,0.06541794800111826,EDR 1
2010,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,1886526,Northwest,47,40138.85106382979,0.011249401627573001,EDR 1
2009,"Total, All Industries",EDR 1 - Northwest,totwageYear,1159203487,Northwest,36279,31952.4652553819,0.014323871342189267,EDR 1
2009,Crop Production,EDR 1 - Northwest,totwageYear,15760378,Northwest,518,30425.440154440155,0.08331992922631494,EDR 1
2009,Food Manufacturing,EDR 1 - Northwest,totwageYear,38897035,Northwest,946,41117.37315010571,0.022071346912111243,EDR 1
2009,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,20652659,Northwest,479,43116.19832985386,0.06984543598716828,EDR 1
2009,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6248800,Northwest,217,28796.3133640553,0.04626865671641791,EDR 1
2008,"Total, All Industries",EDR 1 - Northwest,totwageYear,1185740463,Northwest,37285,31802.077591524743,0.014124053014160419,EDR 1
2008,Crop Production,EDR 1 - Northwest,totwageYear,13600950,Northwest,482,28217.738589211618,0.07776702161987738,EDR 1
2008,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,607486,Northwest,23,26412.434782608696,0.002666048452532746,EDR 1
2008,Food Manufacturing,EDR 1 - Northwest,totwageYear,35777404,Northwest,899,39796.88987764182,0.02104893467571997,EDR 1
2008,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,20703128,Northwest,484,42775.05785123967,0.07433573951773921,EDR 1
2008,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6230975,Northwest,225,27693.222222222223,0.04832474226804124,EDR 1
2007,"Total, All Industries",EDR 1 - Northwest,totwageYear,1129979754,Northwest,37057,30493.01762150201,0.013979827580743247,EDR 1
2007,Crop Production,EDR 1 - Northwest,totwageYear,12533207,Northwest,449,27913.601336302894,0.07266547985110859,EDR 1
2007,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,2109147,Northwest,73,28892.424657534248,0.008720582964998207,EDR 1
2007,Food Manufacturing,EDR 1 - Northwest,totwageYear,36181201,Northwest,933,38779.42229367631,0.02186855428464279,EDR 1
2007,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,17768119,Northwest,454,39136.82599118943,0.07167666561414587,EDR 1
2007,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6888893,Northwest,238,28944.928571428572,0.053519226444794246,EDR 1
2006,"Total, All Industries",EDR 1 - Northwest,totwageYear,1100405326,Northwest,37541,29312.094137076798,0.014221244700795482,EDR 1
2006,Crop Production,EDR 1 - Northwest,totwageYear,11507687,Northwest,446,25801.98878923767,0.07259114583333333,EDR 1
2006,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,2261839,Northwest,107,21138.682242990653,0.013369986255154316,EDR 1
2006,Food Manufacturing,EDR 1 - Northwest,totwageYear,34052204,Northwest,1004,33916.53784860558,0.02361852784116305,EDR 1
2006,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,15350702,Northwest,416,36900.72596153846,0.06683804627249357,EDR 1
2006,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6793502,Northwest,255,26641.18431372549,0.06135707410972088,EDR 1
2005,"Total, All Industries",EDR 1 - Northwest,totwageYear,1081745232,Northwest,37332,28976.353584056575,0.014341571579931635,EDR 1
2005,Crop Production,EDR 1 - Northwest,totwageYear,11567908,Northwest,476,24302.32773109244,0.08124253285543608,EDR 1
2005,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,1135172,Northwest,45,25226.044444444444,0.0058297706956859695,EDR 1
2005,Support Activities for Crop Production,EDR 1 - Northwest,totwageYear,648787,Northwest,22,29490.31818181818,0.038394415357766144,EDR 1
2005,Food Manufacturing,EDR 1 - Northwest,totwageYear,34400921,Northwest,971,35428.3429454171,0.0224477529128907,EDR 1
2005,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,13230672,Northwest,386,34276.35233160622,0.06394963552021206,EDR 1
2005,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6381613,Northwest,255,25025.933333333334,0.05843263061411549,EDR 1
2004,"Total, All Industries",EDR 1 - Northwest,totwageYear,1028860581,Northwest,37009,27800.280499337998,0.014394642450134693,EDR 1
2004,Crop Production,EDR 1 - Northwest,totwageYear,12954403,Northwest,528,24534.854166666668,0.08702818526454591,EDR 1
2004,Support Activities for Crop Production,EDR 1 - Northwest,totwageYear,3803762,Northwest,132,28816.378787878788,0.1888412017167382,EDR 1
2004,Food Manufacturing,EDR 1 - Northwest,totwageYear,35065601,Northwest,951,36872.34595162986,0.021644627534879488,EDR 1
2004,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,14418679,Northwest,409,35253.49388753056,0.0728406055209261,EDR 1
2004,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6110575,Northwest,238,25674.68487394958,0.04748603351955307,EDR 1
2003,"Total, All Industries",EDR 1 - Northwest,totwageYear,970998448,Northwest,36544,26570.666812609456,0.014347122311337737,EDR 1
2003,Crop Production,EDR 1 - Northwest,totwageYear,12648299,Northwest,525,24091.998095238094,0.09186351706036745,EDR 1
2003,Support Activities for Crop Production,EDR 1 - Northwest,totwageYear,1897013,Northwest,57,33280.929824561405,0.10124333925399645,EDR 1
2003,Food Manufacturing,EDR 1 - Northwest,totwageYear,24611722,Northwest,569,43254.34446397188,0.012505769357568298,EDR 1
2003,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,13255766,Northwest,403,32892.71960297767,0.07273055405161523,EDR 1
2003,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6197515,Northwest,245,25295.979591836734,0.058682634730538925,EDR 1
2002,"Total, All Industries",EDR 1 - Northwest,totwageYear,936632748,Northwest,36028,25997.356167425336,0.014122983795887055,EDR 1
2002,Crop Production,EDR 1 - Northwest,totwageYear,11741599,Northwest,474,24771.305907172995,0.08452211126961484,EDR 1
2002,Food Manufacturing,EDR 1 - Northwest,totwageYear,29917848,Northwest,855,34991.635087719296,0.0181582636027694,EDR 1
2002,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,12588646,Northwest,387,32528.80103359173,0.07410953657602451,EDR 1
2002,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6828876,Northwest,268,25480.880597014926,0.06478124244621707,EDR 1
2001,"Total, All Industries",EDR 1 - Northwest,totwageYear,903939350,Northwest,36026,25091.30489091212,0.013968319451348172,EDR 1
2001,Crop Production,EDR 1 - Northwest,totwageYear,11435198,Northwest,470,24330.2085106383,0.08631772268135904,EDR 1
2001,Food Manufacturing,EDR 1 - Northwest,totwageYear,33099027,Northwest,953,34731.40293809024,0.019958115183246073,EDR 1
2001,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,12048617,Northwest,373,32301.922252010725,0.07305131218174696,EDR 1
