NAICS,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER,
1110,"$448,051,915","$23,760,349","$1,552,692","$150,730","$1,703,422",426,
1111,"$14,723,814","$275,792","$17,928",$457,"$18,385",34,
1112,"$10,759,817","$1,330,286","$86,468",$177,"$86,645",14,
1113,"$25,394,689","$455,544","$29,610",$0,"$29,610",16,
1114,"$112,839,318","$52,837,270","$3,434,414","$163,130","$3,597,544",101,
1119,"$28,720,773","$4,757,059","$311,592","$7,621","$319,213",28,
1120,"$114,121,971","$965,199","$62,734","$130,324","$193,058",182,
1121,"$19,442,371","$103,861","$6,751",$163,"$6,914",27,
1122,"$192,221,573","$235,714","$15,321",$128,"$15,449",20,
1123,"$34,471,016","$980,369","$65,192","$172,249","$237,441",7,
1129,"$9,398,402","$136,571","$8,879",$877,"$9,756",24,
1130,"$7,339,059","$2,850,195","$185,266","$1,361","$186,627",97,
1132,"$956,238","$379,620","$24,674",$155,"$24,829",8,
1133,"$21,967,208","$3,076,813","$199,993","$1,262","$201,255",34,
1140,"$5,007,303","$3,108,651","$202,909",$439,"$203,348",34,
1141,"$1,386,216","$134,063","$8,712",$158,"$8,870",4,
1142,"$2,328,181","$1,830,033","$119,230",$0,"$119,230",12,
1150,"$420,057,967","$5,901,649","$383,606","$38,073","$421,679",112,
1151,"$158,479,536","$5,268,596","$342,453","$24,770","$367,223",79,
1152,"$68,194,799","$3,245,974","$210,989","$10,843","$221,832",62,
1153,"$5,466,087","$2,370,708","$154,096","$9,906","$164,002",19,
2111,"$28,479,555","$1,369,681","$89,026","$26,699","$115,725",13,
2122,"$132,521,661","$837,260","$54,422","$17,332,154","$17,386,576",5,
2123,"$314,786,480","$139,729,692","$9,082,417","$249,683","$9,332,100",145,
2131,"$9,275,707","$1,330,739","$86,498",$462,"$86,960",9,
2210,"$673,731,038","$228,830,199","$14,928,317","$346,353","$15,274,670",217,
2211,"$4,778,579,348","$2,501,988,961","$162,629,267","$7,802,614","$170,431,881",108,
2212,"$2,381,539,830","$392,972,552","$25,543,223","$2,623,344","$28,166,567",41,
2213,"$121,741,221","$18,624,077","$1,210,657","$146,222","$1,356,879",83,
2360,"$3,543,807,575","$63,710,704","$4,135,959","$2,804,533","$6,940,492","1,473",
2361,"$198,310,765","$3,837,965","$230,485","$310,583","$541,068",287,
2362,"$157,418,512","$6,058,452","$393,802","$135,258","$529,060",54,
2370,"$794,949,112","$93,273,224","$6,062,771","$3,304,282","$9,367,053",294,
2371,"$23,375,766","$1,007,801","$65,508","$128,528","$194,036",15,
2372,"$4,602,299",$0,$0,$211,$211,6,
2373,"$5,394,447","$3,163,477","$205,626","$37,995","$243,621",13,
2379,"$24,895,067","$2,600,086","$169,007","$37,004","$206,011",23,
