YEAR,FOUR-DIGIT INDUSTRY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER 
2017,1110 CROP PRODUCTION,"$594,255,569 ","$15,558,033 ","$1,074,337 ","$153,323 ","$1,227,660 ",180
2017,1111 OILSEED & GRAIN FARMING,"$181,376,525 ","$1,812,199 ","$124,588 ","$32,479 ","$157,067 ",100
2017,1112 VEGETABLE & MELON FARMING,"$8,844,756 ","$1,602,268 ","$110,154 ","$1,205 ","$111,359 ",61
2017,1113 FRUIT & TREE NUT FARMING,"$10,919,046 ","$3,309,620 ","$247,662 ",$777 ,"$248,439 ",53
2017,"1114 GREENHOUSE, NURSERY, & FLORICULTURE PRODUCTION","$125,935,809 ","$41,122,494 ","$2,832,599 ","$93,738 ","$2,926,337 ",229
2017,1119 OTHER CROP FARMING,"$153,427,543 ","$8,541,001 ","$589,138 ","$39,624 ","$628,762 ",78
2017,1120 ANIMAL PRODUCTION,"$367,336,037 ","$1,601,001 ","$111,148 ","$154,976 ","$266,124 ",79
2017,1121 CATTLE RANCHING & FARMING,"$82,210,431 ","$363,746 ","$25,008 ","$324,209 ","$349,217 ",58
2017,1122 HOG & PIG FARMING,"$153,871,627 ","$2,339,377 ","$160,833 ","$9,627 ","$170,460 ",27
2017,1123 POULTRY & EGG PRODUCTION,"$40,607,950 ","$844,112 ","$60,846 ","$11,485 ","$72,331 ",10
2017,1124 SHEEP & GOAT FARMING,"$79,880 ","$41,518 ","$2,856 ",$92 ,"$2,948 ",18
2017,1125 ANIMAL AQUACULTURE,"$3,518,131 ","$223,470 ","$15,365 ",$896 ,"$16,261 ",11
2017,1129 OTHER ANIMAL PRODUCTION,"$55,183,757 ","$4,506,109 ","$309,798 ","$14,005 ","$323,803 ",183
2017,1130 FORESTRY & LOGGING,"$6,269,506 ","$2,324,387 ","$159,803 ","$12,993 ","$172,796 ",44
2017,1132 FOREST NURSERIES & GATHERING OF FOREST PRODUCTS,"$26,808,136 ","$861,388 ","$59,222 ","$6,396 ","$65,618 ",18
2017,1133 LOGGING,"$37,422,070 ","$2,332,459 ","$160,357 ",$832 ,"$161,189 ",63
2017,"1140 FISHING, HUNTING & TRAPPING","$4,018,083 ","$2,309,428 ","$158,775 ",$313 ,"$159,088 ",17
2017,1141 FISHING,"$22,898,127 ","$414,643 ","$28,528 ","$17,897 ","$46,425 ",16
2017,1142 HUNTING & TRAPPING,"$4,476,553 ","$2,645,986 ","$185,623 ","$2,781 ","$188,404 ",42
2017,1150 SUPPORT ACTIVITIES FOR AGRICULTURE & FORESTRY,"$588,612,165 ","$3,932,259 ","$270,338 ","$111,955 ","$382,293 ",62
2017,1151 SUPPORT ACTIVITIES FOR CROP PRODUCTION,"$705,576,430 ","$8,802,928 ","$636,531 ","$67,173 ","$703,704 ",152
2017,1152 SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,"$402,202,621 ","$5,045,700 ","$346,892 ","$42,321 ","$389,213 ",91
2017,1153 SUPPORT ACTIVITIES FOR FORESTRY,"$7,442,669 ","$5,848,431 ","$402,081 ","$12,773 ","$414,854 ",25
2017,2122 METAL ORE MINING,"$64,848,814 ","$3,061,373 ","$210,471 ","$6,006,721 ","$6,217,192 ",10
2017,2123 NONMETALLIC MINERAL MINING & QUARRYING,"$411,184,670 ","$122,654,561 ","$8,432,507 ","$298,007 ","$8,730,514 ",182
2017,2131 SUPPORT ACTIVITIES FOR MINING,"$21,327,160 ","$877,287 ","$60,313 ","$23,044 ","$83,357 ",23
2017,2210 UTILITIES,"$278,254,389 ","$127,633,003 ","$8,774,777 ","$79,117 ","$8,853,894 ",80
2017,"2211 ELECTRIC POWER GENERATION, TRANSMISSION & DISTRIBUTION","$11,314,785,780 ","$4,155,683,300 ","$285,703,224 ","$15,304,120 ","$301,007,344 ",135
2017,2212 NATURAL GAS DISTRIBUTION,"$1,609,729,340 ","$469,690,725 ","$32,291,237 ","$1,825,391 ","$34,116,628 ",54
2017,"2213 WATER, SEWAGE & OTHER SYSTEMS","$393,013,464 ","$194,795,476 ","$13,487,540 ","$497,294 ","$13,984,834 ",181
2017,2360 CONSTRUCTION OF BUILDINGS,"$2,735,158,652 ","$18,383,068 ","$1,263,844 ","$1,917,371 ","$3,181,215 ",713
2017,2361 RESIDENTIAL BUILDING CONSTRUCTION,"$1,929,824,320 ","$49,408,658 ","$3,398,216 ","$1,947,954 ","$5,346,170 ","1,081"
