COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER
AITKIN,"$426,029,085","$113,627,629","$7,595,927","$96,469","$7,692,396",565
ANOKA,"$11,025,603,497","$2,887,864,598","$193,642,891","$15,092,004","$208,734,895","7,143"
BECKER,"$756,035,807","$236,623,039","$15,736,264","$925,307","$16,661,571","1,073"
BELTRAMI,"$975,319,572","$394,705,864","$26,047,903","$1,130,582","$27,178,485","1,165"
BENTON,"$1,737,629,715","$350,996,954","$23,270,316","$963,892","$24,234,208",965
BIG STONE,"$46,590,038","$18,831,935","$1,261,209","$16,624","$1,277,833",228
BLUE EARTH,"$2,924,042,328","$960,994,941","$63,231,374","$2,237,461","$65,468,835","1,792"
BROWN,"$676,703,330","$195,564,869","$12,936,990","$452,687","$13,389,677",849
CARLTON,"$817,246,299","$212,355,801","$14,082,901","$1,846,987","$15,929,888",902
CARVER,"$2,406,025,422","$574,500,458","$38,161,715","$1,856,019","$40,017,734","2,087"
CASS,"$526,592,271","$196,437,316","$13,232,151","$126,912","$13,359,063","1,127"
CHIPPEWA,"$312,525,585","$78,987,064","$5,238,256","$472,682","$5,710,938",454
CHISAGO,"$932,414,975","$252,721,313","$16,777,785","$597,829","$17,375,614","1,324"
CLAY,"$1,226,285,357","$309,521,316","$20,603,964","$1,059,484","$21,663,448","1,061"
CLEARWATER,"$218,366,831","$29,204,879","$1,975,639","$531,915","$2,507,554",254
COOK,"$135,178,223","$85,149,758","$5,656,379","$134,568","$5,790,947",376
COTTONWOOD,"$285,383,618","$52,745,189","$3,497,614","$170,359","$3,667,973",429
CROW WING,"$2,373,099,038","$869,413,966","$57,441,981","$1,586,859","$59,028,840","2,301"
DAKOTA,"$16,770,437,313","$4,250,619,355","$280,527,412","$26,987,170","$307,514,582","8,580"
DODGE,"$540,722,036","$83,522,593","$5,543,101","$358,546","$5,901,647",476
DOUGLAS,"$1,445,865,575","$589,939,908","$38,765,704","$1,020,358","$39,786,062","1,439"
FARIBAULT,"$771,992,850","$82,890,708","$5,493,902","$631,498","$6,125,400",568
FILLMORE,"$666,349,356","$112,140,707","$7,432,611","$124,855","$7,557,466",856
FREEBORN,"$1,159,874,039","$253,669,872","$16,733,381","$655,983","$17,389,364",992
GOODHUE,"$1,368,102,501","$294,823,021","$19,554,055","$887,527","$20,441,582","1,440"
GRANT,"$173,007,772","$22,732,286","$1,508,017","$46,774","$1,554,791",250
HENNEPIN,"$72,135,477,479","$18,330,297,404","$1,215,742,978","$78,569,713","$1,294,312,691","31,695"
HOUSTON,"$268,154,412","$64,167,050","$4,279,173","$207,535","$4,486,708",556
HUBBARD,"$367,829,504","$125,673,881","$8,382,953","$597,366","$8,980,319",791
ISANTI,"$738,684,410","$293,576,862","$19,329,635","$483,827","$19,813,462",969
ITASCA,"$1,586,150,510","$351,376,715","$23,206,253","$2,063,620","$25,269,873","1,476"
JACKSON,"$394,823,160","$46,131,053","$3,050,793","$117,681","$3,168,474",440
KANABEC,"$255,785,582","$68,666,735","$4,529,670","$78,190","$4,607,860",452
KANDIYOHI,"$1,646,819,815","$444,257,556","$29,279,338","$1,399,177","$30,678,515","1,254"
KITTSON,"$79,188,082","$16,993,423","$1,139,061","$29,448","$1,168,509",169
KOOCHICHING,"$748,978,438","$90,794,512","$6,093,497","$1,558,156","$7,651,653",464
LAC QUI PARLE,"$228,984,919","$26,059,163","$1,736,334","$158,441","$1,894,775",259
LAKE,"$251,498,188","$68,198,871","$4,554,614","$2,484,257","$7,038,871",410
LAKE OF THE WOODS,"$83,325,451","$42,414,325","$2,858,391","$16,531","$2,874,922",226
LESUEUR,"$530,381,270","$92,677,878","$6,209,313","$245,813","$6,455,126",697
LINCOLN,"$86,059,566","$22,857,300","$1,519,592","$21,567","$1,541,159",217
LYON,"$899,121,457","$287,406,557","$18,903,242","$1,409,817","$20,313,059",846
MCLEOD,"$1,071,191,515","$310,752,408","$20,434,191","$4,372,356","$24,806,547","1,093"
MAHNOMEN,"$77,397,880","$42,547,705","$2,873,270","$7,937","$2,881,207",134
MARSHALL,"$133,595,090","$29,544,096","$1,990,440","$32,182","$2,022,622",261
MARTIN,"$650,906,223","$125,867,684","$8,321,934","$391,776","$8,713,710",700
MEEKER,"$712,250,374","$119,525,346","$7,895,223","$413,553","$8,308,776",647
MILLE LACS,"$655,914,239","$145,927,046","$9,761,719","$192,692","$9,954,411",755
MORRISON,"$662,211,252","$176,194,874","$11,780,211","$213,507","$11,993,718","1,036"
MOWER,"$737,063,386","$225,380,011","$14,955,547","$1,522,448","$16,477,995",993
MURRAY,"$195,807,860","$38,878,905","$2,590,390","$53,702","$2,644,092",371
NICOLLET,"$689,246,840","$144,331,005","$9,585,242","$642,583","$10,227,825",700
NOBLES,"$583,154,736","$153,486,620","$10,094,660","$293,937","$10,388,597",677
NORMAN,"$116,054,080","$25,510,406","$1,698,769","$32,705","$1,731,474",211
OLMSTED,"$4,880,030,313","$1,511,065,359","$99,672,537","$5,544,315","$105,216,852","3,300"
OTTER TAIL,"$1,586,676,797","$541,899,881","$35,637,391","$1,098,166","$36,735,557","2,049"
PENNINGTON,"$1,716,986,344","$111,601,746","$7,296,754","$343,272","$7,640,026",406
PINE,"$326,668,528","$145,390,647","$9,742,220","$188,416","$9,930,636",725
PIPESTONE,"$238,601,762","$43,865,661","$2,901,760","$115,157","$3,016,917",343
POLK,"$658,772,352","$159,948,549","$10,640,898","$345,439","$10,986,337",828
POPE,"$237,706,788","$64,626,076","$4,302,055","$92,746","$4,394,801",349
RAMSEY,"$22,402,429,404","$5,787,171,812","$383,910,490","$30,277,929","$414,188,419","11,375"
RED LAKE,"$83,302,163","$15,996,013","$1,077,062","$42,096","$1,119,158",121
REDWOOD,"$700,056,579","$117,526,475","$7,800,667","$511,920","$8,312,587",595
RENVILLE,"$383,881,570","$64,265,797","$4,281,074","$292,390","$4,573,464",578
RICE,"$1,521,075,593","$371,975,442","$24,606,375","$594,754","$25,201,129","1,513"
ROCK,"$178,569,954","$39,246,167","$2,600,004","$115,922","$2,715,926",297
ROSEAU,"$277,455,481","$92,426,555","$6,155,637","$108,426","$6,264,063",478
ST. LOUIS,"$6,918,186,060","$2,280,751,004","$150,708,561","$12,313,799","$163,022,360","5,570"
