County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Aitkin,"$390,176,108 ","$110,689,918 ","$7,830,613 ","$196,636 ","$8,027,249 ",503
Anoka,"$12,717,993,183 ","$3,047,497,155 ","$213,707,547 ","$21,973,292 ","$235,680,839 ","7,288"
Becker,"$1,073,892,310 ","$321,953,337 ","$22,671,657 ","$991,918 ","$23,663,575 ","1,040"
Beltrami,"$1,576,289,158 ","$502,796,252 ","$35,244,037 ","$1,219,223 ","$36,463,260 ","1,221"
Benton,"$1,764,841,592 ","$350,859,265 ","$24,622,555 ","$1,981,408 ","$26,603,963 ",974
Big Stone,"$110,750,886 ","$24,320,080 ","$1,704,200 ","$79,004 ","$1,783,204 ",223
Blue Earth,"$5,180,370,371 ","$1,137,242,952 ","$79,361,408 ","$2,929,846 ","$82,291,254 ","1,895"
Brown,"$1,559,308,128 ","$258,170,721 ","$18,106,068 ","$807,116 ","$18,913,184 ",825
Carlton,"$956,329,531 ","$207,119,162 ","$14,695,379 ","$3,211,612 ","$17,906,991 ",808
Carver,"$3,444,112,080 ","$692,180,546 ","$48,935,000 ","$2,901,776 ","$51,836,776 ","2,341"
Cass,"$632,410,345 ","$222,915,262 ","$15,906,256 ","$363,215 ","$16,269,471 ","1,100"
Chippewa,"$519,766,524 ","$110,558,427 ","$7,754,742 ","$667,965 ","$8,422,707 ",425
Chisago,"$1,345,862,640 ","$260,829,490 ","$18,462,999 ","$1,153,604 ","$19,616,603 ","1,323"
Clay,"$2,115,266,881 ","$414,556,324 ","$29,121,311 ","$2,423,812 ","$31,545,123 ","1,006"
Clearwater,"$356,552,261 ","$38,705,874 ","$2,744,772 ","$838,531 ","$3,583,303 ",257
Cook,"$210,890,256 ","$101,680,020 ","$7,148,300 ","$100,911 ","$7,249,211 ",416
Cottonwood,"$824,533,769 ","$66,163,082 ","$4,633,549 ","$331,733 ","$4,965,282 ",406
Crow Wing,"$2,720,240,881 ","$914,665,700 ","$64,415,317 ","$1,743,694 ","$66,159,011 ","2,295"
Dakota,"$19,935,373,014 ","$4,570,606,863 ","$320,692,631 ","$41,913,322 ","$362,605,953 ","9,085"
Dodge,"$676,577,874 ","$87,143,154 ","$6,130,843 ","$485,877 ","$6,616,720 ",480
Douglas,"$2,127,660,572 ","$543,165,874 ","$38,063,706 ","$1,206,225 ","$39,269,931 ","1,444"
Faribault,"$483,182,726 ","$79,535,064 ","$5,584,671 ","$533,528 ","$6,118,199 ",487
Fillmore,"$861,118,187 ","$150,221,335 ","$10,515,018 ","$207,842 ","$10,722,860 ",780
Freeborn,"$1,781,512,552 ","$280,753,686 ","$19,608,771 ","$893,792 ","$20,502,563 ",922
Goodhue,"$1,753,938,436 ","$337,049,473 ","$23,661,379 ","$1,466,907 ","$25,128,286 ","1,399"
Grant,"$571,748,932 ","$33,541,682 ","$2,336,539 ","$63,365 ","$2,399,904 ",247
Hennepin,"$90,141,031,777 ","$21,550,024,346 ","$1,525,680,369 ","$118,624,962 ","$1,644,305,331 ","33,059"
Houston,"$306,475,298 ","$77,380,790 ","$5,447,234 ","$341,100 ","$5,788,334 ",525
