year,planning.region,farm.cash.receipts,gross.sales
2003,Central,1491409000,16607372129
2003,Minnesota,9384893000,220420000000
2003,Northeast,50162000,9329098034
2003,Northwest,2327804000,13535788044
2003,Seven County Mpls-St Paul,407553000,116465000000
2003,Southeast,1449106000,14664009459
2003,Southwest,3658859000,11781243097
2004,Central,1726236000,18596013643
2004,Minnesota,10488407000,241337000000
2004,Northeast,48887000,9574727975
2004,Northwest,2228829000,15063784847
2004,Seven County Mpls-St Paul,437561000,124925000000
2004,Southeast,1718908000,15290834010
2004,Southwest,4327986000,12374446243
2005,Central,1656130000,20509169771
2005,Minnesota,10105460000,258605000000
2005,Northeast,46196000,10883266803
2005,Northwest,2190991000,15402578004
2005,Seven County Mpls-St Paul,412398000,136573000000
2005,Southeast,1633149000,15535695924
2005,Southwest,4166596000,12369172912
2006,Central,1760105000,21949274037
2006,Minnesota,11024820000,275906000000
2006,Northeast,46283000,12743568526
2006,Northwest,2450503000,16977869443
2006,Seven County Mpls-St Paul,440067000,143750000000
2006,Southeast,1737845000,16876212285
2006,Southwest,4590017000,13083609593
2007,Central,2143388000,23316526748
2007,Minnesota,13714688000,282151000000
2007,Northeast,50491000,11538548042
2007,Northwest,3161723000,16911872717
2007,Seven County Mpls-St Paul,508466000,145089000000
2007,Southeast,2202431000,17751263227
2007,Southwest,5648189000,13590490207
2008,Central,2602391000,22014211356
2008,Minnesota,16450189000,291681000000
2008,Northeast,53237000,11394947343
2008,Northwest,3939899000,17934653006
2008,Seven County Mpls-St Paul,604024000,149749000000
2008,Southeast,2486481000,18918746271
2008,Southwest,6764157000,15894485506
2009,Central,2247379000,20446591717
2009,Minnesota,14370815000,266666000000
2009,Northeast,47913000,10264517339
2009,Northwest,3191442000,15741197663
2009,Seven County Mpls-St Paul,566848000,139037000000
2009,Southeast,2171533000,16829945772
2009,Southwest,6145700000,16224744840
2010,Central,2504508000,21155419291
2010,Minnesota,16179679000,279159000000
2010,Northeast,69245000,10848647764
2010,Northwest,3686408000,17100675472
2010,Seven County Mpls-St Paul,620507000,143144000000
2010,Southeast,2521555000,17682949321
2010,Southwest,6777456000,17579635148
2011,Central,2730152000,23680469484
2011,Minnesota,18486830000,299803000000
2011,Northeast,68250000,11926046990
2011,Northwest,4244293000,18948500886
2011,Seven County Mpls-St Paul,688918000,150056000000
2011,Southeast,3042359000,19624508578
2011,Southwest,7712858000,21028212460
2012,Central,3310940000,24510652211
2012,Minnesota,21642749000,312838000000
2012,Northeast,68734000,11977179532
2012,Northwest,5433832000,20245189329
2012,Seven County Mpls-St Paul,752001000,154237000000
2012,Southeast,3469589000,20727698046
2012,Southwest,8607653000,21646717934
2013,Central,3306234000,25649816776
2013,Minnesota,22275899000,333550000000
2013,Northeast,71624000,12493755550
2013,Northwest,5664957000,21584325623
2013,Seven County Mpls-St Paul,741914000,162316000000
2013,Southeast,3076370000,21373988961
2013,Southwest,9414800000,21806619402
2014,Central,3143556000,26752461985
2014,Minnesota,20199467000,348161000000
2014,Northeast,73360000,13109083136
2014,Northwest,4776589000,21871298929
2014,Seven County Mpls-St Paul,653843000,170710000000
2014,Southeast,3009737000,21352339257
2014,Southwest,8542382000,21313893939
2015,Central,2910174000,26337828491
2015,Minnesota,16968223000,345205000000
2015,Northeast,63064000,12375721372
2015,Northwest,4000246000,21018425410
2015,Seven County Mpls-St Paul,616534000,171278000000
2015,Southeast,2381949000,21215205665
2015,Southwest,6996256000,19844208380
2016,Central,2958558000,26352852786
2016,Minnesota,17563635000,344363000000
2016,Northeast,59856000,12063557674
2016,Northwest,4380165000,20363968590
2016,Seven County Mpls-St Paul,629692000,172414000000
2016,Southeast,2385952000,20830454035
2016,Southwest,7149412000,19408538777
2017,Central,2929113000,27721407533
2017,Minnesota,17733659000,360408000000
2017,Northeast,62865000,11533215479
2017,Northwest,4365657000,21074450929
2017,Seven County Mpls-St Paul,627921000,179226000000
2017,Southeast,2476654000,21882746985
2017,Southwest,7271449000,19447929182
