County,gross.sales,taxable.sales,sales.tax,use.tax,total.tax,number,year,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Aitkin,345328015,104977664,6984612,191813,7176425,503,2003,1,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,8993102858,2632791934,176375240,12454366,188829606,6553,2003,3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,666394084,220200643,14617919,785347,15403266,1026,2003,5,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,802026071,361660416,23738312,661712,24400024,1065,2003,7,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,1621828058,315303889,20793528,1238065,22031593,880,2003,9,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,59983336,19239752,1282262,16670,1298932,227,2003,11,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,2396606792,858160880,56509710,1723519,58233229,1709,2003,13,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,646346293,184765524,12223478,501281,12724759,860,2003,15,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,736167900,200016221,13286473,1285007,14571480,880,2003,17,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,2069491811,512041200,33992060,1534869,35526929,1824,2003,19,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,443990404,186785853,12512165,97751,12609916,1063,2003,21,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,299303760,75010273,4974076,338007,5312083,432,2003,23,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,717854666,210477328,13953376,322379,14275755,1157,2003,25,D,Entirely urban,EDR 7E- East Central,Central
Clay,982938284,283114213,18790989,684746,19475735,1037,2003,27,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,206874642,27815843,1882004,224021,2106025,263,2003,29,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,128737909,79596067,5282348,118771,5401119,375,2003,31,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,225392978,53577060,3555976,135951,3691927,428,2003,33,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,1963343561,803809373,52969537,1442390,54411927,2161,2003,35,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,14171526227,3956631838,260720533,11770023,272490556,7894,2003,37,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,338369445,76512733,5075942,689607,5765549,442,2003,39,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,1160858553,461006224,30313300,771683,31084983,1415,2003,41,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,917820439,82199110,5444888,267209,5712097,541,2003,43,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,482219632,109818294,7266858,308088,7574946,788,2003,45,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,1017109797,235347787,15522910,565545,16088455,943,2003,47,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,2607405991,254235371,16893995,2058597,18952592,1445,2003,49,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,144028081,23159430,1540859,84489,1625348,222,2003,51,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,63336739027,17210690463,1142672694,72037825,1214710519,29906,2003,53,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,201752166,57955161,3868051,185668,4053719,525,2003,55,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,319789631,117300631,7818429,653033,8471462,776,2003,57,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,645631155,274198780,18029964,509781,18539745,850,2003,59,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,1112525787,335901388,22213986,807792,23021778,1427,2003,61,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,471457013,42383980,2803753,113004,2916757,434,2003,63,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,226975038,71027235,4678292,41910,4720202,384,2003,65,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,1519968274,362615143,23921028,1418381,25339409,1181,2003,67,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,78917845,15121644,1012519,19462,1031981,162,2003,69,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,242970574,88523757,5932750,268967,6201717,488,2003,71,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac Qui Parle,188638353,25376944,1692735,122814,1815549,261,2003,73,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,148151261,67101662,4479506,2198539,6678045,401,2003,75,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake Of The Woods,78329080,41145288,2772275,27011,2799286,224,2003,77,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,400940059,73522948,4947820,301712,5249532,554,2003,79,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,586086507,31555956,2079726,102671,2182397,220,2003,81,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,801229454,231900112,15257592,606935,15864527,827,2003,83,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mcleod,825987533,295516942,19432775,2726900,22159675,1045,2003,85,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Mahnomen,77711875,40466138,2722420,19451,2741871,141,2003,87,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,127386793,27787351,1874711,37335,1912046,259,2003,89,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,631521126,116930551,7748784,288696,8037480,721,2003,91,B,Town/rural mix,EDR 9 - South Central,Southwest
Meeker,575200779,101072989,6642472,414459,7056931,631,2003,93,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,450738893,141399325,9470664,130499,9601163,702,2003,95,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,678428392,170090652,11390546,187146,11577692,1048,2003,97,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,605532156,210210655,13955959,1241732,15197691,952,2003,99,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,156516551,32691928,2181751,65667,2247418,359,2003,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,625629399,136299686,9048950,850183,9899133,668,2003,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,514933172,143417059,9432878,236586,9669464,707,2003,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,143598041,30635466,2032175,52516,2084691,214,2003,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,4061446866,1484775017,97777413,6759100,104536513,3212,2003,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,1466700121,501016221,32906499,1956961,34863460,1934,2003,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,1219982081,108289590,7163687,333678,7497365,388,2003,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,296962519,134880298,9036862,213229,9250091,634,2003,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,211159524,43335934,2870852,101273,2972125,328,2003,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
