year,description,gross.sales,taxable.sales,sales.tax,use.tax,total.tax,number,naics
2017,CROP PRODUCTION,594255569.00,15558033.00,1074337.00,153323.00,1227660.00,180,1110
2017,OILSEED & GRAIN FARMING,181376525.00,1812199.00,124588.00,32479.00,157067.00,100,1111
2017,VEGETABLE & MELON FARMING,8844756.00,1602268.00,110154.00,1205.00,111359.00,61,1112
2017,FRUIT & TREE NUT FARMING,10919046.00,3309620.00,247662.00,777.00,248439.00,53,1113
2017,"GREENHOUSE, NURSERY, & FLORICULTURE PRODUCTION",125935809.00,41122494.00,2832599.00,93738.00,2926337.00,229,1114
2017,OTHER CROP FARMING,153427543.00,8541001.00,589138.00,39624.00,628762.00,78,1119
2017,ANIMAL PRODUCTION,367336037.00,1601001.00,111148.00,154976.00,266124.00,79,1120
2017,CATTLE RANCHING & FARMING,82210431.00,363746.00,25008.00,324209.00,349217.00,58,1121
2017,HOG & PIG FARMING,153871627.00,2339377.00,160833.00,9627.00,170460.00,27,1122
2017,POULTRY & EGG PRODUCTION,40607950.00,844112.00,60846.00,11485.00,72331.00,10,1123
2017,SHEEP & GOAT FARMING,79880.00,41518.00,2856.00,92.00,2948.00,18,1124
2017,ANIMAL AQUACULTURE,3518131.00,223470.00,15365.00,896.00,16261.00,11,1125
2017,OTHER ANIMAL PRODUCTION,55183757.00,4506109.00,309798.00,14005.00,323803.00,183,1129
2017,FORESTRY & LOGGING,6269506.00,2324387.00,159803.00,12993.00,172796.00,44,1130
2017,FOREST NURSERIES & GATHERING OF FOREST PRODUCTS,26808136.00,861388.00,59222.00,6396.00,65618.00,18,1132
2017,LOGGING,37422070.00,2332459.00,160357.00,832.00,161189.00,63,1133
2017,"FISHING, HUNTING & TRAPPING",4018083.00,2309428.00,158775.00,313.00,159088.00,17,1140
2017,FISHING,22898127.00,414643.00,28528.00,17897.00,46425.00,16,1141
2017,HUNTING & TRAPPING,4476553.00,2645986.00,185623.00,2781.00,188404.00,42,1142
2017,SUPPORT ACTIVITIES FOR AGRICULTURE & FORESTRY,588612165.00,3932259.00,270338.00,111955.00,382293.00,62,1150
2017,SUPPORT ACTIVITIES FOR CROP PRODUCTION,705576430.00,8802928.00,636531.00,67173.00,703704.00,152,1151
2017,SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,402202621.00,5045700.00,346892.00,42321.00,389213.00,91,1152
2017,SUPPORT ACTIVITIES FOR FORESTRY,7442669.00,5848431.00,402081.00,12773.00,414854.00,25,1153
2017,METAL ORE MINING,64848814.00,3061373.00,210471.00,6006721.00,6217192.00,10,2122
2017,NONMETALLIC MINERAL MINING & QUARRYING,411184670.00,122654561.00,8432507.00,298007.00,8730514.00,182,2123
2017,SUPPORT ACTIVITIES FOR MINING,21327160.00,877287.00,60313.00,23044.00,83357.00,23,2131
2017,UTILITIES,278254389.00,127633003.00,8774777.00,79117.00,8853894.00,80,2210
2017,"ELECTRIC POWER GENERATION, TRANSMISSION & DISTRIBUTION",11314785780.00,4155683300.00,285703224.00,15304120.00,301007344.00,135,2211
2017,NATURAL GAS DISTRIBUTION,1609729340.00,469690725.00,32291237.00,1825391.00,34116628.00,54,2212
2017,"WATER, SEWAGE & OTHER SYSTEMS",393013464.00,194795476.00,13487540.00,497294.00,13984834.00,181,2213
2017,CONSTRUCTION OF BUILDINGS,2735158652.00,18383068.00,1263844.00,1917371.00,3181215.00,713,2360
2017,RESIDENTIAL BUILDING CONSTRUCTION,1929824320.00,49408658.00,3398216.00,1947954.00,5346170.00,1081,2361
2017,NONRESIDENTIAL BUILDING CONSTRUCTION,1282474367.00,59606180.00,4100211.00,3763592.00,7863803.00,354,2362
2017,HEAVY & CIVIL ENGINEERING CONSTRUCTION,914693207.00,27851288.00,1914785.00,2669987.00,4584772.00,198,2370
2017,UTILITY SYSTEM CONSTRUCTION,323058104.00,48705191.00,3348484.00,1088095.00,4436579.00,157,2371
2017,LAND SUBDIVISION,36084424.00,4915284.00,358635.00,9799.00,368434.00,18,2372
2017,"HIGHWAY, STREET, & BRIDGE CONSTRUCTION",398811373.00,37979769.00,2611113.00,1624395.00,4235508.00,92,2373
2017,OTHER HEAVY & CIVIL ENGINEERING CONSTRUCTION,633272769.00,26177171.00,1799684.00,3081894.00,4881578.00,93,2379
2017,SPECIALTY TRADE CONTRACTORS,3674468986.00,138800304.00,9542538.00,8549401.00,18091939.00,1872,2380
2017,"FOUNDATION, STRUCTURE, & BUILDING EXTERIOR CONTRACTORS",827452248.00,28184034.00,1937657.00,2504798.00,4442455.00,547,2381
2017,BUILDING EQUIPMENT CONTRACTORS,2428866028.00,166727514.00,11462659.00,5405596.00,16868255.00,1491,2382
2017,BUILDING FINISHING CONTRACTORS,879092232.00,65975012.00,4535773.00,3781435.00,8317208.00,824,2383
2017,OTHER SPECIALTY TRADE CONTRACTORS,1929833617.00,249820571.00,17177412.00,7902283.00,25079695.00,1125,2389
2017,FOOD MANUFACTURING,1724800345.00,4988809.00,342984.00,1405371.00,1748355.00,74,3110
2017,ANIMAL FOOD MANUFACTURING,722172929.00,5675950.00,390219.00,116581.00,506800.00,76,3111
2017,GRAIN & OILSEED MILLING,1425590139.00,1410772.00,103020.00,335025.00,438045.00,27,3112
2017,SUGAR & CONFECTIONERY PRODUCT MANUFACTURING,493095041.00,12803971.00,880954.00,186878.00,1067832.00,107,3113
2017,FRUIT & VEGETABLE PRESERVING & SPECIALTY FOOD MANUFACTURING,801702674.00,2143659.00,148145.00,193556.00,341701.00,69,3114
2017,DAIRY PRODUCT MANUFACTURING,2110634750.00,2043145.00,140744.00,531934.00,672678.00,44,3115
2017,ANIMAL SLAUGHTERING & PROCESSING,880856337.00,374927.00,25776.00,229952.00,255728.00,42,3116
2017,BAKERIES & TORTILLA MANUFACTURING,515086975.00,47199928.00,3270083.00,300824.00,3570907.00,251,3118
2017,OTHER FOOD MANUFACTURING,956920468.00,16679610.00,1159762.00,332226.00,1491988.00,161,3119
2017,BEVERAGE MANUFACTURING,759794294.00,90716745.00,7697952.00,573444.00,8271396.00,302,3121
2017,TOBACCO MANUFACTURING,442182255.00,3574532.00,245749.00,43369.00,289118.00,11,3122
2017,TEXTILE MILLS,57329408.00,3623741.00,249132.00,986.00,250118.00,28,3130
2017,"FIBER, YARN, & THREAD MILLS",648595.00,129093.00,8876.00,0.00,8876.00,19,3131
2017,FABRIC MILLS,29568844.00,4571054.00,314262.00,4356.00,318618.00,37,3132
2017,"TEXTILE, FABRIC FINISHING & FABRIC COATING MILLS",34974909.00,2775913.00,190842.00,1448.00,192290.00,22,3133
2017,TEXTILE PRODUCT MILLS,36752883.00,1383845.00,95140.00,313.00,95453.00,9,3140
2017,TEXTILE FURNISHINGS MILLS,43606314.00,12630949.00,868374.00,17260.00,885634.00,97,3141
2017,OTHER TEXTILE PRODUCT MILLS,137951782.00,8007495.00,550517.00,60085.00,610602.00,319,3149
2017,APPAREL MANUFACTURING,19115580.00,1047004.00,71980.00,1160.00,73140.00,48,3150
2017,APPAREL KNITTING MILLS,1962578.00,34541.00,2374.00,1922.00,4296.00,14,3151
2017,CUT & SEW APPAREL MANUFACTURING,125734146.00,7529663.00,517678.00,22473.00,540151.00,137,3152
2017,APPAREL ACCESSORIES & OTHER APPAREL MANUFACTURING,129687434.00,1737349.00,119444.00,27773.00,147217.00,79,3159
2017,LEATHER & ALLIED PRODUCT MANUFACTURING,237211.00,87734.00,6033.00,138405.00,144438.00,9,3160
2017,LEATHER & HIDE TANNING & FINISHING,4100858.00,286131.00,19671.00,25065.00,44736.00,17,3161
2017,FOOTWEAR MANUFACTURING,41097909.00,663736.00,45635.00,14491.00,60126.00,13,3162
2017,OTHER LEATHER & ALLIED PRODUCT MANUFACTURING,7576096.00,1803157.00,123968.00,2402.00,126370.00,108,3169
2017,WOOD PRODUCT MANUFACTURING,1126962108.00,75037386.00,5086569.00,287018.00,5373587.00,189,3210
2017,SAWMILLS & WOOD PRESERVATION,98988144.00,22345105.00,1536224.00,39862.00,1576086.00,63,3211
