planning.region,year,farm.earnings,total.earnings,ag.related.wages,total.wages
Central Minnesota,2001,154937,9846721,324063665,6511167239
Central Minnesota,2002,172294,10512910,338621031,6869527975
Central Minnesota,2003,252989,11077672,350325878,7131881798
Central Minnesota,2004,380583,11882281,370778006,7568404580
Central Minnesota,2005,441233,12256159,370738194,7732387558
Central Minnesota,2006,426188,12664813,387673860.3333333,8184120772
Central Minnesota,2007,400719,13059763,401167749,8535882323
Central Minnesota,2008,603882,13445844,422052325.6666667,8705724661
Central Minnesota,2009,333054,12897477,436612547,8409122956
Central Minnesota,2010,456878,13358438,458100246.5,8478197639
Central Minnesota,2011,521734,14194720,461360629.6666667,8863710691
Central Minnesota,2012,834024,15119420,491086431,9266080494
Central Minnesota,2013,678707,15607201,522466584,9585173084
Central Minnesota,2014,589219,16324749,556591627,10043669705
Central Minnesota,2015,643068,17078698,579863094,10708380953
Central Minnesota,2016,366335,17318921,602547632,11095685006
Central Minnesota,2017,413899,17904343,657191726,11643960765
Northeast Minnesota,2001,5379,5811935,23345327.5,4065299084
Northeast Minnesota,2002,6102,6081297,20811522,4208621545
Northeast Minnesota,2003,10758,6225020,21317838.333333332,4264350905
Northeast Minnesota,2004,9216,6566007,21146089,4488386712
Northeast Minnesota,2005,5381,6636273,15510459.5,4545837481
Northeast Minnesota,2006,7339,6848951,15299522.333333334,4731915256
Northeast Minnesota,2007,8054,7130350,13987109.833333334,4967156348
Northeast Minnesota,2008,2693,7522587,18254784,5123829515
Northeast Minnesota,2009,-585,7267983,12475137,4896224630
Northeast Minnesota,2010,18676,7842744,12219426.333333334,5037180762
Northeast Minnesota,2011,14147,8255260,30950760,5232547921
Northeast Minnesota,2012,7723,8328274,15660907,5328664650
Northeast Minnesota,2013,15173,8357188,13630329.333333334,5546421775
Northeast Minnesota,2014,16079,8587628,11869803,5738851893
Northeast Minnesota,2015,18912,8737693,11799585,5968500282
Northeast Minnesota,2016,8813,8684581,14414254,5932070230
Northeast Minnesota,2017,3098,8900771,4523080.333333334,6190440106
Northwest Minnesota,2001,217017,7927737,276928810,4996295498
Northwest Minnesota,2002,197653,8409259,282333255,5255846912
Northwest Minnesota,2003,661333,9317103,289604897,5452892269
Northwest Minnesota,2004,451437,9815538,303664693,5726212446
Northwest Minnesota,2005,548365,10003411,290798046,5803463359
Northwest Minnesota,2006,560778,10077856,311859494,6051330645
Northwest Minnesota,2007,629319,10363039,342195272,6264372422
Northwest Minnesota,2008,1185982,11285537,374518840,6551211790
