edr,year,farm.earnings,total.earnings
EDR  1 - Northwest,2001,55794,1385535
EDR  1 - Northwest,2002,43417,1441649
EDR  1 - Northwest,2003,313915,1779762
EDR  1 - Northwest,2004,85349,1661340
EDR  1 - Northwest,2005,134947,1772678
EDR  1 - Northwest,2006,177711,1811095
EDR  1 - Northwest,2007,228537,1887063
EDR  1 - Northwest,2008,521997,2244777
EDR  1 - Northwest,2009,77621,1800182
EDR  1 - Northwest,2010,176927,2012052
EDR  1 - Northwest,2011,258628,2209399
EDR  1 - Northwest,2012,507312,2573272
EDR  1 - Northwest,2013,620730,2652073
EDR  1 - Northwest,2014,233516,2365238
EDR  1 - Northwest,2015,175687,2353560
EDR  1 - Northwest,2016,169997,2374802
EDR  1 - Northwest,2017,218530,2456347
EDR  1 - Northwest,2018,256778,2588630
EDR  2 - Headwaters,2001,8188,1125146
EDR  2 - Headwaters,2002,4741,1204726
EDR  2 - Headwaters,2003,38291,1344214
EDR  2 - Headwaters,2004,21319,1565790
EDR  2 - Headwaters,2005,27862,1521946
EDR  2 - Headwaters,2006,26933,1424725
EDR  2 - Headwaters,2007,19368,1357279
EDR  2 - Headwaters,2008,27201,1386011
EDR  2 - Headwaters,2009,8086,1390203
EDR  2 - Headwaters,2010,22460,1435322
EDR  2 - Headwaters,2011,35736,1478118
EDR  2 - Headwaters,2012,58682,1553317
EDR  2 - Headwaters,2013,73005,1629322
EDR  2 - Headwaters,2014,37960,1690268
EDR  2 - Headwaters,2015,38989,1800024
EDR  2 - Headwaters,2016,37415,1868929
EDR  2 - Headwaters,2017,19209,1915978
EDR  2 - Headwaters,2018,20393,2006073
EDR  3 - Arrowhead,2001,5379,5811935
EDR  3 - Arrowhead,2002,6102,6081297
EDR  3 - Arrowhead,2003,10758,6225020
EDR  3 - Arrowhead,2004,9216,6566007
EDR  3 - Arrowhead,2005,5381,6636273
EDR  3 - Arrowhead,2006,7339,6848951
EDR  3 - Arrowhead,2007,8054,7130350
EDR  3 - Arrowhead,2008,2693,7522587
EDR  3 - Arrowhead,2009,-585,7267983
EDR  3 - Arrowhead,2010,18676,7842744
EDR  3 - Arrowhead,2011,14147,8255260
EDR  3 - Arrowhead,2012,7723,8328274
EDR  3 - Arrowhead,2013,15173,8357188
EDR  3 - Arrowhead,2014,16079,8587628
EDR  3 - Arrowhead,2015,18912,8737693
EDR  3 - Arrowhead,2016,8813,8684581
EDR  3 - Arrowhead,2017,3098,8900771
EDR  3 - Arrowhead,2018,-834,9347948
EDR  4 - West Central,2001,131420,3176752
EDR  4 - West Central,2002,125318,3384095
EDR  4 - West Central,2003,250013,3678311
EDR  4 - West Central,2004,251411,3881569
EDR  4 - West Central,2005,264020,3962196
EDR  4 - West Central,2006,259180,4048564
EDR  4 - West Central,2007,285483,4247866
EDR  4 - West Central,2008,482221,4677570
EDR  4 - West Central,2009,173851,4457212
EDR  4 - West Central,2010,311411,4820407
EDR  4 - West Central,2011,378365,5122517
EDR  4 - West Central,2012,784853,5870562
EDR  4 - West Central,2013,706894,5851269
EDR  4 - West Central,2014,389986,5637300
EDR  4 - West Central,2015,296050,5745995
EDR  4 - West Central,2016,164411,5777310
EDR  4 - West Central,2017,159363,5801629
EDR  4 - West Central,2018,230130,6101348
EDR  5 - North Central,2001,21615,2240304
EDR  5 - North Central,2002,24177,2378789
EDR  5 - North Central,2003,59114,2514816
EDR  5 - North Central,2004,93358,2706839
EDR  5 - North Central,2005,121536,2746591
EDR  5 - North Central,2006,96954,2793472
EDR  5 - North Central,2007,95931,2870831
EDR  5 - North Central,2008,154563,2977179
EDR  5 - North Central,2009,84374,2845711
EDR  5 - North Central,2010,152384,3006729
EDR  5 - North Central,2011,192956,3134135
EDR  5 - North Central,2012,221739,3287916
EDR  5 - North Central,2013,156559,3287791
EDR  5 - North Central,2014,188994,3460421
EDR  5 - North Central,2015,206864,3600978
EDR  5 - North Central,2016,102033,3635642
EDR  5 - North Central,2017,109085,3809640
EDR  5 - North Central,2018,87500,3934880
EDR  6E- Southwest Central,2001,66648,2093099
EDR  6E- Southwest Central,2002,87106,2229824
EDR  6E- Southwest Central,2003,106474,2362309
EDR  6E- Southwest Central,2004,159817,2539500
EDR  6E- Southwest Central,2005,219806,2657785
EDR  6E- Southwest Central,2006,210107,2725268
EDR  6E- Southwest Central,2007,196572,2779879
EDR  6E- Southwest Central,2008,307169,2962111
EDR  6E- Southwest Central,2009,182466,2756768
EDR  6E- Southwest Central,2010,229646,2859560
EDR  6E- Southwest Central,2011,240958,2991267
EDR  6E- Southwest Central,2012,435978,3290563
EDR  6E- Southwest Central,2013,407081,3339717
EDR  6E- Southwest Central,2014,267677,3323432
EDR  6E- Southwest Central,2015,327151,3577423
EDR  6E- Southwest Central,2016,158447,3471957
EDR  6E- Southwest Central,2017,182354,3597245
EDR  6E- Southwest Central,2018,100578,3612418
EDR  6W- Upper Minnesota Valley,2001,69955,735495
EDR  6W- Upper Minnesota Valley,2002,80018,786127
EDR  6W- Upper Minnesota Valley,2003,93185,802019
EDR  6W- Upper Minnesota Valley,2004,157888,926848
EDR  6W- Upper Minnesota Valley,2005,199090,998890
EDR  6W- Upper Minnesota Valley,2006,155878,1006816
EDR  6W- Upper Minnesota Valley,2007,147599,1024402
EDR  6W- Upper Minnesota Valley,2008,232403,1104237
EDR  6W- Upper Minnesota Valley,2009,187341,1028547
EDR  6W- Upper Minnesota Valley,2010,225860,1103995
EDR  6W- Upper Minnesota Valley,2011,265707,1238769
EDR  6W- Upper Minnesota Valley,2012,417118,1426160
EDR  6W- Upper Minnesota Valley,2013,474598,1466664
EDR  6W- Upper Minnesota Valley,2014,224531,1285005
EDR  6W- Upper Minnesota Valley,2015,208269,1324505
EDR  6W- Upper Minnesota Valley,2016,96921,1183607
EDR  6W- Upper Minnesota Valley,2017,45754,1124669
EDR  6W- Upper Minnesota Valley,2018,113197,1238363
EDR  7E- East Central,2001,9419,1773289
EDR  7E- East Central,2002,8859,1906916
EDR  7E- East Central,2003,16196,1981533
EDR  7E- East Central,2004,25321,2110694
EDR  7E- East Central,2005,20698,2132158
EDR  7E- East Central,2006,21175,2180875
EDR  7E- East Central,2007,18983,2205928
EDR  7E- East Central,2008,24331,2221142
EDR  7E- East Central,2009,8256,2169173
EDR  7E- East Central,2010,26082,2249798
EDR  7E- East Central,2011,31661,2337048
EDR  7E- East Central,2012,46408,2400789
EDR  7E- East Central,2013,29985,2530706
EDR  7E- East Central,2014,39254,2621761
EDR  7E- East Central,2015,57230,2742578
EDR  7E- East Central,2016,47929,2845940
EDR  7E- East Central,2017,48094,2931441
EDR  7E- East Central,2018,-2940,2990054
EDR  7W- Central,2001,78870,5980333
EDR  7W- Central,2002,76329,6376170
EDR  7W- Central,2003,130319,6733830
EDR  7W- Central,2004,195445,7232087
EDR  7W- Central,2005,200729,7466216
EDR  7W- Central,2006,194906,7758670
EDR  7W- Central,2007,185164,8073956
EDR  7W- Central,2008,272382,8262591
EDR  7W- Central,2009,142332,7971536
EDR  7W- Central,2010,201150,8249080
EDR  7W- Central,2011,249115,8866405
EDR  7W- Central,2012,351638,9428068
EDR  7W- Central,2013,241641,9736778
EDR  7W- Central,2014,282288,10379556
EDR  7W- Central,2015,258687,10758697
EDR  7W- Central,2016,159959,11001024
EDR  7W- Central,2017,183451,11375657
EDR  7W- Central,2018,117698,11729396
EDR  8 - Southwest,2001,196999,2118582
EDR  8 - Southwest,2002,180974,2182569
EDR  8 - Southwest,2003,258070,2349751
EDR  8 - Southwest,2004,449585,2701845
EDR  8 - Southwest,2005,569507,2882916
EDR  8 - Southwest,2006,432560,2814171
EDR  8 - Southwest,2007,489579,2915102
EDR  8 - Southwest,2008,684784,3221448
EDR  8 - Southwest,2009,473006,3068204
