GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27000,Minnesota,1029219,1017896,1847095,2470627,2941668,2553230,2631792,3970212,2121024,3140158,4300155,5977017,5613071,3628734,3180010,1335979,1850163,1852217
27001,"Aitkin, MN",1900,3189,3723,2601,1052,1544,1177,609,-557,10444,4540,2199,3605,4694,4752,1131,732,-404
27003,"Anoka, MN",12032,14448,17557,14408,14945,13395,10888,12398,13286,15857,15921,20510,20597,17193,20812,19066,18526,17346
27005,"Becker, MN",13333,12728,23546,17241,22745,27859,28923,35870,17636,29686,39975,65425,68258,36823,21122,24595,29385,27991
27007,"Beltrami, MN",4610,3710,10177,6601,6670,6984,57,4489,6324,2409,3916,8187,7292,6768,8954,6054,1233,1683
27009,"Benton, MN",6823,7631,17215,29799,32498,33475,25250,43577,21939,29440,25597,43041,17906,27119,33612,22457,23224,12896
27011,"Big Stone, MN",2736,4941,6857,16885,17578,13713,12633,28084,15955,17045,14947,50364,38094,11880,10684,3577,-3420,11418
27013,"Blue Earth, MN",26045,24423,31363,72667,81839,68561,59854,89767,63399,79030,132021,158369,155067,125209,96198,27576,84687,43968
27015,"Brown, MN",23191,15232,36079,59056,68819,58534,47974,73744,49086,72365,97066,105075,117576,81612,49537,12874,35628,43312
27017,"Carlton, MN",139,-644,1259,1376,491,886,1005,-1180,-2207,-157,-784,-1790,-361,215,77,-780,-2281,-3411
27019,"Carver, MN",11403,10075,15518,23410,21268,16475,20633,26962,16067,22282,28607,41889,28991,33665,42472,31282,37401,5789
27021,"Cass, MN",2910,936,12461,7262,14578,7219,3481,5200,-2453,1006,2365,4481,3817,7559,7904,-254,697,-4428
27023,"Chippewa, MN",18402,24544,30492,32393,43045,40065,42794,50983,44285,46022,57903,96461,109597,55768,42661,15879,13380,12136
27025,"Chisago, MN",3094,4785,6727,6018,6730,5672,6343,10273,3832,7863,9917,13389,8926,6650,12245,5770,6311,411
27027,"Clay, MN",22360,16033,50133,30582,31506,44809,52100,75873,14593,39400,49580,103745,99029,21855,1150,8733,19631,29004
27029,"Clearwater, MN",-699,-470,3428,2301,3833,4101,3419,4559,1077,9351,11165,8309,13706,14457,12133,9803,9300,10919
27031,"Cook, MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27033,"Cottonwood, MN",23753,28351,32494,53734,57204,41312,46107,66934,43181,53514,90720,106077,126537,73406,63886,19307,32134,41911
27035,"Crow Wing, MN",-1251,-1159,1200,1556,2040,1488,2531,-678,12033,22674,25628,4827,5336,4087,2411,84,1061,358
27037,"Dakota, MN",17848,25269,35496,41087,40550,36513,38448,46712,46425,56112,72705,79335,67999,38855,26772,15223,17928,35851
27039,"Dodge, MN",11653,12389,15469,31830,38605,26970,32349,34047,19321,38079,62612,84100,41145,25111,18746,-11067,1320,30750
27041,"Douglas, MN",8157,8218,13078,18283,18254,11029,8818,22677,6689,13294,15225,34376,20745,11312,18876,5083,2064,-2685
27043,"Faribault, MN",-315,18553,29188,52818,59333,42374,67773,68480,47197,46837,97252,117595,80293,20172,11799,-36799,-20461,8752
27045,"Fillmore, MN",8374,-4032,6200,28048,42653,30703,41648,50985,21023,43297,76083,80666,53182,26156,5362,-37608,-14605,1983
27047,"Freeborn, MN",10791,17079,24787,47519,60093,45820,46734,57918,22866,44706,85678,113454,53272,10010,-6416,-41165,-13171,21434
27049,"Goodhue, MN",22419,15216,30238,54211,57163,47599,54549,62928,39121,53752,89083,124574,85928,55289,28597,-19067,11327,29949
27051,"Grant, MN",10931,9482,15506,20220,15773,13702,21634,40445,17858,24940,28192,78668,66571,25128,48824,27092,15014,24648
27053,"Hennepin, MN",15776,16679,18758,17343,17627,17915,16845,18584,19328,20642,22989,30306,30998,27896,30069,24050,23272,18312
27055,"Houston, MN",10745,9558,18001,27052,27889,21813,17727,24838,12921,20473,33955,42936,29328,32714,24569,11607,18490,15658
27057,"Hubbard, MN",1904,4517,7241,6304,9946,7209,5366,2447,5215,8434,10807,15822,20600,7025,3065,2942,3599,4887
27059,"Isanti, MN",-980,-583,-1199,2236,1749,1853,2966,1786,-861,490,3645,7564,3938,4097,6630,4409,1281,-4127
27061,"Itasca, MN",627,844,1751,1912,1315,1945,2074,-36,-1023,1859,3368,1096,1669,1125,1923,300,-8,-1083
27063,"Jackson, MN",18057,18499,29208,56776,71935,53426,55328,77610,65462,76803,104208,117709,114813,70271,65583,16347,32671,27766
27065,"Kanabec, MN",-578,-449,1632,2854,2080,2781,-727,-2170,-1799,3625,4210,4624,5220,7339,631,10565,11707,1504
27067,"Kandiyohi, MN",13487,18511,25057,45546,66044,65272,56547,80601,57293,68358,74612,127419,99665,71601,88192,42050,43687,40182
27069,"Kittson, MN",-2730,7194,43724,13002,10249,18283,30526,71805,4021,22834,23558,66017,81916,37962,27556,24290,21328,26860
27071,"Koochiching, MN",656,733,1565,1379,1052,794,755,1307,1705,2533,2311,2357,4569,4425,4989,3259,1477,1400
27073,"Lac qui Parle, MN",14780,15379,12799,36469,46152,36099,32177,44697,56754,61505,62844,94360,127635,49815,25549,18027,7775,27812
27075,"Lake, MN",-101,-72,13,13,61,48,69,46,64,47,71,50,76,26,186,199,75,72
27077,"Lake of the Woods, MN",236,-607,8652,4478,2695,2367,2021,3044,209,1367,-502,5661,5346,790,1577,-574,-1465,-1348
27079,"Le Sueur, MN",7474,6831,12612,25201,26478,23863,19930,32228,16048,20491,30479,52595,44052,24975,26098,3074,23781,1892
27081,"Lincoln, MN",10685,4704,11931,18665,27080,16702,18017,28220,21165,28949,42571,47926,65228,36862,37052,13234,7956,17550
