GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27000,Minnesota,131679344,135128152,141146500,150987628,154969728,159588573,167175577,171922227,162791441,169682909,179683799,190181389,195260585,202625339,211003037,215200116,223244047,233117230
27001,"Aitkin, MN",142953,157037,165604,174543,174266,178383,178452,174216,168276,183171,181171,183305,185763,193209,201917,211576,221595,229741
27003,"Anoka, MN",5381728,5645600,5968457,6341947,6580198,6757035,6871055,6773236,6485187,6566861,6974252,7406690,7736799,8214850,8641563,8927175,9156902,9631909
27005,"Becker, MN",461107,488555,525766,551138,579999,599736,617362,621410,606348,660356,706078,780448,805187,808167,810992,843886,875703,895248
27007,"Beltrami, MN",630428,671687,712365,744029,761400,791343,798792,826071,871610,880961,898455,938168,965087,1020317,1066683,1119115,1147010,1211278
27009,"Benton, MN",567762,595687,702421,761636,783647,815214,836553,841221,794107,820241,841462,913588,880643,926968,978022,1006104,1043665,1060786
27011,"Big Stone, MN",63333,70809,73027,86242,86817,87509,88756,107706,102650,107668,105964,143960,130913,111296,117504,117838,106955,124994
27013,"Blue Earth, MN",1396126,1514720,1562691,1681654,1774540,1930225,1911775,1873204,1798934,1845060,2011730,2184042,2242716,2338400,2398677,2379590,2494345,2536429
27015,"Brown, MN",558386,564156,601898,656469,668013,680780,688296,733414,684654,713521,769533,807941,844472,822290,827281,796447,839940,871798
27017,"Carlton, MN",543836,570919,565890,590970,606452,606085,634282,650738,636893,647946,676094,694546,741435,791387,781757,807017,829593,841172
27019,"Carver, MN",1554956,1613720,1679584,1834613,1903348,2094767,2203450,2242579,2131118,2218057,2400054,2596110,2668781,2878657,3086259,3092063,3334501,3445791
27021,"Cass, MN",319980,339100,368577,384516,382907,374532,377163,376631,372140,398272,412723,426234,439008,462380,485613,511864,538779,566416
27023,"Chippewa, MN",233404,244702,251901,267159,291618,295115,305198,323085,299149,317647,350291,397098,403203,357416,341420,331525,337103,360276
27025,"Chisago, MN",596450,642428,682225,714970,736551,761650,766404,771903,749771,769680,794768,778154,875459,896011,934933,985521,1022278,1054046
27027,"Clay, MN",667341,704738,774990,796372,820706,855745,881968,983488,984141,1026989,1083368,1184693,1207896,1202620,1220199,1222739,1268836,1319850
27029,"Clearwater, MN",110228,115892,109103,107587,107416,105899,106670,114193,110293,127015,142164,144167,162863,167918,181707,183742,181297,181091
27031,"Cook, MN",100077,105346,108375,118115,124188,125813,127029,127517,129546,136558,140881,140832,142931,143826,152361,155483,156355,161561
27033,"Cottonwood, MN",190301,205938,228905,267245,263046,265898,274808,297646,271733,296207,340053,366978,386849,344079,333559,267969,304848,331942
27035,"Crow Wing, MN",1062683,1125696,1157433,1229148,1254796,1318602,1341706,1331044,1292408,1334034,1382346,1426978,1479923,1584832,1650079,1716569,1763573,1835092
27037,"Dakota, MN",7909569,8454369,9072158,9738178,10050736,10328602,10774428,11035717,10749378,10940890,11571458,12190828,12605289,13400263,13987565,14311135,14722924,15643740
27039,"Dodge, MN",214118,242824,249313,294592,307687,332318,340539,354742,311676,355202,402048,466384,407619,391916,402379,382570,405224,457910
27041,"Douglas, MN",626444,678519,731953,793073,796771,819918,904158,1030041,1024346,1118175,1164109,1299321,1265955,1132392,1243372,1307341,1213592,1283663
27043,"Faribault, MN",233651,266326,275343,321442,328864,320034,337383,332450,292893,291964,354073,386123,350324,272436,270147,220575,232038,270557
27045,"Fillmore, MN",278406,288712,295849,341092,335851,341141,360551,386262,349783,350871,401828,412085,394569,394655,412621,357204,359391,378168
