periodyear,Dem_Desc,naicstitle,wages
2001,Entirely rural,Food Manufacturing,32007582
2001,Entirely urban,Food Manufacturing,594592644
2001,Town/rural mix,Food Manufacturing,390713676
2001,Urban/town/rural mix,Food Manufacturing,486357067
2002,Entirely rural,Food Manufacturing,18229861
2002,Entirely urban,Food Manufacturing,617436596
2002,Town/rural mix,Food Manufacturing,410850786
2002,Urban/town/rural mix,Food Manufacturing,508131272
2003,Entirely rural,Food Manufacturing,16763207
2003,Entirely urban,Food Manufacturing,642076596
2003,Town/rural mix,Food Manufacturing,318554909
2003,Urban/town/rural mix,Food Manufacturing,521275027
2004,Entirely rural,Food Manufacturing,20031112
2004,Entirely urban,Food Manufacturing,579486393
2004,Town/rural mix,Food Manufacturing,324583422
2004,Urban/town/rural mix,Food Manufacturing,529547871
2005,Entirely rural,Food Manufacturing,14648230
2005,Entirely urban,Food Manufacturing,558773852
2005,Town/rural mix,Food Manufacturing,335935433
2005,Urban/town/rural mix,Food Manufacturing,544676825
2006,Entirely rural,Food Manufacturing,2206450
2006,Entirely urban,Food Manufacturing,553961171
2006,Town/rural mix,Food Manufacturing,339967404
2006,Urban/town/rural mix,Food Manufacturing,526506741
2007,Entirely rural,Food Manufacturing,6373342
2007,Entirely urban,Food Manufacturing,575663232
2007,Town/rural mix,Food Manufacturing,361663485
2007,Urban/town/rural mix,Food Manufacturing,527733168
2008,Entirely rural,Food Manufacturing,34176466
2008,Entirely urban,Food Manufacturing,538817396
2008,Town/rural mix,Food Manufacturing,386368961
2008,Urban/town/rural mix,Food Manufacturing,519083220
2009,Entirely rural,Food Manufacturing,25460983
2009,Entirely urban,Food Manufacturing,545975439
2009,Town/rural mix,Food Manufacturing,410084588
2009,Urban/town/rural mix,Food Manufacturing,541675544
2010,Entirely rural,Food Manufacturing,21650370
2010,Entirely urban,Food Manufacturing,575522348
2010,Town/rural mix,Food Manufacturing,431438145
2010,Urban/town/rural mix,Food Manufacturing,560208547
2011,Entirely rural,Food Manufacturing,25749883
2011,Entirely urban,Food Manufacturing,559145445
2011,Town/rural mix,Food Manufacturing,449419671
2011,Urban/town/rural mix,Food Manufacturing,597855597
2012,Entirely rural,Food Manufacturing,24815961
2012,Entirely urban,Food Manufacturing,601982581
2012,Town/rural mix,Food Manufacturing,450122971
2012,Urban/town/rural mix,Food Manufacturing,591365884
2013,Entirely rural,Food Manufacturing,34480473
2013,Entirely urban,Food Manufacturing,669575222
2013,Town/rural mix,Food Manufacturing,489284212
2013,Urban/town/rural mix,Food Manufacturing,617289637
2014,Entirely rural,Food Manufacturing,21128709
2014,Entirely urban,Food Manufacturing,711026702
2014,Town/rural mix,Food Manufacturing,504492312
2014,Urban/town/rural mix,Food Manufacturing,622184735
2015,Entirely rural,Food Manufacturing,12201341
2015,Entirely urban,Food Manufacturing,717487613
2015,Town/rural mix,Food Manufacturing,529160611
2015,Urban/town/rural mix,Food Manufacturing,673226055
2016,Entirely rural,Food Manufacturing,13844862
2016,Entirely urban,Food Manufacturing,735297820
2016,Town/rural mix,Food Manufacturing,552306160
2016,Urban/town/rural mix,Food Manufacturing,704825832
2017,Entirely rural,Food Manufacturing,12976562
2017,Entirely urban,Food Manufacturing,748236131
2017,Town/rural mix,Food Manufacturing,607754123
2017,Urban/town/rural mix,Food Manufacturing,732292249
2018,Entirely rural,Food Manufacturing,145361
2018,Entirely urban,Food Manufacturing,768473616
2018,Town/rural mix,Food Manufacturing,628647595
2018,Urban/town/rural mix,Food Manufacturing,642719773
