periodyear,planning.region,naicstitle,wages
2018,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,19785874
2017,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,19994337
2016,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,17724208
2015,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,18110001
2014,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,18564031
2013,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,18202263
2012,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,16670882
2011,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,14707010
2010,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,14948984
2009,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,14835546
2008,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,15022786
2007,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,13948500
2006,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,15288483
2005,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,11914685
2004,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,9634094
2003,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,9858207
2002,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,10111057
2001,Central Minnesota,Farm Product Raw Material Merchant Wholesalers,10309467
2008,Northeast Minnesota,Farm Product Raw Material Merchant Wholesalers,1111360
2007,Northeast Minnesota,Farm Product Raw Material Merchant Wholesalers,1605289
2006,Northeast Minnesota,Farm Product Raw Material Merchant Wholesalers,778444
2005,Northeast Minnesota,Farm Product Raw Material Merchant Wholesalers,1246171
2004,Northeast Minnesota,Farm Product Raw Material Merchant Wholesalers,663111
2018,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,72287502
2017,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,69234902
2016,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,76102920
2015,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,77114228
2014,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,74313610
2013,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,67776747
2012,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,64315033
2011,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,64813879
2010,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,61284734
2009,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,56628417
2008,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,53992299
2007,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,45322496
2006,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,44564132
2005,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,37644893
2004,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,35303764
2003,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,31429637
2002,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,29156029
2001,Northwest Minnesota,Farm Product Raw Material Merchant Wholesalers,28022887
2018,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,464336768
2017,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,507730106
2016,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,443549172
2015,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,479234495
2014,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,469690871
2013,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,531704775
2012,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,488326114
2011,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,532814519
2010,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,428823422
2009,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,415137210
2008,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,364156916
2007,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,256041467
2006,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,250168509
2005,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,230630963
2004,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,174961055
2003,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,151418740
2002,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,132199645
2001,Seven County Mpls-St Paul,Farm Product Raw Material Merchant Wholesalers,104748103
2018,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,31859524
2017,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,29187944
2016,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,28842624
2015,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,29090556
2014,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,28476009
2013,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,28156012
2012,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,25562983
2011,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,30268622
2010,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,28682781
2009,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,28055705
2008,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,27478979
2007,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,27646027
2006,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,24369967
2005,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,20224272
2004,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,23279859
2003,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,23270641
2002,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,22826793
2001,Southeast Minnesota,Farm Product Raw Material Merchant Wholesalers,22577675
2018,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,100143623
2017,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,98535462
2016,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,101569975
2015,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,104465819
2014,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,99648614
2013,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,174316621
2012,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,93030248
2011,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,92020841
2010,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,88714863
2009,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,82222927
2008,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,76919659
2007,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,69315085
2006,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,63976431
2005,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,60640278
2004,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,59303193
2003,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,54980823
2002,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,51734428
2001,Southwest Minnesota,Farm Product Raw Material Merchant Wholesalers,51613648
