periodyear,Dem_Desc,naicstitle,wages
2001,Entirely rural,Farm Product Raw Material Merchant Wholesalers,7688703
2001,Entirely urban,Farm Product Raw Material Merchant Wholesalers,95939572
2001,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,51359006
2001,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,25512433
2002,Entirely rural,Farm Product Raw Material Merchant Wholesalers,6914936
2002,Entirely urban,Farm Product Raw Material Merchant Wholesalers,125790818
2002,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,51090188
2002,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,25932484
2003,Entirely rural,Farm Product Raw Material Merchant Wholesalers,7616334
2003,Entirely urban,Farm Product Raw Material Merchant Wholesalers,98548008
2003,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,50530149
2003,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,27895915
2004,Entirely rural,Farm Product Raw Material Merchant Wholesalers,8706851
2004,Entirely urban,Farm Product Raw Material Merchant Wholesalers,182394048
2004,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,47417734
2004,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,28320617
2005,Entirely rural,Farm Product Raw Material Merchant Wholesalers,10713152
2005,Entirely urban,Farm Product Raw Material Merchant Wholesalers,226063736
2005,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,47497969
2005,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,27798560
2006,Entirely rural,Farm Product Raw Material Merchant Wholesalers,11461193
2006,Entirely urban,Farm Product Raw Material Merchant Wholesalers,254346480
2006,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,53231492
2006,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,26811138
2007,Entirely rural,Farm Product Raw Material Merchant Wholesalers,10913838
2007,Entirely urban,Farm Product Raw Material Merchant Wholesalers,269045130
2007,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,56194662
2007,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,27618510
2008,Entirely rural,Farm Product Raw Material Merchant Wholesalers,12951010
2008,Entirely urban,Farm Product Raw Material Merchant Wholesalers,372887241
2008,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,71824597
2008,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,30769603
2009,Entirely rural,Farm Product Raw Material Merchant Wholesalers,12864476
2009,Entirely urban,Farm Product Raw Material Merchant Wholesalers,427943285
2009,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,81326911
2009,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,31337550
2010,Entirely rural,Farm Product Raw Material Merchant Wholesalers,15759666
2010,Entirely urban,Farm Product Raw Material Merchant Wholesalers,443811592
2010,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,96661841
2010,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,37242980
2011,Entirely rural,Farm Product Raw Material Merchant Wholesalers,15041160
2011,Entirely urban,Farm Product Raw Material Merchant Wholesalers,554660944
2011,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,93897115
2011,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,37367436
2012,Entirely rural,Farm Product Raw Material Merchant Wholesalers,10479568
2012,Entirely urban,Farm Product Raw Material Merchant Wholesalers,507312317
2012,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,84566498
2012,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,37224135
2013,Entirely rural,Farm Product Raw Material Merchant Wholesalers,11353728
2013,Entirely urban,Farm Product Raw Material Merchant Wholesalers,547375402
2013,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,171782230
2013,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,36992021
2014,Entirely rural,Farm Product Raw Material Merchant Wholesalers,11920250
2014,Entirely urban,Farm Product Raw Material Merchant Wholesalers,488521790
2014,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,87723708
2014,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,42460785
2015,Entirely rural,Farm Product Raw Material Merchant Wholesalers,15240521
2015,Entirely urban,Farm Product Raw Material Merchant Wholesalers,499793444
2015,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,86697806
2015,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,47388307
2016,Entirely rural,Farm Product Raw Material Merchant Wholesalers,14370556
2016,Entirely urban,Farm Product Raw Material Merchant Wholesalers,463712264
2016,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,84149769
2016,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,47895443
2017,Entirely rural,Farm Product Raw Material Merchant Wholesalers,15119251
2017,Entirely urban,Farm Product Raw Material Merchant Wholesalers,516877140
2017,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,87110820
2017,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,46870544
2018,Entirely rural,Farm Product Raw Material Merchant Wholesalers,16453563
2018,Entirely urban,Farm Product Raw Material Merchant Wholesalers,377641391
2018,Town/rural mix,Farm Product Raw Material Merchant Wholesalers,86097112
2018,Urban/town/rural mix,Farm Product Raw Material Merchant Wholesalers,46746619
