periodyear,naicstitle,areaname,emp.type,emp,agrelated.emp
2018,Crop Production,Central,empYear,1101,14740
2018,Animal Production and Aquaculture,Central,empYear,2669,14740
2018,Support Activities for Crop Production,Central,empYear,245,14740
2018,Support Activities for Animal Production,Central,empYear,225,14740
2018,Food Manufacturing,Central,empYear,8584,14740
2018,Agricultural Implement Manufacturing,Central,empYear,671,14740
2018,Farm Product Raw Material Merchant Wholesalers,Central,empYear,328,14740
2018,Farm Supplies Merchant Wholesalers,Central,empYear,917,14740
2017,Crop Production,Central,empYear,1112,14560
2017,Animal Production and Aquaculture,Central,empYear,2616,14560
2017,Support Activities for Crop Production,Central,empYear,237,14560
2017,Support Activities for Animal Production,Central,empYear,203,14560
2017,Food Manufacturing,Central,empYear,8460,14560
2017,Agricultural Implement Manufacturing,Central,empYear,624,14560
2017,Farm Product Raw Material Merchant Wholesalers,Central,empYear,346,14560
2017,Farm Supplies Merchant Wholesalers,Central,empYear,962,14560
2016,Crop Production,Central,empYear,1108,13858
2016,Animal Production and Aquaculture,Central,empYear,2473,13858
2016,Support Activities for Crop Production,Central,empYear,246,13858
2016,Support Activities for Animal Production,Central,empYear,185,13858
2016,Food Manufacturing,Central,empYear,7754,13858
2016,Agricultural Implement Manufacturing,Central,empYear,738,13858
2016,Farm Product Raw Material Merchant Wholesalers,Central,empYear,352,13858
2016,Farm Supplies Merchant Wholesalers,Central,empYear,1002,13858
2015,Crop Production,Central,empYear,1075,14028
2015,Animal Production and Aquaculture,Central,empYear,2737,14028
2015,Support Activities for Crop Production,Central,empYear,210,14028
2015,Support Activities for Animal Production,Central,empYear,189,14028
2015,Food Manufacturing,Central,empYear,7714,14028
2015,Agricultural Implement Manufacturing,Central,empYear,751,14028
2015,Farm Product Raw Material Merchant Wholesalers,Central,empYear,369,14028
2015,Farm Supplies Merchant Wholesalers,Central,empYear,983,14028
2014,Crop Production,Central,empYear,1034,13855
2014,Animal Production and Aquaculture,Central,empYear,2735,13855
2014,Support Activities for Crop Production,Central,empYear,202,13855
2014,Support Activities for Animal Production,Central,empYear,171,13855
2014,Food Manufacturing,Central,empYear,7635,13855
2014,Agricultural Implement Manufacturing,Central,empYear,717,13855
2014,Farm Product Raw Material Merchant Wholesalers,Central,empYear,395,13855
2014,Farm Supplies Merchant Wholesalers,Central,empYear,966,13855
2013,Crop Production,Central,empYear,1095,13670
2013,Animal Production and Aquaculture,Central,empYear,2727,13670
2013,Support Activities for Crop Production,Central,empYear,203,13670
2013,Support Activities for Animal Production,Central,empYear,140,13670
2013,Food Manufacturing,Central,empYear,7518,13670
2013,Agricultural Implement Manufacturing,Central,empYear,641,13670
2013,Farm Product Raw Material Merchant Wholesalers,Central,empYear,384,13670
2013,Farm Supplies Merchant Wholesalers,Central,empYear,962,13670
2012,Crop Production,Central,empYear,1105,13207.666666666666
2012,Animal Production and Aquaculture,Central,empYear,2692,13207.666666666666
2012,Support Activities for Crop Production,Central,empYear,199,13207.666666666666
2012,Support Activities for Animal Production,Central,empYear,142.66666666666666,13207.666666666666
2012,Food Manufacturing,Central,empYear,7181,13207.666666666666
2012,Agricultural Implement Manufacturing,Central,empYear,614,13207.666666666666
2012,Farm Product Raw Material Merchant Wholesalers,Central,empYear,366,13207.666666666666
2012,Farm Supplies Merchant Wholesalers,Central,empYear,908,13207.666666666666
2011,Crop Production,Central,empYear,1063,12853
2011,Animal Production and Aquaculture,Central,empYear,2531,12853
2011,Support Activities for Crop Production,Central,empYear,196,12853
2011,Support Activities for Animal Production,Central,empYear,127.66666666666667,12853
2011,Food Manufacturing,Central,empYear,7164,12853
2011,Agricultural Implement Manufacturing,Central,empYear,532.3333333333334,12853
2011,Farm Product Raw Material Merchant Wholesalers,Central,empYear,356,12853
2011,Farm Supplies Merchant Wholesalers,Central,empYear,883,12853
2010,Crop Production,Central,empYear,1105,12777
2010,Animal Production and Aquaculture,Central,empYear,2403,12777
2010,Support Activities for Crop Production,Central,empYear,200,12777
2010,Support Activities for Animal Production,Central,empYear,126,12777
2010,Food Manufacturing,Central,empYear,7213,12777
2010,Agricultural Implement Manufacturing,Central,empYear,458,12777
2010,Farm Product Raw Material Merchant Wholesalers,Central,empYear,371,12777
2010,Farm Supplies Merchant Wholesalers,Central,empYear,901,12777
2009,Crop Production,Central,empYear,1007,12299
2009,Animal Production and Aquaculture,Central,empYear,2291,12299
2009,Support Activities for Crop Production,Central,empYear,209,12299
2009,Food Manufacturing,Central,empYear,7128,12299
2009,Agricultural Implement Manufacturing,Central,empYear,393,12299
2009,Farm Product Raw Material Merchant Wholesalers,Central,empYear,372,12299
2009,Farm Supplies Merchant Wholesalers,Central,empYear,899,12299
2008,Crop Production,Central,empYear,1071,12784.333333333334
2008,Animal Production and Aquaculture,Central,empYear,2260,12784.333333333334
2008,Support Activities for Crop Production,Central,empYear,206.33333333333334,12784.333333333334
2008,Support Activities for Animal Production,Central,empYear,143,12784.333333333334
2008,Food Manufacturing,Central,empYear,7454,12784.333333333334
2008,Agricultural Implement Manufacturing,Central,empYear,352,12784.333333333334
2008,Farm Product Raw Material Merchant Wholesalers,Central,empYear,393,12784.333333333334
2008,Farm Supplies Merchant Wholesalers,Central,empYear,905,12784.333333333334
2007,Crop Production,Central,empYear,1097,12208
2007,Animal Production and Aquaculture,Central,empYear,2149,12208
2007,Support Activities for Crop Production,Central,empYear,175,12208
2007,Food Manufacturing,Central,empYear,7171,12208
2007,Agricultural Implement Manufacturing,Central,empYear,307,12208
2007,Farm Product Raw Material Merchant Wholesalers,Central,empYear,397,12208
2007,Farm Supplies Merchant Wholesalers,Central,empYear,912,12208
2006,Crop Production,Central,empYear,1073,12194
2006,Animal Production and Aquaculture,Central,empYear,2108,12194
2006,Support Activities for Crop Production,Central,empYear,199,12194
2006,Support Activities for Animal Production,Central,empYear,117,12194
2006,Food Manufacturing,Central,empYear,7077,12194
2006,Agricultural Implement Manufacturing,Central,empYear,339,12194
2006,Farm Product Raw Material Merchant Wholesalers,Central,empYear,416,12194
2006,Farm Supplies Merchant Wholesalers,Central,empYear,865,12194
2005,Crop Production,Central,empYear,993,11971
2005,Animal Production and Aquaculture,Central,empYear,2040,11971
2005,Support Activities for Crop Production,Central,empYear,277,11971
2005,Food Manufacturing,Central,empYear,7091,11971
2005,Agricultural Implement Manufacturing,Central,empYear,343,11971
2005,Farm Product Raw Material Merchant Wholesalers,Central,empYear,359,11971
2005,Farm Supplies Merchant Wholesalers,Central,empYear,868,11971
2004,Crop Production,Central,empYear,999,12015
2004,Animal Production and Aquaculture,Central,empYear,1982,12015
2004,Support Activities for Crop Production,Central,empYear,295,12015
2004,Food Manufacturing,Central,empYear,7118,12015
2004,Agricultural Implement Manufacturing,Central,empYear,328,12015
2004,Farm Product Raw Material Merchant Wholesalers,Central,empYear,324,12015
2004,Farm Supplies Merchant Wholesalers,Central,empYear,969,12015
2003,Crop Production,Central,empYear,1050,11972
2003,Animal Production and Aquaculture,Central,empYear,2012,11972
2003,Support Activities for Crop Production,Central,empYear,247,11972
2003,Food Manufacturing,Central,empYear,7098,11972
2003,Agricultural Implement Manufacturing,Central,empYear,327,11972
2003,Farm Product Raw Material Merchant Wholesalers,Central,empYear,350,11972
2003,Farm Supplies Merchant Wholesalers,Central,empYear,888,11972
2002,Crop Production,Central,empYear,1040,11693
2002,Animal Production and Aquaculture,Central,empYear,2011,11693
2002,Support Activities for Crop Production,Central,empYear,248,11693
2002,Food Manufacturing,Central,empYear,6874,11693
2002,Agricultural Implement Manufacturing,Central,empYear,333,11693
2002,Farm Product Raw Material Merchant Wholesalers,Central,empYear,362,11693
2002,Farm Supplies Merchant Wholesalers,Central,empYear,825,11693
2001,Crop Production,Central,empYear,991,11699
2001,Animal Production and Aquaculture,Central,empYear,2008,11699
2001,Support Activities for Crop Production,Central,empYear,246,11699
2001,Food Manufacturing,Central,empYear,6793,11699
2001,Agricultural Implement Manufacturing,Central,empYear,494,11699
