GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27000,Minnesota,,Employment by place of work,,,,,,,,,,,,,,,,,,
27000,Minnesota,10,Total employment (number of jobs),3347326,3337706,3346994,3390372,3448135,3495705,3540491,3526499,3424435,3408753,3469201,3505578,3556487,3603717,3662971,3698363,3743706,3795762
27000,Minnesota,,By industry,,,,,,,,,,,,,,,,,,
27000,Minnesota,70,  Farm employment,101443,92225,90484,87109,87018,83325,83893,81197,85859,85342,82190,81854,80590,77177,79538,76565,74206,74572
27001,"Aitkin, MN",,Employment by place of work,,,,,,,,,,,,,,,,,,
27001,"Aitkin, MN",10,Total employment (number of jobs),6456,6518,6517,6677,6796,6795,6708,6543,6253,6126,6044,5929,5989,5989,6000,5892,6007,6067
27001,"Aitkin, MN",,By industry,,,,,,,,,,,,,,,,,,
27001,"Aitkin, MN",70,  Farm employment,731,655,625,587,570,535,524,502,504,491,470,459,455,439,440,427,417,416
27003,"Anoka, MN",,Employment by place of work,,,,,,,,,,,,,,,,,,
27003,"Anoka, MN",10,Total employment (number of jobs),143914,144464,147194,150118,154216,155847,157710,154946,148083,144846,149048,152106,155775,158801,161153,165268,167435,171341
27003,"Anoka, MN",,By industry,,,,,,,,,,,,,,,,,,
27003,"Anoka, MN",70,  Farm employment,846,786,772,713,692,630,610,569,632,623,576,571,547,516,553,522,497,505
27005,"Becker, MN",,Employment by place of work,,,,,,,,,,,,,,,,,,
27005,"Becker, MN",10,Total employment (number of jobs),18465,18459,18590,18792,19119,19404,19855,19614,19537,19700,20058,20361,20536,20674,21010,21128,21001,21381
27005,"Becker, MN",,By industry,,,,,,,,,,,,,,,,,,
27005,"Becker, MN",70,  Farm employment,1704,1575,1549,1472,1461,1376,1370,1326,1450,1453,1394,1408,1370,1306,1378,1314,1265,1278
27007,"Beltrami, MN",,Employment by place of work,,,,,,,,,,,,,,,,,,
27007,"Beltrami, MN",10,Total employment (number of jobs),23663,24068,23630,23965,24271,24515,25105,24788,24419,24222,24200,24644,25035,25632,25594,25866,25898,26529
27007,"Beltrami, MN",,By industry,,,,,,,,,,,,,,,,,,
27007,"Beltrami, MN",70,  Farm employment,802,719,681,649,638,611,611,590,588,576,560,547,545,526,523,510,497,496
27009,"Benton, MN",,Employment by place of work,,,,,,,,,,,,,,,,,,
27009,"Benton, MN",10,Total employment (number of jobs),20385,20542,21773,22343,21916,22179,22353,21883,21801,22432,22770,22814,23639,23122,23744,23377,23465,23062
27009,"Benton, MN",,By industry,,,,,,,,,,,,,,,,,,
27009,"Benton, MN",70,  Farm employment,1297,1200,1162,1093,1070,1003,990,972,1046,1059,1041,1057,1040,997,1020,983,952,957
27011,"Big Stone, MN",,Employment by place of work,,,,,,,,,,,,,,,,,,
27011,"Big Stone, MN",10,Total employment (number of jobs),3098,3076,3019,3026,2998,3052,3091,3076,3150,3078,2982,2967,2895,2878,2888,2891,2803,2814
27011,"Big Stone, MN",,By industry,,,,,,,,,,,,,,,,,,
27011,"Big Stone, MN",70,  Farm employment,524,463,452,436,433,417,417,407,425,421,408,405,402,386,395,383,373,373
27013,"Blue Earth, MN",,Employment by place of work,,,,,,,,,,,,,,,,,,
27013,"Blue Earth, MN",10,Total employment (number of jobs),42366,43242,43517,43840,45438,46875,47602,47339,46753,46786,47866,48200,48739,48968,49895,50156,51065,51129
27013,"Blue Earth, MN",,By industry,,,,,,,,,,,,,,,,,,
27013,"Blue Earth, MN",70,  Farm employment,1380,1242,1227,1198,1212,1180,1204,1171,1233,1232,1191,1188,1168,1118,1156,1112,1077,1084
27015,"Brown, MN",,Employment by place of work,,,,,,,,,,,,,,,,,,
27015,"Brown, MN",10,Total employment (number of jobs),19315,18947,18773,18997,19150,19286,19209,19263,18892,18511,18619,18542,18913,18712,18986,18618,18491,18768
27015,"Brown, MN",,By industry,,,,,,,,,,,,,,,,,,
27015,"Brown, MN",70,  Farm employment,1304,1152,1177,1186,1237,1230,1284,1213,1282,1246,1170,1145,1128,1080,1114,1073,1039,1045
27017,"Carlton, MN",,Employment by place of work,,,,,,,,,,,,,,,,,,
27017,"Carlton, MN",10,Total employment (number of jobs),17212,17050,16978,17137,17534,17711,18029,17934,17478,17208,17335,17640,17927,18217,17951,17791,18003,17844
27017,"Carlton, MN",,By industry,,,,,,,,,,,,,,,,,,
27017,"Carlton, MN",70,  Farm employment,650,578,542,503,487,455,443,441,449,455,459,462,461,447,437,429,419,418
27019,"Carver, MN",,Employment by place of work,,,,,,,,,,,,,,,,,,
