periodyear,Dem_Desc,naicstitle,emp
2001,Entirely rural,Food Manufacturing,1120
2001,Entirely urban,Food Manufacturing,15399
2001,Town/rural mix,Food Manufacturing,13029
2001,Urban/town/rural mix,Food Manufacturing,14347
2002,Entirely rural,Food Manufacturing,492
2002,Entirely urban,Food Manufacturing,15327
2002,Town/rural mix,Food Manufacturing,12556
2002,Urban/town/rural mix,Food Manufacturing,13977
2003,Entirely rural,Food Manufacturing,373
2003,Entirely urban,Food Manufacturing,15526
2003,Town/rural mix,Food Manufacturing,10329
2003,Urban/town/rural mix,Food Manufacturing,14014
2004,Entirely rural,Food Manufacturing,519
2004,Entirely urban,Food Manufacturing,14110
2004,Town/rural mix,Food Manufacturing,10066
2004,Urban/town/rural mix,Food Manufacturing,13390
2005,Entirely rural,Food Manufacturing,348
2005,Entirely urban,Food Manufacturing,13532
2005,Town/rural mix,Food Manufacturing,10157
2005,Urban/town/rural mix,Food Manufacturing,14270
2006,Entirely rural,Food Manufacturing,51
2006,Entirely urban,Food Manufacturing,13113
2006,Town/rural mix,Food Manufacturing,10198
2006,Urban/town/rural mix,Food Manufacturing,13762
2007,Entirely rural,Food Manufacturing,142
2007,Entirely urban,Food Manufacturing,13045
2007,Town/rural mix,Food Manufacturing,10566
2007,Urban/town/rural mix,Food Manufacturing,13604
2008,Entirely rural,Food Manufacturing,839
2008,Entirely urban,Food Manufacturing,12566
2008,Town/rural mix,Food Manufacturing,10536
2008,Urban/town/rural mix,Food Manufacturing,13312
2009,Entirely rural,Food Manufacturing,546
2009,Entirely urban,Food Manufacturing,12745
2009,Town/rural mix,Food Manufacturing,10783
2009,Urban/town/rural mix,Food Manufacturing,13562
2010,Entirely rural,Food Manufacturing,508
2010,Entirely urban,Food Manufacturing,12901
2010,Town/rural mix,Food Manufacturing,11026
2010,Urban/town/rural mix,Food Manufacturing,13556
2011,Entirely rural,Food Manufacturing,499
2011,Entirely urban,Food Manufacturing,12895
2011,Town/rural mix,Food Manufacturing,11417
2011,Urban/town/rural mix,Food Manufacturing,13609
2012,Entirely rural,Food Manufacturing,462
2012,Entirely urban,Food Manufacturing,13713
2012,Town/rural mix,Food Manufacturing,11150
2012,Urban/town/rural mix,Food Manufacturing,13554
2013,Entirely rural,Food Manufacturing,534
2013,Entirely urban,Food Manufacturing,14826
2013,Town/rural mix,Food Manufacturing,11552
2013,Urban/town/rural mix,Food Manufacturing,13915
2014,Entirely rural,Food Manufacturing,342
2014,Entirely urban,Food Manufacturing,14977
2014,Town/rural mix,Food Manufacturing,11758
2014,Urban/town/rural mix,Food Manufacturing,13731
2015,Entirely rural,Food Manufacturing,185
2015,Entirely urban,Food Manufacturing,14930
2015,Town/rural mix,Food Manufacturing,11987
2015,Urban/town/rural mix,Food Manufacturing,13802
2016,Entirely rural,Food Manufacturing,216
2016,Entirely urban,Food Manufacturing,14783
2016,Town/rural mix,Food Manufacturing,11898
2016,Urban/town/rural mix,Food Manufacturing,13856
2017,Entirely rural,Food Manufacturing,180
2017,Entirely urban,Food Manufacturing,14361
2017,Town/rural mix,Food Manufacturing,12869
2017,Urban/town/rural mix,Food Manufacturing,14141
2018,Entirely rural,Food Manufacturing,6
2018,Entirely urban,Food Manufacturing,14256
2018,Town/rural mix,Food Manufacturing,13010
2018,Urban/town/rural mix,Food Manufacturing,11612
