periodyear,planning.region,naicstitle,emp
2018,Central,Farm Product Raw Material Merchant Wholesalers,328
2017,Central,Farm Product Raw Material Merchant Wholesalers,346
2016,Central,Farm Product Raw Material Merchant Wholesalers,352
2015,Central,Farm Product Raw Material Merchant Wholesalers,369
2014,Central,Farm Product Raw Material Merchant Wholesalers,395
2013,Central,Farm Product Raw Material Merchant Wholesalers,384
2012,Central,Farm Product Raw Material Merchant Wholesalers,366
2011,Central,Farm Product Raw Material Merchant Wholesalers,356
2010,Central,Farm Product Raw Material Merchant Wholesalers,371
2009,Central,Farm Product Raw Material Merchant Wholesalers,372
2008,Central,Farm Product Raw Material Merchant Wholesalers,393
2007,Central,Farm Product Raw Material Merchant Wholesalers,397
2006,Central,Farm Product Raw Material Merchant Wholesalers,416
2005,Central,Farm Product Raw Material Merchant Wholesalers,359
2004,Central,Farm Product Raw Material Merchant Wholesalers,324
2003,Central,Farm Product Raw Material Merchant Wholesalers,350
2002,Central,Farm Product Raw Material Merchant Wholesalers,362
2001,Central,Farm Product Raw Material Merchant Wholesalers,389
2008,Northeast,Farm Product Raw Material Merchant Wholesalers,18
2007,Northeast,Farm Product Raw Material Merchant Wholesalers,25
2006,Northeast,Farm Product Raw Material Merchant Wholesalers,16
2005,Northeast,Farm Product Raw Material Merchant Wholesalers,19
2004,Northeast,Farm Product Raw Material Merchant Wholesalers,11
2018,Northwest,Farm Product Raw Material Merchant Wholesalers,1158
2017,Northwest,Farm Product Raw Material Merchant Wholesalers,1197
2016,Northwest,Farm Product Raw Material Merchant Wholesalers,1363
2015,Northwest,Farm Product Raw Material Merchant Wholesalers,1393
2014,Northwest,Farm Product Raw Material Merchant Wholesalers,1371
2013,Northwest,Farm Product Raw Material Merchant Wholesalers,1312
2012,Northwest,Farm Product Raw Material Merchant Wholesalers,1253
2011,Northwest,Farm Product Raw Material Merchant Wholesalers,1296
2010,Northwest,Farm Product Raw Material Merchant Wholesalers,1279
2009,Northwest,Farm Product Raw Material Merchant Wholesalers,1276
2008,Northwest,Farm Product Raw Material Merchant Wholesalers,1240
2007,Northwest,Farm Product Raw Material Merchant Wholesalers,1116
2006,Northwest,Farm Product Raw Material Merchant Wholesalers,1174
2005,Northwest,Farm Product Raw Material Merchant Wholesalers,1093
2004,Northwest,Farm Product Raw Material Merchant Wholesalers,1089
2003,Northwest,Farm Product Raw Material Merchant Wholesalers,1038
2002,Northwest,Farm Product Raw Material Merchant Wholesalers,967
2001,Northwest,Farm Product Raw Material Merchant Wholesalers,993
2018,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,3001
2017,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,3471
2016,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,3457
2015,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,3560
2014,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,3620
2013,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,3774
2012,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,3710
2011,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,3597
2010,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,3033
2009,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,2837
2008,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,2473
2007,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,2517
2006,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,2429
2005,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,2436
2004,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,2022
2003,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,1976
2002,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,1700
2001,"Seven County Mpls-St Paul, MN",Farm Product Raw Material Merchant Wholesalers,1372
2018,Southeast,Farm Product Raw Material Merchant Wholesalers,599
2017,Southeast,Farm Product Raw Material Merchant Wholesalers,569
2016,Southeast,Farm Product Raw Material Merchant Wholesalers,596
2015,Southeast,Farm Product Raw Material Merchant Wholesalers,595
2014,Southeast,Farm Product Raw Material Merchant Wholesalers,601
2013,Southeast,Farm Product Raw Material Merchant Wholesalers,596
2012,Southeast,Farm Product Raw Material Merchant Wholesalers,523
2011,Southeast,Farm Product Raw Material Merchant Wholesalers,635
2010,Southeast,Farm Product Raw Material Merchant Wholesalers,627
2009,Southeast,Farm Product Raw Material Merchant Wholesalers,645
2008,Southeast,Farm Product Raw Material Merchant Wholesalers,651
2007,Southeast,Farm Product Raw Material Merchant Wholesalers,657
2006,Southeast,Farm Product Raw Material Merchant Wholesalers,602
2005,Southeast,Farm Product Raw Material Merchant Wholesalers,548
2004,Southeast,Farm Product Raw Material Merchant Wholesalers,590
2003,Southeast,Farm Product Raw Material Merchant Wholesalers,639
2002,Southeast,Farm Product Raw Material Merchant Wholesalers,688
2001,Southeast,Farm Product Raw Material Merchant Wholesalers,720
2018,Southwest,Farm Product Raw Material Merchant Wholesalers,1758
2017,Southwest,Farm Product Raw Material Merchant Wholesalers,1813
2016,Southwest,Farm Product Raw Material Merchant Wholesalers,1908
2015,Southwest,Farm Product Raw Material Merchant Wholesalers,1958
2014,Southwest,Farm Product Raw Material Merchant Wholesalers,1909
2013,Southwest,Farm Product Raw Material Merchant Wholesalers,1906
2012,Southwest,Farm Product Raw Material Merchant Wholesalers,1899
2011,Southwest,Farm Product Raw Material Merchant Wholesalers,1934
