VARIABLE,Unit,2003 / Estimate,2004 / Estimate,2005 / Estimate,2006 / Estimate,2007 / Estimate,2008 / Estimate,2009 / Estimate,2010 / Estimate,2011 / Estimate,2012 / Estimate,2013 / Estimate,2014 / Estimate,2015 / Estimate,2016 / Estimate,2017 / Estimate,2018 / Estimate
Total value of production,"1,000 Dollars",8265394,9991971,9902528,8880150,12697863,13214750,12796971,14179322,16675243,20699908,18374170,17712374,16660868,17790950,15339827,14628825
Total acres operated,"1,000 Acres",27122,25608,26689,26245,26673,25952,26836,26735,26300,26326,27338,26158,25406,26561,24924,23505
Acres operated per farm,Acres,342,327,339,337,339,327,342,334,335,359,375,357,350,364,372,349
Farms by tenure: Full owner,Percent of farms,54.2,54,62.9,63.2,63,60.7,59.2,61.2,61.4,61.1,58.4,57,59.3,60.3,57.1,59
Farms by tenure: Part owner,Percent of farms,39.6,40.8,31.9,31.4,31.7,32,34.7,33.3,30.5,33.7,34.5,37,34.1,32.4,38.1,36.4
Farms by tenure: Tenant,Percent of farms,6.2,5.2,5.2,5.3,5.3,7.3,6.1,5.5,8.1,5.2,7.1,6.1,6.7,7.2,4.8,4.6
Operator occupation: Farming,Percent of farms,41.8,45.9,39.4,35.9,45,43.6,45.9,44.3,46.7,48.7,47.9,53.4,50.5,53,55.2,45.6
Operator occupation: Something else,Percent of farms,45.9,33.9,46.4,47.7,35.4,40.2,38.4,35.7,33.5,28.4,37.2,33.6,34.6,28.9,33.6,38.6
Operator occupation: Retired from farming,Percent of farms,12.4,20.2,14.2,16.3,19.6,16.1,15.7,20,19.8,22.9,14.9,13,14.9,18.1,11.2,15.8
Operator education: Less than high school,Percent of farms,6.5,6.2,6,5.1,9.1,6.3,8,3.9,5.1,3.8,3.7,3.2,4.2,2.8,2.6,2
Operator education: Completed high school,Percent of farms,53.3,49.7,0,39.6,42.6,39.3,44.5,51.1,42.2,43.1,44.2,43.7,40,44.2,39.4,37.2
Operator education: Some college,Percent of farms,26.6,32.6,72.9,27.4,28.7,32.8,33,29.1,35.1,34.3,33.5,35.3,32.8,31.1,35.6,39.3
Operator education: Completed 4 years or more of college,Percent of farms,13.7,11.5,21.2,27.9,19.7,21.7,14.5,15.9,17.6,18.7,18.6,17.8,23.1,21.9,22.3,21.5
Operator hours worked annually on farm: Less than 500,Percent of farms,25.6,20.2,21,26.8,32.6,28.7,31.4,29.9,28.5,25.3,23.1,18.6,28.9,28.5,19.4,22.2
Operator hours worked annually on farm: 500 to 999,Percent of farms,11.2,16.9,21.8,18.2,12.8,17.2,14.1,15.7,18.9,14,18.1,18,14.7,12.9,16.3,16.9
"Operator hours worked annually on farm: 1,000 to 1,999",Percent of farms,24.7,20.6,23.4,20.4,20.1,22.2,18.4,19.9,20.4,22.9,23.3,23.6,22.5,21.7,26.8,22
"Operator hours worked annually on farm: 2,000 or more",Percent of farms,38.5,42.4,33.8,34.6,34.5,31.9,36.1,34.5,32.3,37.7,35.6,39.8,34,36.9,37.5,39
