year,cash.receipts,countyfp,other.income,expenses,net.income,Total.acres,Dem_RUCA,Dem_Desc,edr,planning.region
2001,8209998000,000,1792901000,9203398000,533132000,30134706,NA,Minnesota,Minnesota,Minnesota
2001,11741000,001,2370000,16529000,-2998000,255677,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2001,36630000,003,5580000,38663000,3244000,69689,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,94120000,005,17052000,103521000,4673000,499946,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2001,20629000,007,4086000,19682000,3834000,333471,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
2001,86374000,009,9041000,100538000,-4019000,219093,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
2001,47366000,011,16736000,60918000,1013000,296710,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2001,206544000,013,35624000,216215000,21361000,439203,D,Entirely urban,EDR  9 - South Central,Southwest Minnesota
2001,175771000,015,32613000,184941000,18804000,370856,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2001,9650000,017,1600000,11092000,-254000,162232,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2001,65183000,019,13741000,73115000,3670000,178098,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,19601000,021,2212000,19526000,1430000,246265,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2001,88664000,023,29346000,99265000,14923000,349726,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2001,25740000,025,6527000,32575000,-1045000,187789,D,Entirely urban,EDR  7E- East Central,Central Minnesota
2001,119025000,027,37999000,138365000,14484000,608623,D,Entirely urban,EDR  4 - West Central,Northwest Minnesota
2001,20198000,029,2584000,26608000,-2878000,300937,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
2001,0,031,0,0,0,2132,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2001,143614000,033,34462000,147240000,21755000,391714,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2001,14164000,035,3038000,19276000,-2631000,167678,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2001,99413000,037,23160000,113956000,6040000,219771,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,103927000,039,21891000,117485000,5015000,265695,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
2001,55211000,041,12683000,59689000,5972000,338172,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2001,134743000,043,36594000,175211000,-8058000,439192,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2001,145931000,045,37697000,176777000,1225000,506927,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2001,145092000,047,36874000,173813000,4012000,421286,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2001,167614000,049,34646000,183636000,13289000,427312,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2001,57658000,051,23605000,70185000,7886000,325714,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
2001,47493000,053,6232000,50216000,2728000,0,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,75345000,055,15376000,81242000,6556000,308281,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2001,22600000,057,4178000,26729000,-1657000,156448,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
2001,22212000,059,6460000,31655000,-3882000,220447,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2001,6747000,061,1346000,7167000,507000,110026,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2001,145566000,063,36902000,164451000,14024000,427168,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2001,20556000,065,3485000,24480000,-1350000,210322,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2001,203648000,067,32206000,245522000,-12105000,434718,B,Town/rural mix,EDR  6E- Southwest Central,Central Minnesota
2001,46296000,069,24431000,77488000,-9263000,589401,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
2001,4056000,071,844000,4238000,393000,132424,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2001,100339000,073,32087000,116677000,11724000,451912,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2001,291000,075,26000,471000,-160000,2115,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2001,6107000,077,3458000,9582000,-597000,137660,A,Entirely rural,EDR  2 - Headwaters,Northwest Minnesota
2001,85201000,079,19369000,97780000,4290000,257579,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2001,77482000,081,20458000,86580000,8445000,322592,A,Entirely rural,EDR  8 - Southwest,Southwest Minnesota
2001,156797000,083,30667000,167291000,15196000,422011,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2001,78680000,085,19717000,87538000,7878000,287576,C,Urban/town/rural mix,EDR  6E- Southwest Central,Central Minnesota
2001,26016000,087,11197000,35196000,449000,240582,A,Entirely rural,EDR  2 - Headwaters,Northwest Minnesota
2001,80488000,089,44390000,122183000,-3218000,924198,C,Urban/town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2001,246880000,091,39711000,258985000,22426000,436671,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2001,117279000,093,23281000,137661000,-529000,348865,B,Town/rural mix,EDR  6E- Southwest Central,Central Minnesota
2001,24918000,095,4223000,25190000,3036000,158480,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2001,167554000,097,14861000,170369000,7892000,556693,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2001,151287000,099,40784000,183508000,4066000,429901,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2001,135861000,101,30702000,140617000,21431000,432350,A,Entirely rural,EDR  8 - Southwest,Southwest Minnesota
2001,155546000,103,24046000,154351000,21808000,260978,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2001,182970000,105,36232000,190976000,23462000,437932,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2001,89465000,107,33100000,98360000,19534000,536310,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
2001,108570000,109,23470000,134636000,-4529000,359550,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
2001,221343000,111,35247000,235078000,12204000,1058307,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2001,18820000,113,14689000,30212000,1510000,368378,B,Town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2001,36899000,115,5307000,41737000,-815000,364579,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2001,122583000,117,16987000,118181000,18142000,286621,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2001,180800000,119,68367000,234421000,3024000,1176193,C,Urban/town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2001,83891000,121,23025000,102600000,755000,382154,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2001,4109000,123,15000,4877000,-768000,445,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,22311000,125,12191000,30202000,2944000,261117,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
2001,211631000,127,43767000,221572000,27645000,541051,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2001,279803000,129,53545000,304570000,20997000,604639,A,Entirely rural,EDR  6E- Southwest Central,Central Minnesota
2001,104769000,131,21109000,124344000,-1186000,278274,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2001,156328000,133,24374000,157002000,19787000,297839,C,Urban/town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2001,52149000,135,27131000,75168000,113000,695544,B,Town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2001,11619000,137,3361000,13733000,670000,164659,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2001,52775000,139,9433000,59495000,1199000,143890,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,39038000,141,4953000,45677000,-1104000,178936,D,Entirely urban,EDR  7W- Central,Central Minnesota
2001,152222000,143,30260000,160619000,17963000,359149,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2001,366818000,145,40743000,354551000,42979000,738918,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
2001,110421000,147,21102000,116500000,12024000,251869,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2001,113139000,149,27003000,118410000,17638000,335036,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2001,128495000,151,32988000,161826000,-5228000,446603,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2001,106978000,153,11736000,115685000,174000,504803,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2001,65349000,155,23911000,80925000,4994000,353297,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
2001,106333000,157,17355000,107216000,12245000,296655,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2001,43213000,159,3786000,59111000,-13934000,218712,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2001,106296000,161,22583000,119016000,6771000,254632,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2001,50524000,163,8057000,66061000,-8235000,107182,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,120571000,165,24871000,129026000,13306000,267795,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2001,87736000,167,27201000,102315000,8778000,457056,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2001,144507000,169,20602000,150154000,10224000,319212,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2001,94295000,171,19303000,118003000,-7255000,342248,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
2001,133380000,173,32899000,135151000,26269000,461815,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2002,8342846000,000,808726000,8854843000,470766000,30095364,NA,Minnesota,Minnesota,Minnesota
2002,11566000,001,1917000,15956000,-2694000,247138,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
