county.fips,county,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
27000,Minnesota,171156,151773,112414,179974,105044,18420,33877,59085,82848,164345,68436,69593,79121,182857,611732,529908,480066,802352,1193845,1035939,599852,511759,435819,422023,823250,622280,467807,349272,417041,794547,1409859,1504352,1242506,476885,789560,704626,1391866,767603,482569,544243,527624,566141,487877,534668,527038,261397,976584,647394
27001,"Aitkin, MN",115,96,68,80,(L),56,56,80,275,183,74,65,116,63,204,794,335,555,542,595,1263,430,298,256,415,327,227,266,247,215,566,513,415,327,511,212,541,285,208,693,298,608,383,421,624,454,676,355
27003,"Anoka, MN",494,436,224,360,203,114,174,157,83,213,130,135,69,207,1018,532,726,1047,1748,1753,1763,684,591,560,866,848,423,334,427,652,1043,1109,1078,452,536,448,1119,611,329,548,269,495,569,272,245,60,684,305
27005,"Becker, MN",1022,1004,651,1181,642,192,154,309,1036,2576,816,310,1532,2371,6655,8590,4369,9248,10192,6419,5493,5920,5029,4239,6911,5659,4176,3937,4018,6643,11495,13646,11410,4588,7658,4952,8581,5389,4325,5159,5503,7308,5405,5852,5207,3415,8379,4606
27007,"Beltrami, MN",157,191,116,189,105,59,81,124,248,490,155,357,685,399,1011,1780,598,1142,1593,1631,2219,1106,975,1149,1423,1204,1312,1186,896,1075,2292,3034,2257,1408,2763,1231,2755,1328,1426,1883,1548,1549,1661,1713,1650,2451,1903,1999
27009,"Benton, MN",591,542,371,605,413,81,251,364,550,694,419,166,191,591,1844,3782,1993,3091,4955,6759,5214,2317,1757,1774,4047,2283,2027,1579,2225,4001,7289,7787,4669,3824,6849,3739,8690,4790,2221,5521,4572,1906,2367,2956,2888,1308,5418,951
27011,"Big Stone, MN",1654,1668,1158,1800,1085,407,345,1618,1062,1875,756,698,1383,1865,7008,5386,4287,8083,10630,11442,5634,4669,4274,3994,8156,4740,4643,3888,3672,7841,14755,14797,13309,3565,6979,6389,14216,6986,4037,4881,3863,5831,3831,4229,6348,1734,8599,7470
27013,"Blue Earth, MN",4642,3531,2921,4621,2137,(L),194,216,364,1593,1474,1272,3874,3476,13287,3891,8296,15189,26680,23412,8935,9886,6599,7187,15365,9946,9628,5574,7850,17461,30838,31426,27130,7993,13721,15409,31025,16637,8992,9580,8422,8653,9116,8609,8918,3035,25537,11951
27015,"Brown, MN",3769,2706,2161,3317,1769,125,294,1421,1129,1505,891,662,979,2654,7312,3623,5998,10865,18190,16708,10184,6480,4843,5339,11362,9557,6751,4196,5779,13686,24781,25459,21713,6616,13192,13639,26061,14302,7969,8201,9088,7915,7812,8682,8497,2413,16086,10752
27017,"Carlton, MN",(L),(L),62,60,55,79,73,79,280,162,95,135,210,86,228,681,222,254,281,489,1056,183,122,174,196,183,116,100,83,108,272,469,208,419,638,138,214,221,159,222,647,543,348,378,280,244,343,377
27019,"Carver, MN",915,798,659,1033,696,68,(L),184,284,598,213,211,202,396,1751,2471,1602,4088,6746,7044,6009,2722,2222,1983,4069,2467,2626,1917,2567,5416,10548,11565,7978,3656,6878,5326,9922,5855,2770,3041,5003,2892,2812,3930,4069,808,7219,1059
27021,"Cass, MN",286,261,172,260,146,148,123,321,796,385,84,161,380,135,419,1165,432,863,1268,1821,2846,1288,663,496,678,599,312,575,505,452,882,1130,634,478,996,381,2157,668,534,772,690,710,687,1085,810,932,1300,479
27023,"Chippewa, MN",3236,3064,2181,3408,1907,126,372,2119,328,2139,1462,694,1546,1914,10487,3727,5205,10682,15133,15103,7748,6444,4326,4034,11039,7323,4863,4474,5143,12159,22052,22240,21091,7934,11890,11323,22974,12200,6701,7103,6336,11116,6967,6874,6953,2628,15815,17868
27025,"Chisago, MN",759,659,430,708,456,347,234,380,214,929,473,258,245,693,1878,1417,1301,2966,4467,3755,2826,1562,1336,1204,2261,1612,1239,869,1219,2013,3863,4005,3142,1377,2146,1305,3459,2346,1384,1731,1579,2180,1245,1364,1351,684,2959,494
27027,"Clay, MN",3523,3620,2784,4249,2658,1557,2503,552,2513,8005,1587,1215,3595,6229,16740,20996,10106,19984,23366,16760,10990,11769,12362,10088,14445,12747,7203,8332,8396,14865,29481,28470,29382,9029,13769,11476,15518,10363,9053,9709,7846,10797,9090,7906,7575,3284,10487,9736
27029,"Clearwater, MN",257,250,165,240,143,51,71,92,328,499,194,314,500,228,833,1508,591,1127,1275,1130,1265,760,861,751,1035,1071,834,849,675,979,1375,1750,1692,928,1936,959,2390,989,1328,1397,1044,1218,1013,1228,1107,1867,1383,993
27031,"Cook, MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27033,"Cottonwood, MN",4422,3340,2614,4115,2240,391,235,1702,526,2080,1133,854,727,2958,12022,4062,66702,13972,22964,19122,9441,8795,6840,7418,16096,16334,8844,5496,7366,16684,27022,28655,24819,7704,12967,14918,29759,16126,8886,8816,8203,8335,8430,9082,8826,5094,18568,9791
27035,"Crow Wing, MN",248,222,147,203,133,155,113,152,426,154,81,89,123,178,501,1006,415,728,1166,1186,1420,842,392,365,681,650,342,354,365,487,878,987,656,313,825,348,1644,651,454,581,520,665,286,703,416,236,777,560
27037,"Dakota, MN",1562,1497,1056,1769,1018,63,142,312,760,1145,790,522,661,1967,5942,3611,4260,8162,12866,13132,7281,5165,4111,4040,7497,3913,4854,3051,4193,8800,14649,14973,12166,4069,7468,6943,15471,7949,4152,5841,4914,4544,3839,4427,3668,1539,8795,4923
27039,"Dodge, MN",2132,1880,1396,2330,1322,239,412,392,217,1758,1229,818,751,3393,7089,5013,5921,11868,16842,14801,6465,6553,4787,4981,11893,7888,5802,3302,4909,11005,18422,18631,16040,5240,8160,9281,19254,9964,5068,4918,5837,5264,4704,5267,4820,2362,12547,10850
27041,"Douglas, MN",1103,971,718,1200,718,185,271,285,1418,1084,635,528,636,895,3513,3091,2088,4057,8030,6859,6374,3753,3460,3345,6446,4278,3389,3369,3549,5633,9635,10893,9098,4704,6995,5433,10192,6211,4131,4908,5145,4339,4202,4797,4755,1951,8083,3386
27043,"Faribault, MN",4947,4003,3278,5185,2383,(L),105,67,190,1292,1214,960,335,4576,15694,4733,9751,16907,29669,23800,9266,10497,7209,7338,15681,13001,10213,5104,8663,18553,31996,33585,27594,7771,15513,16748,33961,17505,9559,9704,9195,10678,9421,9909,8672,2642,23943,9951
27045,"Fillmore, MN",2133,1871,1615,2857,1629,174,507,314,229,1538,689,601,770,3353,11757,7267,7172,14502,29180,23353,13317,10781,9196,9401,17932,12497,10850,7778,9036,14463,28351,27697,21781,9258,13781,13694,29950,16715,10401,10238,12176,14072,10096,11893,10648,6860,19744,18299
27047,"Freeborn, MN",4966,4411,3055,4926,2571,152,302,300,201,1819,1553,1034,887,5266,15653,7723,10394,20028,33976,26576,11507,12551,9442,9474,20644,14621,11295,6406,9406,16971,31663,31862,27766,9465,13725,15455,31973,16727,9408,9319,8767,11515,8934,9021,8021,2895,19133,12577
27049,"Goodhue, MN",1858,1647,1471,2398,1408,130,279,211,191,1483,714,743,725,1623,8373,7660,6119,11288,19435,16128,9476,7043,5946,5744,11425,8489,7062,5050,6112,11381,22850,21393,18725,8893,13395,11512,25261,14113,6763,6905,10143,6975,6754,8918,7490,5482,16340,12478
27051,"Grant, MN",1646,1564,1015,1829,1102,136,188,430,695,2883,683,441,1410,1702,8406,4740,5119,9656,12329,10597,5786,5976,5859,5084,10676,5756,3901,4634,4896,11424,17782,20597,18791,5704,8847,9862,17294,8841,7337,7409,6204,10404,7411,9880,12943,6688,14870,15963
27053,"Hennepin, MN",769,709,415,635,392,71,80,71,112,180,109,100,69,106,877,1034,802,1761,2514,3070,2490,948,679,686,1148,1163,697,633,739,1471,2970,3374,2547,1040,1993,1603,2886,1482,917,1125,1066,749,783,827,678,149,1757,160
