GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
27000,Minnesota,1792901,808726,1317814,1261091,2039121,1417662,1138328,1913881,1611090,1177927,1551242,1723088,2544347,2986095,2871412,1863137,1637789
27001,"Aitkin, MN",2370,1917,2312,1629,1809,1288,1003,3200,2425,1886,3568,4501,5871,5346,6959,4465,2990
27003,"Anoka, MN",5580,4746,6252,5659,6561,5605,5037,5563,3772,2622,3424,3717,5101,6811,4281,4076,4053
27005,"Becker, MN",17052,7765,12707,10287,14788,11635,10623,15695,16571,15290,13324,13775,19709,22677,28459,24930,15189
27007,"Beltrami, MN",4086,2851,4643,2971,4574,3024,3011,3987,3335,2938,3427,3619,8196,7110,10252,10947,3404
27009,"Benton, MN",9041,7097,15409,14929,23435,20802,19370,12474,9021,4832,10637,9126,19743,25050,13281,8557,8612
27011,"Big Stone, MN",16736,5391,10175,9953,18518,11419,8595,17799,13297,11614,21026,16142,17061,20563,24294,15314,12563
27013,"Blue Earth, MN",35624,12974,20375,21615,37598,22801,14828,33772,30639,19572,25348,30050,34821,56023,53611,25826,40288
27015,"Brown, MN",32613,11584,20496,20974,34298,22385,15942,27666,24485,16087,23612,30728,32328,43519,33510,25101,25766
27017,"Carlton, MN",1600,1583,1929,1133,1082,886,662,980,1220,943,1053,1105,2063,1477,2777,3072,831
27019,"Carver, MN",13741,6794,11340,9702,14748,10520,7318,12606,11851,7030,10797,13140,16913,31908,15726,9991,10676
27021,"Cass, MN",2212,1852,3372,3004,5308,3896,3848,4733,3515,2336,2828,3651,7772,6723,9992,5267,3416
27023,"Chippewa, MN",29346,12691,19151,18736,31420,20546,15028,29834,31034,22039,26519,30121,33752,49186,48825,32328,33149
27025,"Chisago, MN",6527,4161,6259,5425,8084,6865,5849,8323,5745,4443,4968,4861,9253,13212,6906,5463,5209
27027,"Clay, MN",37999,15414,23301,21041,26285,20899,19494,34857,26767,24515,35900,28318,23264,34368,27544,21463,21936
27029,"Clearwater, MN",2584,1479,2654,1649,3126,1701,1999,3469,3154,2629,3564,3246,5393,5616,7325,5896,3049
27031,"Cook, MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27033,"Cottonwood, MN",34462,11688,18611,20434,35826,21986,14589,29491,26550,19059,24664,34904,39429,48236,55136,38269,30903
27035,"Crow Wing, MN",3038,2317,3163,2253,3414,2113,1673,2130,1841,1511,1506,2132,3860,3641,3536,2773,1932
27037,"Dakota, MN",23160,12624,21254,21443,32359,24867,21274,29267,21775,13238,16634,22696,31700,37582,27392,22056,21246
27039,"Dodge, MN",21891,8624,13660,15144,26127,16904,12103,20322,20831,11527,13070,15859,44450,30867,31215,13560,21951
27041,"Douglas, MN",12683,6481,10264,9231,14870,11122,9216,13472,12221,8853,12915,13495,19016,21984,25586,14812,12543
27043,"Faribault, MN",36594,13666,24443,25835,44280,27686,19695,32751,28972,20236,23149,27642,48121,62690,51040,20045,23879
27045,"Fillmore, MN",37697,17256,25226,24910,42329,28679,22086,39327,34206,25902,24906,34402,64682,55944,51845,25700,34012
27047,"Freeborn, MN",36874,13625,20274,22348,39973,24772,17500,37143,32657,24957,25974,34979,86646,66503,48510,28981,39212
27049,"Goodhue, MN",34646,19931,28962,26550,41686,29831,22025,35593,34220,19219,24368,34377,55745,58456,60180,30694,39988
27051,"Grant, MN",23605,8211,13382,15003,23564,15347,14061,27635,22115,17861,32257,23477,34247,44740,56753,33651,21252
27053,"Hennepin, MN",6232,4157,7902,8401,11261,10200,9994,12713,10103,7333,10975,14355,17148,25240,17305,16859,16502
27055,"Houston, MN",15376,9615,12519,10398,15139,11056,7410,13368,13808,8918,9992,13109,15029,17786,19430,12677,13749
27057,"Hubbard, MN",4178,3171,4528,4271,6567,5237,5026,3548,2262,2707,2779,3567,4412,5388,6097,4119,3807
27059,"Isanti, MN",6460,2665,5158,5363,9225,7478,6609,7533,5519,3360,5003,4558,7349,15479,8646,5426,3554
27061,"Itasca, MN",1346,1137,1329,995,1126,793,702,825,690,1620,806,841,2222,1547,2828,1712,813
27063,"Jackson, MN",36902,13136,21159,22395,37297,25993,16713,34657,27320,18528,22202,25966,31905,47361,53855,31612,33517
27065,"Kanabec, MN",3485,2276,4100,3227,4722,3944,3354,3097,2174,1508,2468,2404,4460,7728,4482,2932,2166
27067,"Kandiyohi, MN",32206,14071,23379,23545,39774,28710,23436,32661,29947,20688,28320,33183,40077,59005,63048,39209,36078
27069,"Kittson, MN",24431,13367,24489,16612,24804,15940,19192,27196,22504,21642,29539,25294,23877,27880,26393,23308,27983
27071,"Koochiching, MN",844,556,971,593,795,527,483,923,866,767,803,1046,4228,3588,4455,3887,767
27073,"Lac qui Parle, MN",32087,11884,16977,18122,32389,19092,13278,46294,35794,33249,28691,32651,28809,38466,44120,30741,29327
27075,"Lake, MN",26,17,45,67,80,87,98,91,60,47,56,58,123,94,334,328,181
27077,"Lake of the Woods, MN",3458,2300,4047,2446,3160,2095,1967,3185,2590,2120,1925,2228,8692,5982,9081,7880,3200
27079,"Le Sueur, MN",19369,7618,12600,13819,22792,16402,12723,24162,20027,13506,20262,24058,28969,38220,32094,19800,23295
27081,"Lincoln, MN",20458,9331,12750,13077,21708,14060,10110,28652,20632,16008,25324,26707,31022,37887,50578,32889,29308
27083,"Lyon, MN",30667,9810,15286,18302,32622,18406,12075,34918,25730,16980,31515,30363,52161,53908,70504,41282,25553
27085,"McLeod, MN",19717,7558,14325,14273,26876,17849,14265,21585,16441,10933,22397,19798,30884,59273,40063,19693,19305
27087,"Mahnomen, MN",11197,5474,8433,6538,10317,6326,5635,10491,11462,9130,10121,8388,14199,15186,23089,23882,7935
27089,"Marshall, MN",44390,24507,40293,28162,39091,26865,26722,45309,36668,35198,51117,37905,33414,47282,37793,56561,46132
27091,"Martin, MN",39711,14872,25524,28560,49653,29822,21758,36199,31700,22070,25709,31432,29670,54711,56140,26790,29002
27093,"Meeker, MN",23281,10980,17814,18423,30650,23072,18580,24793,20885,15084,25580,27546,34007,50229,41102,31199,28636
27095,"Mille Lacs, MN",4223,2516,4480,3989,6253,5405,4541,5535,4360,2409,5026,3792,8454,11918,6267,3867,2931
27097,"Morrison, MN",14861,10196,22454,20860,36117,32057,30225,22363,17199,8619,15084,17439,52900,38964,48728,32074,14220
27099,"Mower, MN",40784,17089,25128,25650,44634,25884,18229,38522,38110,27288,27159,42866,100891,67435,56322,32412,41268
27101,"Murray, MN",30702,10757,17151,19436,35821,23240,16026,31665,27323,19600,26686,38355,56706,62016,93430,55056,31735
27103,"Nicollet, MN",24046,8321,14358,16040,26808,18044,13648,20196,18273,14191,17950,30952,29488,41515,34161,19683,18612
27105,"Nobles, MN",36232,14923,23263,25232,44296,27982,20692,33147,24285,16829,21321,34042,40053,52588,65349,35230,31420
27107,"Norman, MN",33100,13117,25090,18436,24519,16766,15621,31831,25030,20553,29366,25878,24787,33997,34067,35544,22271
27109,"Olmsted, MN",23470,12064,18860,17881,29909,20377,15582,24690,22288,13383,15550,20107,55552,28879,33412,17937,27291
27111,"Otter Tail, MN",35247,20595,31927,27990,43710,34516,30528,64325,45846,31699,36319,37329,96790,126708,79015,43453,30839
27113,"Pennington, MN",14689,7807,12912,10018,14958,10203,11635,14901,14275,13897,14934,12785,17522,21614,26508,23969,16821
27115,"Pine, MN",5307,3193,5145,3593,4880,4012,3086,4218,3882,2987,3030,3157,4951,8517,5134,3243,2288
27117,"Pipestone, MN",16987,6594,10654,12321,21160,14786,10433,20205,15396,9816,15841,22661,18002,24461,30993,16366,12744
27119,"Polk, MN",68367,35947,50558,39931,49489,35007,32943,74394,65405,57729,66075,65915,101131,112984,64762,67318,53163
27121,"Pope, MN",23025,10666,17761,18659,27327,20119,17455,24499,19828,13832,17278,19459,29306,32144,30060,21269,17606
27123,"Ramsey, MN",15,9,65,23,41,43,33,81,91,88,135,207,276,316,253,259,246
27125,"Red Lake, MN",12191,6503,8950,7421,10153,7020,6752,9289,8299,7754,8709,8117,11794,12237,15515,9437,8015
27127,"Redwood, MN",43767,14358,24590,26241,48000,29021,19221,40517,31879,23749,42058,48072,53899,75550,72199,52343,36914
27129,"Renville, MN",53545,19619,32329,31800,56107,35348,24971,46789,38920,25826,44590,46707,57747,84866,83346,44478,36630
27131,"Rice, MN",21109,10219,15657,14495,24111,18179,13745,20542,19014,11743,16784,19560,28911,33640,31446,18110,21454
27133,"Rock, MN",24374,9055,14373,16014,28298,18713,12550,19458,15577,11328,13817,23706,21853,40972,45389,22389,16582
27135,"Roseau, MN",27131,16282,27567,18360,27124,17491,18338,23831,28493,20888,24713,20235,36208,35536,41676,37522,27175
27137,"St. Louis, MN",3361,3144,3903,3047,2979,2601,2309,2499,2015,2070,1697,2244,3048,3375,5700,4780,2569
27139,"Scott, MN",9433,5009,11081,11995,17828,15946,15288,17260,11890,6806,8891,10294,15800,18061,16046,10650,7766
27141,"Sherburne, MN",4953,2313,4839,5498,8910,7114,6775,5847,3770,3675,3699,5148,5632,8587,5463,4618,5229
27143,"Sibley, MN",30260,11971,19572,19053,32834,21044,14934,24597,22987,14818,27976,33542,49219,67172,63960,32514,27742
27145,"Stearns, MN",40743,27220,54562,47579,69801,62777,54957,54209,46879,24991,33104,50746,89883,75910,68248,51598,35594
27147,"Steele, MN",21102,9314,12931,13230,24085,14718,9752,21602,20731,13442,18102,20519,46240,37058,30649,16868,21955
27149,"Stevens, MN",27003,8672,15278,17424,30066,18208,13190,25177,20951,15054,28305,20297,25974,35704,30664,20650,19830
27151,"Swift, MN",32988,12877,20147,22506,40141,26943,20798,35031,30301,22700,26761,28254,28349,50366,45279,24384,27280
27153,"Todd, MN",11736,7688,15133,11687,21649,17594,15750,18353,13624,9100,10990,13725,30450,29031,28506,17132,10892
27155,"Traverse, MN",23911,6969,14490,18032,31185,22562,20476,39123,23507,24199,43152,27209,41001,49343,55830,36547,24953
27157,"Wabasha, MN",17355,11294,16803,14059,20938,15045,10574,18596,19881,11408,13614,19149,31680,30304,34471,20230,23122
27159,"Wadena, MN",3786,2884,3903,3941,6315,5064,4583,7077,5124,3659,3585,5161,8744,6904,10095,6920,4082
27161,"Waseca, MN",22583,8918,13484,14501,26979,17068,11777,23619,20675,14177,17556,19710,42163,42508,43965,18587,19938
27163,"Washington, MN",8057,5277,9130,9281,13243,11231,10594,11619,8234,6626,7255,9457,14358,17105,12400,11016,11040
27165,"Watonwan, MN",24871,8422,13201,15023,26154,17538,11779,20711,19398,12788,14746,18425,20482,28212,30128,19194,24881
27167,"Wilkin, MN",27201,10839,18419,19676,25199,21739,21208,41164,29888,27998,28168,19420,24141,35467,27541,20376,19047
27169,"Winona, MN",20602,13498,19538,15634,21826,16629,12284,18920,21304,10913,12274,18617,28942,24302,23337,16042,16129
27171,"Wright, MN",19303,10806,18544,16454,24737,18393,15356,22153,15992,9358,14190,16621,21700,38775,20372,13154,13035
27173,"Yellow Medicine, MN",32899,10557,16342,18634,34427,19702,12731,41037,30765,27402,29730,37689,57527,68582,104354,59895,33621
