GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
27000,Minnesota,9203398,8854843,9000226,9546918,9594635,9873643,12229147,14042153,13795048,13654044,15227793,17395980,18407568,19005133,17955985,18019642,18774134
27001,"Aitkin, MN",16529,15956,15556,15163,14015,13400,13407,17881,16591,15283,16081,17716,18603,19344,18156,18238,19165
27003,"Anoka, MN",38663,39831,35886,35263,33173,31621,34389,38276,40103,38093,39944,48375,47433,44964,40168,40346,41108
27005,"Becker, MN",103521,96897,99338,105576,107358,110811,137080,158758,162931,165040,188540,223751,234756,240595,229912,232638,240749
27007,"Beltrami, MN",19682,18023,17727,18755,19462,20138,24328,25574,24114,22948,24981,27992,29272,31198,29192,29209,30791
27009,"Benton, MN",100538,99430,94508,96624,94296,94196,118747,121420,116296,112675,124142,139290,147300,155764,144207,142658,147835
27011,"Big Stone, MN",60918,58081,57622,62135,63974,65672,81664,100173,98918,97840,109996,127032,132734,133203,126134,126290,131377
27013,"Blue Earth, MN",216215,203947,213188,231238,229674,234883,293099,336080,325064,321907,355098,394293,425479,445683,415915,418334,437273
27015,"Brown, MN",184941,173138,178096,189662,188529,190898,229229,259601,252218,251234,278078,309261,330029,349619,325814,325312,339208
27017,"Carlton, MN",11092,10736,9711,9505,9103,8799,8210,12457,11644,11118,12018,13334,14382,15017,14157,14349,15224
27019,"Carver, MN",73115,70116,66454,69228,69983,70325,86725,99006,95431,91837,100144,114351,119534,122629,120968,122044,127277
27021,"Cass, MN",19526,17800,18436,20216,21294,23071,27268,31740,31202,31146,35058,40113,43389,48267,44523,44188,46185
27023,"Chippewa, MN",99265,92778,98223,107384,113046,118180,147748,189542,194409,197454,225256,267730,277765,282724,272879,274545,285792
27025,"Chisago, MN",32575,30984,29535,32616,33267,33518,36409,43320,42553,40942,44604,51852,53214,54824,50622,51200,53262
27027,"Clay, MN",138365,132953,129898,137484,140276,144631,176221,224401,230906,234771,267590,322509,330935,334807,323933,325771,338020
27029,"Clearwater, MN",26608,25642,23411,22930,21790,20949,22086,24950,23655,22600,24504,27420,29153,30820,28847,28995,30398
27031,"Cook, MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27033,"Cottonwood, MN",147240,134755,141560,153325,157012,164021,207396,241025,238051,240545,269141,304788,325379,346710,323119,322612,337394
27035,"Crow Wing, MN",19276,18224,17011,16885,16365,16186,14272,20336,20095,19705,21705,25078,26380,27694,26303,26547,27803
27037,"Dakota, MN",113956,107633,112707,127449,136389,146041,185510,202982,190923,176882,181100,200437,204782,213869,204016,204268,211958
27039,"Dodge, MN",117485,114765,115223,122755,123240,126576,163248,189646,185129,182364,203053,231227,244668,231096,217955,214907,223006
27041,"Douglas, MN",59689,54287,52558,54842,55210,55879,68791,78035,77941,77616,87754,102272,106918,110397,104881,102375,107439
27043,"Faribault, MN",175211,168190,172939,186838,190729,197320,245423,295773,280450,270969,293586,326107,343702,353089,339886,341059,356297
27045,"Fillmore, MN",176777,176693,177397,185942,181787,178823,215023,246931,242043,240226,270090,309788,327189,342820,322799,323749,338544
27047,"Freeborn, MN",173813,168107,169871,181413,182065,186701,232450,278246,270715,267862,298401,341787,362721,363258,342321,333752,347988
27049,"Goodhue, MN",183636,177260,176188,186976,190725,196124,249614,282211,279713,276930,312263,362045,381625,394604,373420,374593,389243
27051,"Grant, MN",70185,69846,70133,75027,77571,79332,97059,120368,119068,116931,130811,153538,157332,158897,153287,154156,160467
27053,"Hennepin, MN",50216,50552,50776,52040,51572,51456,56102,61921,60781,55005,55702,63486,63881,65235,63367,64783,67117
27055,"Houston, MN",81242,75625,72648,74442,72793,72401,87289,96486,94729,93444,104578,120580,126901,134917,125967,126830,133037
27057,"Hubbard, MN",26729,25087,24252,25865,26900,27589,34411,36402,35104,33036,35140,40465,41157,41932,40414,40809,42444
27059,"Isanti, MN",31655,31717,32501,31744,32751,31837,32306,46064,46215,45829,51522,60579,63067,64942,62251,62456,65009
27061,"Itasca, MN",7167,6702,7006,7277,7480,7768,7106,11797,11270,10532,11101,12716,13175,14220,13371,13466,14272
27063,"Jackson, MN",164451,157275,163879,181234,185818,191316,231434,259169,247084,239245,258939,281707,298956,311449,292171,293065,306233
27065,"Kanabec, MN",24480,23440,22221,22890,21206,21440,25088,28754,26965,25634,27667,30900,32544,33930,32108,32315,33987
27067,"Kandiyohi, MN",245522,238291,232311,234869,222037,223866,287867,321223,312151,306471,344839,388557,418801,424913,404965,409090,418197
27069,"Kittson, MN",77488,72479,80297,75963,69444,80416,96081,108504,108414,107066,121161,143679,146651,148845,142665,143130,149065
27071,"Koochiching, MN",4238,3961,4764,4930,4974,5035,4616,6456,6464,6256,6928,8158,8391,8766,8152,8400,8831
27073,"Lac qui Parle, MN",116677,113184,110707,116164,115308,115444,139617,176225,180686,185127,212431,250937,263057,270427,261403,257757,269232
27075,"Lake, MN",471,455,407,396,331,360,335,442,457,457,497,590,604,625,593,611,642
27077,"Lake of the Woods, MN",9582,9012,7819,7573,7210,6719,7498,9249,9924,10367,12195,14949,15372,15650,14884,14915,15590
27079,"Le Sueur, MN",97780,93852,95822,103662,105725,108145,135541,160255,157750,157900,176815,204924,217541,228229,214442,212615,222731
