GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
27000,Minnesota,799501,296729,1702481,2202580,2549946,2568839,2623869,4321917,2186857,3703562,4810279,5969857,6412678,4222103,1858588,1376513,782669
27001,"Aitkin, MN",-2418,-2473,784,-899,-1249,-677,1529,-2025,-3052,10908,4300,2582,3657,3475,3362,-92,-1728
27003,"Anoka, MN",3547,5046,14718,10874,11586,9283,3746,7734,4593,11599,15268,14542,16768,11474,11393,12228,8810
27005,"Becker, MN",7651,3908,20825,11574,20063,24635,28884,32476,10541,28314,39889,57066,71079,31807,-16,15140,919
27007,"Beltrami, MN",5033,3869,10590,5849,7316,5737,799,2300,6068,2169,4174,8175,8055,5721,6324,5903,-1536
27009,"Benton, MN",-5123,-7515,10710,26296,30582,29399,21076,41172,16487,28487,23184,38312,16947,24031,21965,18808,6624
27011,"Big Stone, MN",3184,2840,7546,16397,15013,17523,15292,35808,22692,26059,19422,54837,50039,21946,332,4402,-7668
27013,"Blue Earth, MN",25953,10111,30806,72991,75723,77429,64474,109841,76079,95619,148826,169357,176286,146146,74351,34439,67810
27015,"Brown, MN",23443,133,37833,59297,64730,65377,51724,87955,56435,89138,113383,113257,138186,101066,30133,15174,21966
27017,"Carlton, MN",158,-715,1455,841,658,248,1254,-2367,-2761,-497,-1086,-1024,-169,-670,-707,-1333,-3919
27019,"Carver, MN",5809,88,10236,16467,14157,13867,18244,26830,13528,24034,28595,37879,31762,32715,31981,31017,29814
27021,"Cass, MN",2287,-437,12244,5703,14682,5009,2875,2524,-5188,-221,870,3021,3455,6324,4579,-2769,-4808
27023,"Chippewa, MN",18745,17669,31935,28351,34062,45394,44623,60971,46949,57952,65094,95195,123668,69560,22785,17598,-4876
27025,"Chisago, MN",-308,319,4908,2867,3787,3720,4375,9437,668,7308,8887,10382,8748,4995,6288,3307,202
27027,"Clay, MN",18659,9828,46529,26505,28250,41965,57075,78600,14196,46336,57088,94518,112394,19685,-35670,2306,-6681
27029,"Clearwater, MN",-3826,-4040,2948,666,3692,2402,3929,2260,107,9123,11000,7526,14088,13244,9301,9388,6058
27031,"Cook, MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27033,"Cottonwood, MN",30836,22913,36749,53916,51072,50796,52625,85830,55553,70966,103807,113886,148613,94862,45939,31769,26394
27035,"Crow Wing, MN",-2074,-2482,683,415,1422,9,1385,-2996,10710,22565,25597,3384,4698,3028,-32,-1820,-2404
27037,"Dakota, MN",8617,11689,28922,32306,26784,28013,22794,42163,34687,58801,79996,74127,72492,40197,6861,3850,-177
27039,"Dodge, MN",8333,1249,11572,24675,27932,26070,29119,36030,17664,42881,65161,79566,45936,35617,-244,-16745,-15327
27041,"Douglas, MN",8205,5652,13293,15787,15134,9761,8088,21855,7184,16663,16866,33584,27460,14398,10656,9553,-2794
27043,"Faribault, MN",-3874,4854,28172,44971,43531,49143,72609,86598,59883,66903,108427,121378,101782,41339,-7935,-26744,-29509
27045,"Fillmore, MN",6851,-15978,2839,19497,31320,30717,39673,54346,20401,52098,81837,77321,64134,40725,-16483,-44242,-34799
27047,"Freeborn, MN",8153,3759,23492,43354,50342,51016,49816,71308,30721,59858,96878,119208,68528,27970,-32940,-47575,-34411
27049,"Goodhue, MN",18624,43,25913,48373,47829,45672,50383,65386,32822,59237,91911,114839,93504,61811,215,-33838,-20029
27051,"Grant, MN",11078,4705,15006,16431,9540,15735,22792,46293,21373,34428,34041,80507,78879,34893,35118,35879,14548
27053,"Hennepin, MN",3509,2180,12408,10791,10165,11275,5854,12967,9704,16717,23944,27435,30864,24639,20962,20355,14306
27055,"Houston, MN",9479,4158,16696,23777,24388,19833,16834,23039,9554,21879,36246,42263,33179,34481,15310,9890,10566
27057,"Hubbard, MN",49,1760,8206,5998,9992,4297,4238,960,187,8710,11766,14488,19704,7889,-2300,-192,-2434
27059,"Isanti, MN",-2983,-4126,-3809,197,-666,793,1707,639,-4428,456,3642,6194,6142,4020,2265,4361,-3939
27061,"Itasca, MN",926,949,1958,1378,1047,929,1296,-1926,-3108,1104,2938,461,1305,20,579,-1149,-2436
27063,"Jackson, MN",18017,7560,32247,56378,64512,61596,61073,97303,80145,98253,122575,131119,139646,92794,48378,28146,35084
27065,"Kanabec, MN",-439,-1009,1805,1658,1945,1561,-1083,-3753,-2756,3988,4265,4621,6524,6988,-1865,11172,10091
27067,"Kandiyohi, MN",-9668,-11565,16482,44233,68068,72605,52026,89709,53888,79397,83862,133910,110908,82152,62521,37880,8375
